DATE    = '2003-05-16T05:50:12' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
EQUINOX = '1950.0  '
OBSERVER= 'S. GOEDHART'        / Principal Investigator
OBSLOCAL= 'sharmila'           /  On-site observer
PROJNAME= '6.7-GHz methanol maser monitoring' / Short name for the project
SPVLSR  =                  2.5 / Centre Vlsr (km/s)
SPBW    =             1000000. / spectrometer bandwidth (Hz)
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / Frequency-switching offset (Hz)
SPPSLON =                   0. / Position-switching offset in Longitude (deg)
SPPSLAT =                   0. / Position-switching offset in Latitude (deg)
SPTIME  =                 225. / Integration time per scan (seconds)
SPPOINT =                    0 / Offset pointing TRUE=non-0 FALSE=0
RESTFREQ=             6668.518 / [MHz] Backend centre frequency
CENTFREQ=             6668.018 / [MHz] Backend centre frequency
POSITION= 'ON      '           / Position identifier
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TSYS1   =     71.7397109468025 / [K] System temperature
TSYSERR1=   0.0330623369555981 / [K] System temp error
TSYS2   =     86.4920598256053 / [K] System temperature
TSYSERR2=   0.0480360932399716 / [K] System temp error
TUNIT1  = 'km/s    '
TTYPE2  = 'Polstate1'          / label for field
TUNIT2  = 'Kelvins '
TTYPE3  = 'Polstate4'          / label for field
TUNIT3  = 'Kelvins '
          Vlsr,     Polstate1,     Polstate4
      -8.78300,       37.6346,       81.2410
      -8.73910,       38.0180,       45.5495
      -8.69520,       37.7877,       45.2148
      -8.65129,       37.8176,       45.6401
      -8.60739,       37.9358,       45.5712
      -8.56349,       38.0047,       45.3940
      -8.51958,       37.7439,       45.3433
      -8.47568,       37.9906,       45.7089
      -8.43178,       38.0999,       45.6447
      -8.38788,       38.2124,       46.0257
      -8.34397,       38.4427,       46.0193
      -8.30007,       38.4249,       45.8737
      -8.25617,       38.4322,       46.0721
      -8.21227,       38.3573,       45.9737
      -8.16836,       38.4477,       46.2653
      -8.12446,       38.5568,       46.7289
      -8.08056,       38.7382,       46.3935
      -8.03665,       38.9071,       47.0023
      -7.99275,       39.1269,       47.0311
      -7.94885,       39.2149,       47.2087
      -7.90495,       39.3284,       47.2196
      -7.86104,       39.6581,       47.5642
      -7.81714,       39.4282,       47.6635
      -7.77324,       39.9193,       47.8403
      -7.72933,       40.0485,       48.0315
      -7.68543,       40.2661,       48.4802
      -7.64153,       40.3477,       48.3111
      -7.59763,       40.5160,       48.7767
      -7.55372,       40.8943,       48.9050
      -7.50982,       41.0050,       49.3529
      -7.46592,       41.0280,       49.9450
      -7.42202,       41.4670,       49.6089
      -7.37811,       41.6218,       50.4150
      -7.33421,       41.9601,       50.4588
      -7.29031,       42.3337,       50.7112
      -7.24641,       42.6164,       50.9442
      -7.20250,       42.8500,       51.3737
      -7.15860,       42.8937,       51.7899
      -7.11470,       43.0444,       51.8945
      -7.07079,       43.2730,       52.3468
      -7.02689,       43.7779,       52.6599
      -6.98299,       43.9916,       52.9696
      -6.93909,       44.0986,       53.1275
      -6.89518,       44.5662,       53.6905
      -6.85128,       44.8855,       53.5742
      -6.80738,       45.3432,       54.1771
      -6.76347,       45.4096,       54.8130
      -6.71957,       45.6615,       55.0822
      -6.67567,       46.3578,       55.3869
      -6.63177,       46.3697,       55.6817
      -6.58786,       46.9685,       55.9384
      -6.54396,       47.0917,       56.3295
      -6.50006,       47.4884,       56.6076
      -6.45616,       47.5770,       57.3962
      -6.41225,       48.1691,       57.8164
      -6.36835,       48.3775,       57.9359
      -6.32445,       48.6730,       58.7098
      -6.28055,       48.8284,       59.1881
      -6.23664,       49.3973,       59.3469
      -6.19274,       49.7804,       59.8315
      -6.14884,       49.9393,       60.3012
      -6.10493,       50.4741,       60.8953
      -6.06103,       50.4662,       61.3165
      -6.01713,       51.2159,       61.7037
      -5.97323,       51.5749,       62.0804
      -5.92932,       51.5073,       62.1634
      -5.88542,       52.1005,       62.8194
      -5.84152,       52.3753,       63.4361
      -5.79762,       52.8956,       63.8958
      -5.75371,       53.1758,       64.2958
      -5.70981,       53.4758,       64.0224
      -5.66591,       53.7735,       65.2163
      -5.62200,       54.4698,       65.3961
      -5.57810,       54.6654,       65.9237
      -5.53420,       54.8989,       66.2460
      -5.49030,       55.4506,       66.6552
      -5.44639,       55.7133,       67.3278
      -5.40249,       55.8715,       67.7706
      -5.35859,       56.6522,       68.4354
      -5.31468,       56.9072,       68.7358
      -5.27078,       57.2109,       68.8157
      -5.22688,       57.4601,       69.6189
      -5.18298,       57.7237,       69.8766
      -5.13907,       58.6694,       70.5590
      -5.09517,       58.4643,       71.1538
      -5.05127,       58.7286,       71.1141
      -5.00737,       58.9303,       71.5132
      -4.96346,       59.7825,       72.0214
      -4.91956,       60.0709,       72.3722
      -4.87566,       60.5476,       72.9255
      -4.83176,       60.6530,       72.7698
      -4.78785,       60.8184,       73.9537
      -4.74395,       61.0224,       73.7651
      -4.70005,       61.9368,       74.7815
      -4.65614,       61.9074,       75.0265
      -4.61224,       62.4383,       75.4160
      -4.56834,       62.9742,       75.7985
      -4.52444,       62.9748,       76.5242
      -4.48053,       63.3733,       76.4658
      -4.43663,       63.5682,       77.2419
      -4.39273,       63.8468,       77.5668
      -4.34882,       64.4891,       77.6766
      -4.30492,       64.6584,       78.3318
      -4.26102,       64.9210,       78.7659
      -4.21712,       65.0588,       78.6352
      -4.17321,       65.5711,       79.6381
      -4.12931,       65.9619,       79.6228
      -4.08541,       66.2974,       79.6927
      -4.04151,       66.1994,       80.3370
      -3.99760,       66.9026,       80.9403
      -3.95370,       67.1901,       80.7230
      -3.90980,       67.3994,       81.2767
      -3.86590,       67.7769,       81.4109
      -3.82199,       67.6217,       81.8937
      -3.77809,       68.2440,       82.2439
      -3.73419,       68.3880,       82.8049
      -3.69028,       68.7643,       82.9108
      -3.64638,       68.9495,       83.4347
      -3.60248,       69.2542,       83.5889
      -3.55858,       69.2666,       83.8646
      -3.51467,       69.6619,       84.0218
      -3.47077,       69.9453,       84.5102
      -3.42687,       70.0446,       84.9141
      -3.38297,       70.4301,       84.8660
      -3.33906,       70.7780,       85.3430
      -3.29516,       70.9562,       85.6316
      -3.25126,       71.0262,       86.2834
      -3.20735,       70.8941,       86.5501
      -3.16345,       71.3684,       86.3689
      -3.11955,       71.9178,       86.4717
      -3.07565,       72.0000,       87.2575
      -3.03174,       71.8575,       87.5799
      -2.98784,       72.2441,       87.5800
      -2.94394,       72.2694,       87.4683
      -2.90004,       72.5039,       88.3466
      -2.85613,       72.6559,       88.6691
      -2.81223,       73.2594,       88.3329
      -2.76833,       72.9897,       88.3998
      -2.72442,       73.3448,       88.8358
      -2.68052,       73.1716,       88.8985
      -2.63662,       73.8116,       89.1767
      -2.59272,       73.4632,       89.3583
      -2.54881,       73.9704,       89.6698
      -2.50491,       74.0837,       89.7815
      -2.46101,       74.0096,       89.6701
      -2.41711,       74.4250,       90.1103
      -2.37320,       74.5286,       90.3221
