DATE    = '2003-05-16T05:54:27' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'S. GOEDHART'        / Principal Investigator
OBSLOCAL= 'sharmila'           /  On-site observer
PROJNAME= '6.7-GHz methanol maser monitoring' / Short name for the project
SPVLSR  =                  2.5 / Centre Vlsr (km/s)
SPBW    =             1000000. / spectrometer bandwidth (Hz)
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / Frequency-switching offset (Hz)
SPPSLON =                   0. / Position-switching offset in Longitude (deg)
SPPSLAT =                   0. / Position-switching offset in Latitude (deg)
SPTIME  =                 225. / Integration time per scan (seconds)
SPPOINT =                    0 / Offset pointing TRUE=non-0 FALSE=0
RESTFREQ=           6668.518E6 / [Hz] Rest frequency
CENTFREQ=             6668.018 / [MHz] Backend centre frequency
POSCODE = 'ON'                 / ON-source
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TSYS1   =     72.9050805150096 / [K] System temperature
TSYSERR1=   0.0300780017098594 / [K] System temp error
TSYS2   =     87.4187903685818 / [K] System temperature
TSYSERR2=   0.0454903681555304 / [K] System temp error
TUNIT1  = 'km/s    '
TTYPE2  = 'Polstate1'          / label for field
TUNIT2  = 'Kelvins '
TTYPE3  = 'Polstate4'          / label for field
TUNIT3  = 'Kelvins '
          Vlsr,     Polstate1,     Polstate4
      -31.2612,       38.5762,       82.5256
      -31.2173,       38.5895,       46.2939
      -31.1734,       38.8090,       45.8128
      -31.1295,       38.5899,       46.0815
      -31.0856,       38.4441,       46.2464
      -31.0417,       38.6230,       46.1542
      -30.9978,       38.9964,       46.0206
      -30.9539,       38.8417,       46.4167
      -30.9100,       38.8692,       46.3760
      -30.8661,       39.0936,       46.7867
      -30.8222,       38.9817,       46.2050
      -30.7783,       39.1741,       46.5461
      -30.7344,       39.3584,       46.5059
      -30.6905,       39.4377,       46.6294
      -30.6466,       39.4093,       47.0532
      -30.6027,       39.4740,       47.2044
      -30.5588,       39.6088,       47.1461
      -30.5148,       39.9539,       47.3306
      -30.4709,       40.0396,       47.6575
      -30.4270,       39.9916,       47.8370
      -30.3831,       40.2971,       47.8662
      -30.3392,       40.3578,       48.0182
      -30.2953,       40.6540,       48.2692
      -30.2514,       40.7530,       48.4438
      -30.2075,       40.7810,       48.4467
      -30.1636,       40.9023,       49.0191
      -30.1197,       41.2728,       49.1407
      -30.0758,       41.4681,       49.4671
      -30.0319,       41.8085,       49.2820
      -29.9880,       41.8695,       49.8329
      -29.9441,       42.2998,       49.8607
      -29.9002,       42.3475,       50.3957
      -29.8563,       42.7152,       50.5938
      -29.8124,       43.0589,       50.9407
      -29.7685,       43.3986,       51.3457
      -29.7246,       43.3602,       51.7164
      -29.6807,       43.6136,       52.0994
      -29.6368,       43.9296,       52.3537
      -29.5929,       44.1350,       52.3141
      -29.5490,       44.5421,       52.8579
      -29.5051,       44.8342,       53.3368
      -29.4612,       44.9774,       53.7068
      -29.4173,       45.0028,       53.7670
      -29.3734,       45.4647,       54.4875
      -29.3295,       45.7970,       54.6578
      -29.2856,       46.1095,       55.2562
      -29.2417,       46.3345,       55.5537
      -29.1978,       46.7302,       55.8532
      -29.1539,       47.1080,       56.2027
      -29.1100,       47.2974,       56.6062
      -29.0661,       47.5896,       56.5670
      -29.0222,       48.0847,       57.5341
      -28.9783,       48.4800,       57.4330
      -28.9344,       48.5567,       58.0231
      -28.8904,       49.0209,       58.7348
      -28.8465,       49.2058,       58.9195
      -28.8026,       49.5844,       59.2692
      -28.7587,       50.0887,       59.9961
      -28.7148,       50.3705,       59.9890
      -28.6709,       50.9653,       60.7172
      -28.6270,       50.9922,       60.8873
      -28.5831,       51.4877,       61.5809
      -28.5392,       52.0546,       61.9559
      -28.4953,       52.1497,       62.5219
      -28.4514,       52.4870,       62.8303
      -28.4075,       52.9819,       63.2314
      -28.3636,       53.6391,       63.8488
      -28.3197,       53.5576,       64.2244
      -28.2758,       53.7580,       64.5983
      -28.2319,       54.2302,       64.9031
      -28.1880,       54.8932,       65.2449
      -28.1441,       54.8354,       65.9941
      -28.1002,       55.3206,       66.2545
      -28.0563,       55.7584,       66.8067
      -28.0124,       56.2296,       67.2673
      -27.9685,       56.2838,       67.8264
      -27.9246,       57.1089,       68.0699
      -27.8807,       57.3338,       68.5711
      -27.8368,       57.6044,       69.0838
      -27.7929,       57.9813,       69.2771
      -27.7490,       58.5507,       69.9036
      -27.7051,       58.8690,       70.4454
      -27.6612,       59.1257,       70.5888
      -27.6173,       59.6647,       71.1450
      -27.5734,       59.7997,       71.8486
      -27.5295,       59.9025,       72.1713
      -27.4856,       60.9533,       72.5643
      -27.4417,       61.3593,       73.1385
      -27.3978,       61.3348,       73.1412
      -27.3539,       61.5345,       73.8623
      -27.3099,       61.8579,       74.3428
      -27.2660,       62.3646,       74.6576
      -27.2221,       62.7324,       75.0846
      -27.1782,       63.0413,       75.6948
      -27.1343,       63.3424,       76.1870
      -27.0904,       63.7806,       76.2398
      -27.0465,       64.1817,       76.2646
      -27.0026,       64.6920,       77.2087
      -26.9587,       64.9505,       77.2839
      -26.9148,       65.1792,       77.7107
      -26.8709,       65.2790,       78.6622
      -26.8270,       65.7989,       78.3423
      -26.7831,       66.0735,       79.4501
      -26.7392,       66.6396,       79.8700
      -26.6953,       66.5375,       79.3475
      -26.6514,       67.0151,       79.8164
      -26.6075,       67.5876,       80.1970
      -26.5636,       67.5199,       80.9492
      -26.5197,       67.9457,       81.1560
      -26.4758,       68.4366,       81.8164
      -26.4319,       68.4687,       81.8210
      -26.3880,       68.8859,       82.5192
      -26.3441,       68.8569,       82.5580
      -26.3002,       69.3346,       83.2149
      -26.2563,       69.6455,       83.5022
      -26.2124,       69.8058,       83.5929
      -26.1685,       70.4551,       84.4251
      -26.1246,       70.4175,       84.6011
      -26.0807,       70.5438,       84.8524
      -26.0368,       71.1886,       84.8720
      -25.9929,       71.7338,       85.2454
      -25.9490,       71.2553,       85.3635
      -25.9051,       71.9357,       85.4506
      -25.8612,       71.3524,       86.4811
      -25.8173,       72.3215,       86.3878
      -25.7734,       72.5156,       87.0245
      -25.7295,       72.7948,       86.9772
      -25.6855,       72.7054,       87.6542
      -25.6416,       72.9510,       87.6209
