DATE    = '2003-07-03T09:42:03' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'ORION A '           / Name of object
LONGITUD=     83.2083333333333 / Longitude of object
LATITUDE=                -5.42 / Latitude of object
OBSERVER= 'M. Gaylard'         / Principal Investigator
OBSLOCAL= 'mikea   '           /  On-site observer
RESTFREQ=           6676.078E6 / [Hz] Rest frequency
SPVLSR  =                  -5. / Centre Vlsr (km/s)
SPBW    =             4000000. / spectrometer bandwidth (Hz)
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             2000000. / Frequency-switching offset (Hz)
SPPSLON =                   0. / Position-switching offset in Longitude (deg)
SPPSLAT =                   0. / Position-switching offset in Latitude (deg)
SPTIME  =                 600. / Integration time per scan (seconds)
SPPOINT =                65536 / Offset pointing TRUE=non-0 FALSE=0
EQUINOX = '1950.0  '

BINTABLE: Spectra

CENTFREQ=             6674.078 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -50.0809,       36.7531,       50.7909
      -49.9055,       35.7893,       43.5012
      -49.7301,       35.9055,       43.6160
      -49.5547,       35.8939,       43.6170
      -49.3792,       35.8835,       43.6990
      -49.2038,       35.9695,       43.7205
      -49.0284,       35.9898,       43.7912
      -48.8530,       36.0165,       43.9004
      -48.6776,       36.1162,       43.9657
      -48.5022,       36.0753,       43.9456
      -48.3268,       36.1962,       44.0434
      -48.1514,       36.3615,       44.2320
      -47.9759,       36.4336,       44.3755
      -47.8005,       36.5366,       44.5015
      -47.6251,       36.6400,       44.6142
      -47.4497,       36.7290,       44.7046
      -47.2743,       36.8918,       44.8637
      -47.0989,       36.9287,       45.0820
      -46.9235,       37.1619,       45.2004
      -46.7481,       37.2721,       45.3965
      -46.5727,       37.4476,       45.6185
      -46.3972,       37.5919,       45.7883
      -46.2218,       37.7743,       45.9612
      -46.0464,       37.9273,       46.1424
      -45.8710,       38.1340,       46.3811
      -45.6956,       38.3520,       46.6084
      -45.5202,       38.5364,       46.9148
      -45.3448,       38.7550,       47.1875
      -45.1694,       38.8777,       47.4296
      -44.9939,       39.1363,       47.6909
      -44.8185,       39.3137,       47.9773
      -44.6431,       39.6353,       48.2100
      -44.4677,       39.8467,       48.5480
      -44.2923,       40.0820,       48.8434
      -44.1169,       40.3072,       49.1595
      -43.9415,       40.5893,       49.4298
      -43.7661,       40.7537,       49.7874
      -43.5906,       41.0777,       50.0353
      -43.4152,       41.2905,       50.4400
      -43.2398,       41.6250,       50.8021
      -43.0644,       41.8679,       51.1168
      -42.8890,       42.1567,       51.4041
      -42.7136,       42.3950,       51.8229
      -42.5382,       42.7180,       52.1343
      -42.3628,       43.0500,       52.5114
      -42.1874,       43.3859,       52.8668
      -42.0119,       43.6353,       53.2679
      -41.8365,       43.9406,       53.7397
      -41.6611,       44.2522,       54.0019
      -41.4857,       44.6092,       54.3771
      -41.3103,       44.8747,       54.8355
      -41.1349,       45.1689,       55.3092
      -40.9595,       45.5965,       55.6215
      -40.7841,       45.8766,       56.0306
      -40.6086,       46.2207,       56.4386
      -40.4332,       46.6206,       56.8748
      -40.2578,       46.9675,       57.2495
      -40.0824,       47.2983,       57.7326
      -39.9070,       47.6445,       58.1173
      -39.7316,       47.9490,       58.5055
      -39.5562,       48.2626,       58.9839
      -39.3808,       48.6361,       59.3631
      -39.2053,       48.9343,       59.8166
      -39.0299,       49.3645,       60.2433
      -38.8545,       49.6207,       60.7485
      -38.6791,       50.0513,       61.1241
      -38.5037,       50.4530,       61.6512
      -38.3283,       50.7724,       62.0111
      -38.1529,       51.1639,       62.4241
      -37.9775,       51.5199,       62.8327
      -37.8021,       51.8306,       63.3557
      -37.6266,       52.2490,       63.7518
      -37.4512,       52.5531,       64.1898
      -37.2758,       52.9863,       64.5845
      -37.1004,       53.2489,       65.1106
      -36.9250,       53.6119,       65.4809
      -36.7496,       53.9597,       65.9114
      -36.5742,       54.5041,       66.3935
      -36.3988,       54.7311,       66.8680
      -36.2233,       55.1119,       67.1491
      -36.0479,       55.3983,       67.6674
      -35.8725,       55.7940,       68.0595
      -35.6971,       56.1446,       68.5010
      -35.5217,       56.4626,       68.9097
      -35.3463,       56.9290,       69.3351
      -35.1709,       57.3106,       69.7868
      -34.9955,       57.5848,       70.1385
      -34.8200,       57.9578,       70.5896
      -34.6446,       58.3165,       70.9279
      -34.4692,       58.4818,       71.3159
      -34.2938,       58.8790,       71.7713
      -34.1184,       59.3180,       72.1751
      -33.9430,       59.7018,       72.5336
      -33.7676,       59.9018,       73.0531
      -33.5922,       60.3513,       73.3262
      -33.4168,       60.6267,       73.5963
      -33.2413,       60.9784,       74.0761
      -33.0659,       61.3359,       74.4494
      -32.8905,       61.6629,       74.8510
      -32.7151,       61.9818,       75.2398
      -32.5397,       62.2467,       75.6536
      -32.3643,       62.5828,       76.0903
      -32.1889,       62.8650,       76.3983
      -32.0135,       63.2643,       76.7286
      -31.8380,       63.4998,       77.0012
      -31.6626,       63.8102,       77.4687
      -31.4872,       64.1132,       77.6530
      -31.3118,       64.3183,       78.0572
      -31.1364,       64.7560,       78.3396
      -30.9610,       65.1565,       78.7738
      -30.7856,       65.2962,       78.9976
      -30.6102,       65.5274,       79.2880
      -30.4347,       65.7734,       79.6180
      -30.2593,       66.0658,       79.8644
      -30.0839,       66.4194,       80.3380
      -29.9085,       66.7504,       80.6531
      -29.7331,       66.9792,       80.8933
      -29.5577,       67.1703,       81.1247
      -29.3823,       67.5067,       81.4024
      -29.2069,       67.7490,       81.8173
      -29.0314,       67.9137,       82.0354
      -28.8560,       68.2913,       82.4582
      -28.6806,       68.5067,       82.5987
      -28.5052,       68.7250,       82.7031
      -28.3298,       68.9927,       83.0547
      -28.1544,       69.2208,       83.3634
      -27.9790,       69.3410,       83.5852
      -27.8036,       69.5837,       83.8838
      -27.6282,       69.8408,       83.9674
      -27.4527,       69.9439,       84.2271
      -27.2773,       70.1629,       84.6178
      -27.1019,       70.5110,       84.8851
      -26.9265,       70.6279,       84.9581
      -26.7511,       70.7891,       85.2886
      -26.5757,       71.0969,       85.3597
      -26.4003,       71.2355,       85.5447
      -26.2249,       71.4216,       85.6974
      -26.0494,       71.6470,       85.8707
      -25.8740,       71.8060,       86.2210
      -25.6986,       71.8727,       86.2659
      -25.5232,       72.2028,       86.5481
      -25.3478,       72.2968,       86.6368
      -25.1724,       72.5198,       86.7764
      -24.9970,       72.7302,       86.9245
      -24.8216,       72.8281,       87.0625
      -24.6461,       72.9887,       87.2030
      -24.4707,       73.1593,       87.3760
      -24.2953,       73.2781,       87.4627
      -24.1199,       73.4779,       87.6105
      -23.9445,       73.4941,       87.9098
      -23.7691,       73.6065,       87.9226
      -23.5937,       73.7734,       88.0427
      -23.4183,       73.8905,       88.1512
      -23.2429,       74.0342,       88.1451
      -23.0674,       74.1974,       88.2755
      -22.8920,       74.3190,       88.4859
      -22.7166,       74.5247,       88.5179
      -22.5412,       74.5510,       88.5430
      -22.3658,       74.5791,       88.7460
      -22.1904,       74.8446,       88.8515
      -22.0150,       74.7776,       88.9035
      -21.8396,       74.9002,       89.0189
      -21.6641,       75.0153,       89.0120
      -21.4887,       75.1131,       89.0858
      -21.3133,       75.1824,       89.1818
      -21.1379,       75.1716,       89.2555
      -20.9625,       75.3186,       89.2876
      -20.7871,       75.3456,       89.3573
      -20.6117,       75.5553,       89.4176
      -20.4363,       75.5223,       89.4690
      -20.2608,       75.6255,       89.5965
      -20.0854,       75.7612,       89.6946
      -19.9100,       75.7178,       89.6462
      -19.7346,       75.7341,       89.7182
      -19.5592,       75.8800,       89.7968
      -19.3838,       75.9727,       89.7542
      -19.2084,       75.9758,       89.8042
      -19.0330,       76.0455,       89.6560
      -18.8576,       76.0763,       89.8977
      -18.6821,       76.1886,       89.7900
      -18.5067,       76.2162,       89.8550
      -18.3313,       76.2743,       89.8573
      -18.1559,       76.1898,       89.9753
      -17.9805,       76.1164,       90.0110
      -17.8051,       76.2843,       89.9688
      -17.6297,       76.2512,       89.9539
      -17.4543,       76.3866,       90.0196
      -17.2788,       76.2204,       90.0149
      -17.1034,       76.5063,       90.0653
      -16.9280,       76.5209,       90.0097
      -16.7526,       76.3944,       89.9214
      -16.5772,       76.5389,       90.0360
      -16.4018,       76.5112,       89.9750
      -16.2264,       76.4609,       90.0293
      -16.0510,       76.4832,       89.9692
      -15.8755,       76.4258,       90.0025
      -15.7001,       76.4610,       90.0070
      -15.5247,       76.5059,       89.9533
      -15.3493,       76.5433,       89.7513
      -15.1739,       76.4164,       89.9356
      -14.9985,       76.4657,       89.9888
      -14.8231,       76.5643,       89.7868
      -14.6477,       76.4242,       89.8823
      -14.4722,       76.4490,       89.9174
      -14.2968,       76.4859,       89.7200
      -14.1214,       76.4073,       89.8300
      -13.9460,       76.4099,       89.8169
      -13.7706,       76.4622,       89.7418
      -13.5952,       76.3906,       89.6999
      -13.4198,       76.3466,       89.7967
      -13.2444,       76.3316,       89.7544
      -13.0690,       76.3952,       89.7292
      -12.8935,       76.3142,       89.6101
      -12.7181,       76.3464,       89.5850
      -12.5427,       76.1929,       89.5216
      -12.3673,       76.1580,       89.6382
      -12.1919,       76.2845,       89.5066
      -12.0165,       76.1078,       89.4484
      -11.8411,       76.2108,       89.3866
      -11.6657,       76.2155,       89.4745
      -11.4902,       76.0875,       89.4874
      -11.3148,       76.0490,       89.5071
      -11.1394,       76.1079,       89.4559
      -10.9640,       76.0633,       89.3257
      -10.7886,       76.0673,       89.2690
      -10.6132,       76.0126,       89.3340
      -10.4378,       75.8212,       89.0845
      -10.2624,       75.8084,       89.3158
      -10.0869,       75.8078,       89.0992
      -9.91154,       75.8189,       89.2118
      -9.73612,       75.8252,       89.0872
      -9.56071,       75.7169,       89.1000
      -9.38530,       75.7493,       89.0295
      -9.20989,       75.7510,       88.9819
      -9.03448,       75.7381,       88.9945
      -8.85907,       75.5949,       89.0667
      -8.68365,       75.7531,       88.9678
      -8.50824,       75.5248,       89.0040
      -8.33283,       75.5310,       89.0463
      -8.15742,       75.4989,       89.0360
      -7.98200,       75.4331,       88.9012
      -7.80659,       75.3954,       88.7827
      -7.63118,       75.4609,       88.8660
      -7.45577,       75.3711,       88.8548
      -7.28036,       75.2851,       88.8176
      -7.10494,       75.3156,       88.7951
      -6.92953,       75.2463,       88.6274
      -6.75412,       75.2365,       88.8139
      -6.57871,       75.1932,       88.8052
      -6.40330,       75.2305,       88.7816
      -6.22788,       75.1616,       88.8064
      -6.05247,       75.1141,       88.8316
      -5.87706,       75.1529,       88.7662
      -5.70165,       75.0652,       88.7890
      -5.52624,       74.9363,       88.7218
      -5.35082,       75.0202,       88.6698
      -5.17541,       74.9684,       88.6190
      -5.00000,       74.9429,       88.7104
      -4.82459,       74.9389,       88.7119
      -4.64918,       74.8203,       88.6662
      -4.47376,       74.7365,       88.5566
      -4.29835,       74.8707,       88.5046
