DATE    = '2005-03-20T07:14:42' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G35.20-1.74'        / Name of object
LONGITUD=     284.804583333333 / Longitude of object
LATITUDE=     1.15194444444444 / Latitude of object
OBSERVER= 'Sharmila GOEDHART'  / Principal Investigator
OBSLOCAL= 'sharmila'           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =         7.8857421875 / Sub-reflector focus
TILT    =        -0.7666015625 / Sub-reflector tilt
TAMBIENT=     291.497093353271 / [K] Ambient temperature
PRESSURE=                868.2 / [mbar] Atmospheric pressure
HUMIDITY=     64.0558407287598 / [%] Humidity
WINDSPD =                3.125 / [m/s] Wind Speed
SPVLSR  =                  43. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 450. / [s] Integration time per scan
SPPOINT =                    0 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       31.7170,       29.6627,       33.4460
       31.7609,       29.8556,       33.6235
       31.8048,       29.8477,       33.4107
       31.8487,       29.7297,       33.7733
       31.8926,       30.1399,       33.5196
       31.9365,       30.0091,       33.9280
       31.9804,       30.3604,       33.8222
       32.0243,       30.4539,       34.4637
       32.0682,       30.6331,       34.3574
       32.1121,       30.8323,       34.7867
       32.1560,       30.9761,       34.9087
       32.1999,       31.3771,       35.2865
       32.2438,       31.6750,       35.4102
       32.2877,       31.9721,       36.2239
       32.3316,       32.3960,       36.1929
       32.3755,       32.7347,       36.9653
       32.4194,       33.0519,       37.1203
       32.4633,       33.4207,       37.7903
       32.5072,       33.9150,       37.9600
       32.5512,       34.3403,       38.6562
       32.5951,       34.9580,       39.0223
       32.6390,       35.3412,       39.8273
       32.6829,       35.7428,       40.1698
       32.7268,       36.3773,       41.1330
       32.7707,       36.8004,       41.3548
       32.8146,       37.3181,       42.3038
       32.8585,       38.0255,       42.6135
       32.9024,       38.4920,       43.6884
       32.9463,       39.0886,       43.9422
       32.9902,       39.6462,       45.0076
       33.0341,       40.4513,       45.3482
       33.0780,       40.8690,       46.1735
       33.1219,       41.6110,       46.6351
       33.1658,       42.2071,       47.5610
       33.2097,       42.8935,       47.8690
       33.2536,       43.6709,       49.1097
       33.2975,       44.1010,       49.4990
       33.3414,       44.7720,       50.5971
       33.3853,       45.3875,       51.1398
       33.4292,       46.0379,       52.0554
       33.4731,       46.7811,       52.3931
       33.5170,       47.3298,       53.4431
       33.5609,       47.9410,       53.8105
       33.6048,       48.6929,       54.6989
       33.6487,       49.3871,       55.3519
       33.6926,       49.9832,       56.3892
       33.7365,       50.6568,       56.5105
       33.7804,       51.1969,       57.7103
       33.8243,       51.8263,       58.0785
       33.8682,       52.2408,       59.1533
       33.9121,       53.0679,       59.6151
       33.9560,       53.5974,       60.5016
       33.9999,       54.1946,       60.7291
       34.0438,       54.8392,       61.5448
       34.0877,       55.4676,       62.2451
       34.1316,       56.1958,       62.9898
       34.1756,       56.6763,       63.3651
       34.2195,       57.1215,       63.9830
       34.2634,       57.7651,       64.7559
       34.3073,       58.2483,       65.2575
       34.3512,       58.5857,       65.7245
       34.3951,       59.3239,       66.5661
       34.4390,       59.4064,       66.7192
       34.4829,       60.1126,       67.5434
       34.5268,       60.6091,       67.8831
       34.5707,       60.9482,       68.4970
       34.6146,       61.4484,       68.6424
       34.6585,       61.8598,       69.4366
       34.7024,       62.0380,       69.7364
       34.7463,       62.6800,       70.5623
       34.7902,       62.8591,       70.5098
       34.8341,       63.3456,       71.3046
       34.8780,       63.7503,       71.4128
       34.9219,       64.2368,       71.6205
       34.9658,       64.2553,       71.9225
       35.0097,       64.5259,       72.6681
       35.0536,       64.9848,       72.6753
       35.0975,       65.1772,       73.2484
       35.1414,       65.7222,       73.4547
       35.1853,       65.7113,       73.8603
       35.2292,       66.0208,       73.6990
       35.2731,       66.2362,       74.1452
       35.3170,       66.4736,       74.0645
       35.3609,       66.6940,       74.8652
       35.4048,       66.8100,       74.6407
       35.4487,       66.8525,       75.0741
       35.4926,       67.1134,       75.1344
       35.5365,       67.3025,       75.3872
       35.5804,       67.4741,       75.8065
       35.6243,       67.5835,       75.8699
       35.6682,       67.7381,       76.0423
       35.7121,       68.0410,       76.3093
       35.7561,       67.7788,       76.1616
       35.8000,       68.0037,       76.4570
       35.8439,       68.1060,       76.5139
       35.8878,       68.1401,       76.6611
       35.9317,       68.4566,       76.4115
       35.9756,       68.5081,       76.6181
       36.0195,       68.5378,       76.7382
       36.0634,       68.6610,       77.1232
       36.1073,       68.7288,       77.1584
       36.1512,       68.6358,       77.4439
       36.1951,       68.5767,       77.1040
       36.2390,       68.7797,       77.2318
       36.2829,       68.7493,       77.4042
       36.3268,       68.7319,       77.2270
       36.3707,       68.9524,       77.1910
       36.4146,       68.9660,       77.5795
       36.4585,       68.8056,       77.1879
       36.5024,       69.0125,       77.2285
       36.5463,       69.0254,       77.3092
       36.5902,       69.1578,       77.5335
       36.6341,       68.8164,       77.3665
       36.6780,       69.0890,       77.8615
       36.7219,       69.3033,       77.3204
       36.7658,       69.0220,       77.6394
       36.8097,       69.1370,       77.2516
       36.8536,       68.9489,       77.4025
       36.8975,       69.0852,       77.2102
       36.9414,       69.0989,       77.4586
       36.9853,       69.0272,       77.1674
       37.0292,       69.0690,       77.4306
       37.0731,       69.2027,       77.1928
       37.1170,       69.0645,       77.5767
       37.1609,       69.1241,       76.9492
       37.2048,       69.1702,       77.2608
       37.2487,       68.9415,       77.0201
       37.2926,       69.1859,       77.7369
       37.3365,       68.8293,       77.2420
       37.3805,       69.1633,       77.2352
       37.4244,       69.1685,       77.3232
       37.4683,       69.2418,       77.4248
       37.5122,       69.1081,       77.3725
       37.5561,       69.2065,       77.2091
       37.6000,       68.8376,       77.0405
       37.6439,       69.0119,       77.2161
       37.6878,       68.7734,       77.1008
       37.7317,       68.9760,       77.4029
       37.7756,       68.8794,       77.2536
       37.8195,       69.0633,       77.1690
       37.8634,       68.9809,       77.0825
       37.9073,       69.1328,       77.1769
       37.9512,       68.9761,       77.0813
       37.9951,       69.1586,       77.4609
       38.0390,       69.0440,       77.3384
       38.0829,       69.0335,       77.1385
       38.1268,       68.9997,       77.1530
       38.1707,       69.0240,       77.3263
       38.2146,       68.8695,       77.2552
       38.2585,       69.2585,       77.2183
       38.3024,       68.9193,       77.2149
       38.3463,       69.1014,       77.4082
       38.3902,       68.9959,       77.2777
       38.4341,       68.9971,       77.3719
       38.4780,       69.0096,       77.1270
       38.5219,       69.0931,       77.1370
       38.5658,       68.9876,       77.0315
       38.6097,       69.1568,       77.4027
       38.6536,       69.0515,       77.0750
       38.6975,       69.1235,       77.5427
       38.7414,       69.3623,       77.2139
       38.7853,       69.1185,       77.5286
       38.8292,       69.1164,       77.1120
       38.8731,       69.1267,       77.3330
       38.9170,       69.4443,       77.4767
       38.9609,       69.3377,       77.7647
       39.0049,       69.4101,       77.3070
       39.0488,       69.4010,       77.7396
       39.0927,       69.0945,       77.5631
       39.1366,       69.5902,       77.6342
       39.1805,       69.3867,       77.4286
       39.2244,       69.1521,       77.6659
       39.2683,       69.1981,       77.7855
       39.3122,       69.5147,       77.5362
       39.3561,       69.4814,       77.1859
       39.4000,       69.4381,       77.7778
       39.4439,       69.6631,       77.5923
       39.4878,       69.4744,       78.0277
       39.5317,       69.3552,       77.5395
       39.5756,       69.7116,       77.8671
       39.6195,       69.5160,       77.6683
       39.6634,       69.5474,       77.7763
       39.7073,       69.9397,       77.8630
       39.7512,       69.7565,       77.8584
       39.7951,       69.6436,       78.0066
       39.8390,       69.5383,       77.9207
       39.8829,       69.7274,       77.8263
       39.9268,       69.7373,       78.0119
       39.9707,       69.8221,       78.2160
       40.0146,       69.7730,       78.1855
       40.0585,       70.1849,       78.1794
       40.1024,       70.0669,       78.1862
       40.1463,       69.7877,       78.2234
       40.1902,       70.0307,       78.2165
       40.2341,       69.9902,       78.0256
       40.2780,       70.3091,       78.6686
       40.3219,       70.6286,       78.7014
       40.3658,       71.4083,       79.7183
       40.4097,       72.2203,       80.1361
       40.4536,       73.1194,       81.2542
       40.4975,       74.0998,       82.0360
       40.5414,       75.4394,       83.5220
       40.5854,       76.2580,       84.1034
       40.6293,       76.9622,       85.3258
       40.6732,       78.3603,       86.2565
       40.7171,       80.5282,       88.2733
       40.7610,       82.2762,       90.1086
       40.8049,       84.4846,       92.5795
       40.8488,       86.1590,       93.6880
