DATE    = '2005-03-20T07:22:47' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G35.20-1.74'        / Name of object
LONGITUD=     284.804583333333 / Longitude of object
LATITUDE=     1.15194444444444 / Latitude of object
OBSERVER= 'Sharmila GOEDHART'  / Principal Investigator
OBSLOCAL= 'sharmila'           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =         7.8955078125 / Sub-reflector focus
TILT    =        -0.7763671875 / Sub-reflector tilt
TAMBIENT=     291.497093353271 / [K] Ambient temperature
PRESSURE=                868.2 / [mbar] Atmospheric pressure
HUMIDITY=     64.4257507629395 / [%] Humidity
WINDSPD =             3.515625 / [m/s] Wind Speed
SPVLSR  =                  43. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 450. / [s] Integration time per scan
SPPOINT =                    0 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       9.23880,       29.7691,       33.2078
       9.28271,       29.7324,       33.6192
       9.32661,       29.9032,       33.3868
       9.37051,       29.9407,       33.8470
       9.41442,       30.1279,       33.6002
       9.45832,       30.1895,       34.0784
       9.50222,       30.2279,       33.9545
       9.54612,       30.3990,       34.3453
       9.59003,       30.6296,       34.3100
       9.63393,       30.9595,       34.7442
       9.67783,       31.2495,       34.7902
       9.72173,       31.5494,       35.4474
       9.76564,       31.8145,       35.4683
       9.80954,       32.1543,       36.1926
       9.85344,       32.4553,       36.3027
       9.89735,       32.8445,       36.8925
       9.94125,       33.1308,       37.1169
       9.98515,       33.5866,       37.9237
       10.0291,       34.0694,       38.0400
       10.0730,       34.5598,       38.8624
       10.1169,       34.9941,       39.0956
       10.1608,       35.4230,       40.0042
       10.2047,       35.8996,       40.3263
       10.2486,       36.6168,       41.0039
       10.2925,       36.9649,       41.4151
       10.3364,       37.7113,       42.2623
       10.3803,       37.9446,       42.5408
       10.4242,       38.8568,       43.3640
       10.4681,       39.3047,       43.8049
       10.5120,       39.9211,       44.7056
       10.5559,       40.5899,       45.4496
       10.5998,       41.2850,       45.9500
       10.6437,       41.7587,       46.5297
       10.6876,       42.5269,       47.7093
       10.7315,       42.9784,       48.1650
       10.7754,       43.6391,       49.0484
       10.8193,       44.3807,       49.5976
       10.8632,       45.0861,       50.5268
       10.9071,       45.6649,       50.9052
       10.9510,       46.3802,       51.9187
       10.9949,       46.8848,       52.5104
       11.0388,       47.5706,       53.3286
       11.0827,       48.3367,       53.9665
       11.1266,       49.1178,       54.9571
       11.1705,       49.6091,       55.2299
       11.2144,       49.9071,       56.1691
       11.2583,       50.8080,       56.8987
       11.3022,       51.4817,       57.8530
       11.3461,       51.9481,       58.0435
       11.3900,       52.8832,       58.7683
       11.4339,       53.3471,       59.6671
       11.4778,       54.0652,       60.3796
       11.5217,       54.4310,       60.7198
       11.5656,       55.1003,       61.5354
       11.6096,       55.7127,       62.1764
       11.6535,       56.3426,       62.8735
       11.6974,       56.7041,       63.4341
       11.7413,       57.3028,       64.2943
       11.7852,       57.7555,       64.5957
       11.8291,       58.2672,       65.4158
       11.8730,       58.9898,       65.9222
       11.9169,       59.3375,       66.4665
       11.9608,       59.8809,       66.9538
       12.0047,       60.4244,       67.5492
       12.0486,       61.0216,       68.0634
       12.0925,       61.2433,       68.6362
       12.1364,       61.6903,       68.9102
       12.1803,       61.8992,       69.5672
       12.2242,       62.6385,       69.9348
       12.2681,       62.8460,       70.0577
       12.3120,       63.3072,       70.4611
