2006d208_11h08m04s_Cont_sarah_HYDRA_A.csv
This .csv file was written on, 2007-10-03, 10:23:24
Object, HYDRA A 

System Data:
Centfreq, 1668.000000, MHz 
Bandwdth, 8.000000, MHz 
Focus, 7.895508 
Instrume, Total Power 

Atmospheric Data:
Tambient, 294.456374, K 
Pressure, 874.700000, mbar 
Humidity, 9.679066, percent 
Derived:
Precip_Water_Vapour, 3.653832, mm 
Sat_vap_pressure, 2.538133, kPa 
Amb_vap_pressure, 0.245668, kPa 
Dew_point_temp, -11.890603, oC 
Water_vapour_density, 1.805444, g/M3 
Atmospheric optical depth Tau and brightness temperature Tb at zenith:
Tau_atmos_10GHz, 0.007867, SKA 
Tau_atmos_15GHz, 0.014327, Meeks 
Tau_atmos_22.1GHz, 0.042500, SKA 
Tau_atmos_22.235GHz, 0.045282, Meeks 
Tau_atmos_25GHz, 0.024423, SKA 
Tau_atmos_35GHz, 0.044548, Meeks 
Tbatmos_10GHz, 2.037474, K, SKA 
Tbatmos_15GHz, 3.698440, K, Meeks 
Tbatmos_22.1GHz, 10.818452, K, SKA 
Tbatmos_22.235GHz, 11.510830, K, Meeks 
Tbatmos_25GHz, 6.273072, K, SKA 
Tbatmos_35GHz, 11.328212, K, Meeks 

Calibration Data:
Tcal_LCP, 5.800000, K 
Tcal_RCP, 5.600000, K 
Hzperk1, 16763.238162, Hz/K
Hzperk2, 11447.101162, Hz/K
Hzkerr1, 3.402542, Hz/K 
Hzkerr2, 3.035653, Hz/K 
Tsys1, 44.844886, K 
Tsys2, 66.710946, K 
Tsyserr1, 0.483441, K 
Tsyserr2, 1.326002, K 
MJD_centre taken from centre of on source scan is, 53943.462077
RA_J2000_centre taken from centre of on source scan is, 139.523875, deg
Zenith Angle of on source scan is, 14.588206, deg
mean RA_J2000 taken from center of scan is, 139.524136, deg
Dec J2000 of scan, -11.287161, deg
Hour Angle of scan, -0.573522, deg

RA_offset_deg,Ta_LCP_K,Ta_RCP_K
-0.659432,-0.000000,0.000000
-0.659098,-0.001492,0.019663
-0.658763,-0.057440,0.042604
-0.658429,-0.022379,-0.051344
-0.658095,0.047743,0.092855
-0.657761,-0.091009,0.062268
-0.657427,-0.064154,0.050251
-0.657092,0.024617,0.142014
-0.656758,-0.035807,-0.003277
-0.656424,0.011190,0.079746
-0.656090,-0.099215,-0.016386
-0.655755,-0.090263,0.058990
-0.655421,0.060424,0.222853
-0.655087,-0.030585,0.117981
-0.654753,-0.002984,0.026218
-0.654418,-0.059678,0.198820
-0.654084,-0.006714,0.127813
-0.653750,-0.073106,-0.122351
-0.653416,-0.079074,0.049159
-0.653081,0.027601,0.078654
-0.652747,-0.012682,0.066637
-0.652413,0.007460,0.037142
-0.652079,0.035061,-0.054621
-0.651745,-0.018649,0.007647
-0.651410,-0.085041,0.055713
-0.651076,-0.014174,0.105964
-0.650742,-0.029839,0.043697
-0.650408,-0.065646,0.009832
-0.650074,-0.035061,0.154031
-0.649739,-0.008952,0.056806
-0.649405,0.110405,0.088486
-0.649071,-0.039537,0.077562
-0.648737,0.099961,0.000000
-0.648402,0.037299,0.049159
-0.648068,0.052964,-0.002185
