2006d209_20h39m13s_Cont_mike_PKS2155-304.csv
This .csv file was written on, 2006-08-01, 13:48:51
Object, PKS2155-304 

System Data:
Centfreq, 12218.000000 
Bandwdth, 400.000000 
Focus, 7.890625 
Instrume, Total Power 

Calibration Data:
Tcal1, 13.300000 
Tcal2, 15.200000 
Hzperk1, 6292.328374 
Hzperk2, 5764.255743 
Hzkerr1, 0.808053 
Hzkerr2, 0.930089 
Tsys1, 98.062331 
Tsys2, 98.293136 
Tsyserr1, 0.106484 
Tsyserr2, 0.102435 
MJD_cent taken from center of on source scan is, 53944.858216
RA_cent taken from center of on source scan is, 329.823420
RA_mean averaged over center scan is, 329.824423
Dec Apparent 1st scan, -30.164918
Dec Apparent 2nd scan, -30.194786
Dec Apparent 3rd scan, nan
Hour Angle 1st scan, -47.417424
Hour Angle 2nd scan, -46.813748
Hour Angle 3rd scan, -46.206454

RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl
-0.230478,0.000000,0.000000,-0.230261,-0.000000,0.000000,-0.230699,-0.000000,0.000000
-0.230144,-0.027823,0.010847,-0.229928,-0.005962,0.000000,-0.230365,-0.051671,0.006508
-0.229809,-0.003975,-0.023863,-0.229593,0.005962,-0.052066,-0.230030,0.013911,-0.004339
-0.229475,0.045709,0.004339,-0.229259,-0.041734,0.013016,-0.229696,0.001987,-0.019525
-0.229141,-0.043722,-0.052066,-0.228925,-0.071544,0.034710,-0.229362,0.017886,0.026033
-0.228807,-0.029810,-0.017355,-0.228591,-0.039747,0.006508,-0.229028,-0.035772,-0.043388
-0.228473,-0.001987,-0.073760,-0.228256,-0.079494,-0.013016,-0.228693,-0.027823,-0.010847
-0.228138,-0.015899,-0.052066,-0.227922,0.021861,0.015186,-0.228359,-0.043722,0.002169
-0.227804,-0.023848,-0.017355,-0.227588,-0.049684,-0.013016,-0.228713,-0.027823,0.101962
-0.227469,-0.055646,-0.058574,-0.227254,-0.049684,0.028202,-0.227690,0.001987,-0.013016
-0.227136,-0.019873,-0.028202,-0.226920,-0.017886,0.010847,-0.227356,-0.031797,0.013016
-0.226802,-0.031797,0.010847,-0.226585,-0.033785,-0.052066,-0.227709,-0.029810,-0.017355
-0.226467,-0.045709,-0.060743,-0.226251,-0.029810,-0.004339,-0.227375,-0.035772,-0.010847
-0.226133,-0.007949,-0.095454,-0.225917,-0.037759,-0.030372,-0.227041,-0.017886,0.002169
-0.225799,-0.069557,-0.034710,-0.225583,0.015899,-0.034710,-0.226019,-0.085456,0.028202
-0.225465,-0.071544,-0.043388,-0.225249,-0.001987,0.002169,-0.226372,-0.039747,0.032541
-0.225131,-0.001987,-0.054235,-0.224914,-0.033785,-0.026033,-0.226038,-0.021861,0.013016
-0.224796,-0.039747,0.010847,-0.224580,-0.031797,-0.021694,-0.225704,-0.077506,-0.004339
-0.224462,-0.031797,0.010847,-0.224246,-0.051671,0.017355,-0.225370,-0.051671,0.045557
-0.224128,0.019873,-0.023863,-0.223911,-0.005962,-0.004339,-0.225035,-0.055646,0.073760
-0.223794,-0.029810,-0.010847,-0.223577,-0.023848,0.056405,-0.224701,-0.045709,0.073760
-0.223460,-0.025835,-0.034710,-0.223243,-0.041734,-0.032541,-0.224367,-0.025835,0.021694
-0.223126,-0.027823,-0.006508,-0.222909,-0.005962,-0.052066,-0.224032,-0.035772,0.045557
-0.222791,-0.033785,-0.019525,-0.222575,-0.067570,0.069421,-0.223698,-0.009937,0.036880
-0.222457,-0.051671,-0.060743,-0.222240,-0.081481,0.043388,-0.223364,0.003975,0.062913
