2006d222_05h46m53s_Cont_mike_3C123.csv
This .csv file was written on, 2007-08-14, 09:51:47
Object, 3C123 

System Data:
Centfreq, 2220.000000, MHz 
Bandwdth, 400.000000, MHz 
Focus, 7.890625 
Instrume, Noise Adding 

Atmospheric Data:
Tambient, 278.642720, K 
Pressure, 874.500000, mbar 
Humidity, 88.654858, percent 
Derived:
Precip_Water_Vapour, 12.452264, mm 
Sat_vap_pressure, 0.904324, kPa 
Amb_vap_pressure, 0.801727, kPa 
Dew_point_temp, 3.791536, oC 
Water_vapour_density, 6.226389, g/M3 
Atmospheric optical depth Tau and brightness temperature Tb at zenith:
Tau_atmos_10GHz, 0.009715, SKA 
Tau_atmos_15GHz, 0.018399, Meeks 
Tau_atmos_22.1GHz, 0.111128, SKA 
Tau_atmos_22.235GHz, 0.094144, Meeks 
Tau_atmos_25GHz, 0.054338, SKA 
Tau_atmos_35GHz, 0.057781, Meeks 
Tbatmos_10GHz, 2.513664, K, SKA 
Tbatmos_15GHz, 4.739924, K, Meeks 
Tbatmos_22.1GHz, 27.345628, K, SKA 
Tbatmos_22.235GHz, 23.360521, K, Meeks 
Tbatmos_25GHz, 13.750824, K, SKA 
Tbatmos_35GHz, 14.597286, K, Meeks 

Calibration Data:
Tcal_LCP, 4.100000, K 
Tcal_RCP, 4.400000, K 
Hzperk1, 15811.958159, Hz/K
Hzperk2, 14183.178893, Hz/K
Hzkerr1, 4.133473, Hz/K 
Hzkerr2, 5.261036, Hz/K 
Tsys1, 53.185677, K 
Tsys2, 50.902671, K 
Tsyserr1, 0.643213, K 
Tsyserr2, 0.501657, K 
MJD_centre taken from centre of on source scan is, 53957.239438
RA_J2000_centre taken from centre of on source scan is, 68.492449, deg
Zenith Angle of on source scan is, 60.312313, deg
mean RA_J2000 taken from center of scan is, 68.492956, deg
Dec J2000 of scan, 29.572414, deg
Hour Angle of scan, 277289.636481, deg

RA_offset_deg,Ta_LCP_K,Ta_RCP_K
-0.511138,0.000000,0.000000
-0.510805,0.080313,-0.022952
-0.510475,0.004284,0.020394
-0.510141,-0.008546,0.067091
-0.509803,-0.006959,-0.023727
-0.509469,-0.038690,-0.052535
-0.509140,-0.027585,-0.026071
-0.508802,0.046046,0.048430
-0.508468,-0.014254,-0.026071
-0.508134,0.011135,-0.032743
-0.507800,-0.023776,-0.029214
-0.507466,-0.102505,-0.095622
-0.507132,-0.115176,-0.067405
-0.506798,-0.088250,0.096370
-0.506465,-0.123845,0.027478
-0.506131,-0.120679,0.002747
-0.505797,-0.045655,0.013346
-0.505463,-0.057226,-0.000786
-0.505129,0.034234,0.122867
-0.504795,0.026308,-0.008038
-0.504457,-0.019187,-0.027449
-0.504123,0.012513,-0.038037
-0.503794,-0.016179,-0.050390
-0.503460,0.001084,0.046665
-0.503122,-0.098515,-0.077423
-0.502788,-0.080955,-0.056254
-0.502458,-0.058786,-0.017444
-0.502124,-0.061953,-0.025878
-0.501790,-0.031865,0.037642
-0.501452,-0.079372,-0.022349
-0.501123,-0.124594,-0.061167
-0.500789,-0.124594,-0.085040
-0.500455,-0.110352,-0.063878
-0.500807,-0.019509,-0.021553
-0.500473,-0.052776,-0.046816
-0.500140,-0.116142,-0.108520
-0.499806,-0.017116,-0.124387
-0.499472,-0.171092,-0.112046
-0.499138,-0.152106,-0.097942
-0.498809,-0.030440,0.101462
-0.498470,-0.050886,0.004317
-0.498137,-0.068469,0.016681
-0.497803,-0.052471,0.002551
-0.497473,-0.066736,-0.009023
-0.497135,-0.000972,0.065122
-0.496801,-0.082875,0.038642
-0.496467,-0.068618,-0.028442
-0.496138,-0.067033,-0.012554
-0.495800,-0.020136,-0.048816
-0.494779,0.011570,0.030186
-0.494446,-0.035989,-0.024500
-0.494116,0.023013,-0.063310
-0.493778,-0.001419,-0.049197
-0.493444,-0.055641,0.054176
-0.493115,-0.012847,0.066543
-0.492781,-0.030282,-0.013138
-0.492447,-0.076059,-0.059023
-0.492109,-0.098996,-0.073330
-0.491089,-0.092663,-0.008038
-0.490759,-0.044379,0.013335
-0.490425,-0.053081,-0.000980
-0.490087,-0.066406,-0.047861
-0.489753,-0.072744,-0.021380
-0.489424,-0.034085,-0.009023
-0.489090,-0.029331,-0.026677
-0.488752,0.050157,0.065122
-0.488418,-0.014892,0.025711
-0.488088,-0.002199,-0.004319
-0.487754,-0.066406,0.006280
-0.487416,-0.061325,-0.051964
-0.487082,-0.037567,0.117567
-0.486753,-0.105673,0.048675
-0.486419,-0.078747,0.020412
-0.486081,-0.089834,0.018447
-0.485747,-0.090173,0.006083
-0.485417,-0.061774,0.096164
-0.485083,-0.053731,0.039643
-0.484745,-0.075913,0.003335
-0.484411,-0.041376,-0.009023
-0.484082,-0.053904,-0.019615
-0.483748,-0.004756,0.072184
-0.483410,-0.034879,0.005100
-0.483076,-0.042806,-0.041183
-0.482746,-0.030123,-0.043905
-0.482413,-0.089550,-0.070367
-0.482074,-0.037254,0.007253
-0.481740,-0.062610,-0.015680
-0.481411,-0.054686,-0.099149
-0.481077,-0.058006,-0.058587
-0.480739,-0.094445,-0.076223
-0.480405,-0.159654,-0.171133
-0.480071,-0.004141,-0.063757
-0.479737,-0.016815,-0.035661
-0.479403,0.015725,-0.064696
-0.479065,-0.000140,-0.021768
-0.478736,-0.017590,-0.058833
-0.478402,0.106614,0.045101
-0.478064,-0.053904,-0.023727
-0.477730,-0.069279,-0.042948
-0.477400,-0.049779,-0.059023
-0.477066,-0.030757,-0.059023
-0.476733,-0.008565,0.002157
-0.476394,-0.019661,-0.040185
-0.476065,-0.024417,-0.049579
-0.475731,-0.012847,-0.023123
-0.475397,-0.104847,-0.067216
-0.475059,-0.034875,0.073542
-0.474729,-0.082395,-0.049579
-0.474396,-0.053883,-0.126881
-0.474062,-0.057529,-0.109258
-0.473723,-0.084459,-0.139760
-0.474080,0.077783,-0.044628
-0.473751,0.015896,-0.074577
-0.472726,-0.075767,-0.074083
-0.473079,-0.045655,-0.003527
-0.472058,-0.046131,0.006275
-0.472415,-0.069427,-0.038805
-0.472077,0.017739,0.071574
-0.471743,-0.022357,-0.032551
-0.471409,-0.077352,-0.095436
-0.471080,-0.066406,-0.061925
-0.470742,-0.067991,-0.039610
-0.470408,-0.051650,-0.016068
-0.470074,-0.113381,-0.039610
-0.469744,-0.078892,-0.032551
-0.469406,-0.110561,-0.051964
-0.469072,-0.099477,-0.003927
-0.468738,0.009005,0.073813
-0.468409,-0.009841,-0.077423
-0.468075,-0.041687,-0.089958
-0.467737,-0.024102,-0.104809
-0.467403,-0.035194,-0.106573
-0.467074,-0.057981,0.003529
-0.466740,-0.099275,-0.034508
-0.466401,-0.089638,0.001766
-0.466068,-0.094387,0.005297
-0.465738,-0.040112,-0.068036
-0.465404,0.063317,0.039607
-0.465066,0.076009,-0.018820
-0.464732,0.053799,-0.093858
-0.464403,-0.006815,-0.154393
-0.464069,0.010323,-0.067405
-0.463731,-0.014269,-0.083651
-0.463397,0.004756,-0.010972
-0.463067,-0.068618,-0.045669
-0.462733,-0.083979,-0.073895
-0.462395,-0.042795,-0.054490
-0.462061,-0.078122,-0.086243
-0.461732,-0.064493,0.003529
-0.461398,-0.104089,-0.076599
-0.461060,-0.043760,-0.084666
-0.460726,-0.023146,-0.091722
-0.460396,0.002225,0.004514
-0.460063,0.032354,0.080472
-0.459724,-0.021399,0.049279
-0.459390,0.007320,0.020412
-0.459061,0.008907,0.075376
-0.458727,-0.010460,-0.005297
-0.458389,0.046984,0.128376
-0.458055,-0.004117,-0.010593
-0.457721,-0.127979,0.025910
-0.457387,-0.016803,-0.026097
-0.457053,-0.124812,-0.010203
-0.456715,-0.037723,0.071029
-0.456386,-0.096591,0.058667
-0.456052,0.047453,-0.063689
-0.455718,0.041577,-0.079562
-0.455380,0.014610,-0.108336
-0.455050,0.035232,-0.122990
-0.454716,0.099805,0.034481
-0.454383,0.041577,-0.041758
-0.454049,-0.030123,-0.044713
-0.453715,-0.006342,-0.034123
-0.453381,-0.025367,0.058114
-0.453047,0.026952,0.144698
-0.452713,-0.045977,0.065385
-0.452379,-0.022196,0.040644
-0.452050,0.013968,0.053015
-0.451712,0.003811,-0.046096
-0.451378,0.093187,0.079041
-0.451044,0.031294,0.036677
-0.450714,-0.034246,-0.027642
-0.450376,-0.023781,0.012940
-0.450042,-0.046286,0.055337
-0.449709,-0.031549,0.088893
-0.449379,-0.044224,-0.001961
-0.449041,-0.055944,-0.040799
-0.448707,-0.051192,0.001569
-0.448373,-0.046440,-0.012554
-0.448044,-0.002084,0.055136
-0.447705,-0.019832,0.023349
-0.447371,-0.053731,0.071298
-0.447038,-0.041056,0.057156
-0.446708,-0.046916,0.053620
-0.446374,-0.050085,-0.023533
-0.446036,-0.056422,0.127028
-0.445702,-0.046916,0.061648
-0.445373,-0.077018,0.036910
-0.445039,0.006173,0.029842
-0.444701,-0.100237,0.096871
-0.444367,-0.057504,0.137546
-0.444037,-0.040094,0.008237
-0.443703,-0.001112,-0.011178
-0.444051,-0.015380,-0.009413
-0.443718,-0.016965,-0.028828
-0.443388,0.017911,0.170989
-0.443054,-0.054686,0.054378
-0.442716,-0.045178,0.064979
-0.442382,-0.037254,0.049078
-0.442053,-0.030915,-0.001961
-0.441719,-0.013484,0.037842
-0.441381,-0.060069,-0.081888
-0.441047,-0.045809,-0.085414
-0.440717,-0.071601,-0.069546
-0.440383,-0.052604,-0.058208
-0.440045,0.088891,-0.043098
-0.439711,0.017483,-0.051914
-0.439382,-0.104985,-0.089314
-0.439048,0.002698,-0.098128
-0.438023,-0.054664,-0.066397
-0.437690,-0.089496,0.013532
-0.437360,-0.024582,0.054127
-0.437026,-0.092663,0.061648
-0.436688,-0.083163,0.026308
-0.436354,-0.033133,0.040444
-0.436025,0.007286,-0.077611
-0.435686,0.039636,0.082163
-0.435353,0.009682,-0.038805
-0.435019,0.023954,-0.058777
-0.433999,0.016025,-0.027037
-0.433665,0.030298,-0.033705
-0.433331,0.012042,-0.025056
-0.432997,-0.021246,0.012151
-0.432663,-0.044224,-0.053106
-0.432329,-0.048978,0.007843
-0.431991,-0.082539,-0.025685
-0.431657,0.006477,0.053724
-0.431328,-0.021407,0.007647
-0.430994,0.004284,-0.030979
-0.430655,0.023954,-0.011762
-0.430322,-0.001419,-0.006469
-0.429992,0.160433,0.079041
-0.429658,0.147719,0.168951
-0.429320,0.077226,0.056901
-0.428986,0.079747,0.037476
-0.428657,0.046405,0.086591
-0.428323,-0.022517,0.041008
-0.427985,-0.015705,0.141665
-0.427651,-0.015705,-0.020972
-0.427321,-0.075539,-0.038421
-0.426988,-0.063536,-0.030756
-0.426649,-0.047701,-0.008428
-0.426315,-0.017613,0.016257
-0.425986,-0.035189,-0.015486
-0.425652,-0.036616,0.012359
-0.425318,-0.054187,-0.007062
-0.424980,-0.057027,-0.033321
-0.424651,-0.019358,0.094311
-0.424317,-0.037567,0.006079
-0.423983,-0.052146,-0.019208
-0.423645,0.053043,0.013137
-0.423315,0.026062,0.020592
-0.422981,0.111304,0.152685
-0.422647,0.036702,0.015297
-0.422309,-0.046916,0.110396
-0.421980,-0.013647,0.094484
-0.421650,-0.035826,0.045142
-0.421312,-0.028539,0.061187
-0.420978,-0.004141,0.082238
-0.420644,-0.055467,-0.025298
-0.420315,-0.028539,-0.008623
-0.419976,-0.053883,0.029417
-0.419643,0.021898,-0.031557
-0.419309,-0.001611,0.031353
-0.418979,0.058558,-0.026264
-0.418641,0.014439,-0.036046
-0.418307,0.019197,-0.091449
-0.417973,-0.053253,-0.100262
-0.417644,-0.007309,-0.028001
-0.417306,-0.007309,-0.038576
-0.416972,-0.032658,-0.042101
-0.416638,-0.029806,-0.052485
-0.416309,0.025193,0.004707
-0.415975,0.065002,0.085897
-0.415636,0.029828,0.040007
-0.415302,0.015554,0.029616
-0.414973,-0.007927,0.059881
-0.414639,-0.020772,0.084824
-0.414301,0.052138,0.161027
-0.413967,0.003003,0.097195
-0.413637,-0.000167,0.079318
-0.413304,-0.012373,0.100729
-0.413652,-0.019348,0.146389
-0.413318,0.032943,0.095340
-0.412988,-0.008256,0.048631
-0.411968,0.009985,0.174684
-0.412316,0.008399,0.029218
-0.411982,0.030298,0.050396
-0.411653,-0.002698,0.137336
-0.411319,0.049617,0.200994
-0.410981,0.015854,0.039007
-0.410647,0.015854,-0.000391
-0.410317,0.028538,0.034880
-0.409984,0.073489,-0.000391
-0.409645,0.069759,0.109257
-0.409311,0.085148,0.033346
-0.408982,0.070877,0.097814
-0.408648,0.060246,0.031581
-0.408310,0.069759,0.124748
-0.407976,0.089904,0.157559
-0.407647,0.085613,0.074561
-0.407313,0.049148,0.041772
-0.406974,0.068825,0.088688
-0.406641,0.034879,0.086922
-0.406307,0.073675,0.220446
-0.405973,0.029424,0.147946
-0.405639,0.075260,0.135567
-0.405305,0.043678,-0.015680
-0.404971,-0.006220,0.042535
-0.404637,0.085594,0.084873
-0.404299,0.023857,0.164775
-0.403965,0.010383,0.125888
-0.403636,0.007219,0.154382
-0.403302,0.062316,0.152402
-0.402964,0.007690,0.121935
-0.402630,0.043321,0.172542
-0.402300,0.029894,0.089509
-0.401967,0.007724,0.053724
-0.401628,0.006612,0.023725
-0.401294,0.000279,0.080193
-0.400965,0.027197,0.168425
-0.400631,0.021334,0.135652
-0.400293,0.015000,0.119751
-0.399959,-0.000832,0.158130
-0.399629,0.000112,0.172273
-0.399296,0.025440,0.274813
-0.398962,0.042094,0.161666
-0.398623,0.057931,0.212041
-0.398294,0.002501,0.171362
-0.397960,0.035759,0.115801
-0.397626,0.023387,0.274394
-0.397292,0.026553,0.140531
-0.396959,0.016413,0.100223
-0.396625,0.008499,0.149364
-0.396291,0.013247,0.145831
-0.395957,0.029840,0.198825
-0.395623,-0.008131,0.146042
-0.395289,0.007690,0.125261
-0.394955,0.073023,0.130562
-0.394622,0.077964,0.145543
-0.394288,0.122077,0.158130
-0.393958,0.141103,0.193488
-0.393620,0.105760,0.002744
-0.393286,0.135886,0.004704
-0.392952,0.117321,0.013520
-0.392623,0.120030,-0.005876
-0.392285,0.104174,0.184522
-0.391951,0.082253,0.082163
-0.391617,0.083184,0.110607
-0.391287,0.102858,0.113929
-0.390954,0.061648,0.105312
-0.390615,0.117123,0.259125
-0.390286,0.051596,0.137125
-0.389952,0.048429,0.170291
-0.389618,0.040510,0.163220
-0.389280,0.081687,0.184433
-0.388950,0.141613,0.255143
-0.388617,0.051309,0.156149
-0.388283,0.107613,0.249850
-0.387944,0.162803,0.232819
-0.387615,0.158044,0.256719
-0.387281,0.108735,0.316916
-0.386947,0.081788,0.281506
-0.386609,0.016413,0.162581
-0.386280,0.024327,0.124006
-0.385946,0.052818,0.115694
-0.385612,0.116859,0.119224
-0.385274,0.126372,0.149226
-0.384944,0.108931,0.106870
-0.384610,0.126372,0.042135
-0.384276,-0.013514,0.066827
-0.383938,-0.013514,0.061535
-0.383609,0.042207,0.191797
-0.383275,0.056451,0.101782
-0.382941,0.037459,0.128257
-0.382603,0.060916,0.140823
-0.382955,0.049185,0.105519
-0.381939,0.143246,0.262864
-0.382292,0.054583,0.090576
-0.381267,0.081498,0.198358
-0.381620,0.077401,0.194390
-0.381290,0.060632,0.180253
-0.380956,0.117650,0.222446
-0.379932,0.082529,0.197925
-0.380284,0.112633,0.195941
-0.379955,0.158084,0.204776
-0.379621,0.126372,0.172542
-0.379283,0.129601,0.211408
-0.378949,0.115340,0.200808
-0.378619,0.075073,0.140823
-0.378285,0.138444,0.116110
-0.377261,0.120094,0.165049
-0.376927,0.117585,0.204559
-0.376593,0.122340,0.219803
-0.376259,0.137879,0.180945
-0.375921,0.160089,0.165049
-0.375587,0.191343,0.198608
-0.375258,0.240570,0.195075
-0.374924,0.280284,0.324473
-0.374586,0.210394,0.203009
-0.374252,0.118772,0.204776
-0.373922,0.118772,0.185339
-0.372902,0.115604,0.213611
-0.372564,0.092007,0.174200
-0.372230,0.050875,0.128348
-0.371901,0.061949,0.225980
-0.371567,0.063531,0.213611
-0.371233,0.060367,0.233048
-0.370895,0.076839,0.291360
-0.370565,0.128939,0.274813
-0.370231,0.152703,0.145907
-0.369897,0.160624,0.211408
-0.369559,0.216747,0.169493
-0.369230,0.227853,0.215397
-0.368896,0.188188,0.218491
-0.368562,0.120492,0.199290
-0.368224,0.144733,0.178106
-0.367894,0.124125,0.201056
-0.367560,0.142688,0.193994
-0.367227,0.185950,0.225771
-0.366893,0.221053,0.148095
-0.366559,0.207004,0.108428
-0.366229,0.192729,0.143299
-0.365891,0.226038,0.145063
-0.365557,0.224452,0.279147
-0.365223,0.178454,0.289409
-0.364894,0.223999,0.285873
-0.364556,0.214706,0.298251
-0.364222,0.195666,0.225541
