"2006d222_05h46m53s_Cont_mike_3C123.csv",,,,
"This .csv file was written on",07/08/14,09:51:47,,
"Object"," 3C123 ",,,
,,,,
"System Data:",,,,
"Centfreq",2220," MHz ",,
"Bandwdth",400," MHz ",,
"Focus",7.891,,,
"Instrume"," Noise Adding ",,,
,,,,
"Atmospheric Data:",,,,
"Tambient",278.643," K ",,
"Pressure",874.5," mbar ",,
"Humidity",88.655," percent ",,
"Derived:",,,,
"Precip_Water_Vapour",12.452," mm ",,
"Sat_vap_pressure",0.904," kPa ",,
"Amb_vap_pressure",0.802," kPa ",,
"Dew_point_temp",3.792," oC ",,
"Water_vapour_density",6.226," g/M3 ",,
"Atmospheric optical depth Tau and brightness temperature Tb at zenith:",,,,
"Tau_atmos_10GHz",0.01," SKA ",,
"Tau_atmos_15GHz",0.018," Meeks ",,
"Tau_atmos_22.1GHz",0.111," SKA ",,
"Tau_atmos_22.235GHz",0.094," Meeks ",,
"Tau_atmos_25GHz",0.054," SKA ",,
"Tau_atmos_35GHz",0.058," Meeks ",,
"Tbatmos_10GHz",2.514," K"," SKA ",
"Tbatmos_15GHz",4.74," K"," Meeks ",
"Tbatmos_22.1GHz",27.346," K"," SKA ",
"Tbatmos_22.235GHz",23.361," K"," Meeks ",
"Tbatmos_25GHz",13.751," K"," SKA ",
"Tbatmos_35GHz",14.597," K"," Meeks ",
,,,,
"Calibration Data:",,,,
"Tcal_LCP",4.1," K ",,
"Tcal_RCP",4.4," K ",,
"Hzperk1",15811.958," Hz/K",,
"Hzperk2",14183.179," Hz/K",,
"Hzkerr1",4.133," Hz/K ",,
"Hzkerr2",5.261," Hz/K ",,
"Tsys1",53.186," K ",,
"Tsys2",50.903," K ",,
"Tsyserr1",0.643," K ",,
"Tsyserr2",0.502," K ",,
"MJD_centre taken from centre of on source scan is",53957.239,,,
"RA_J2000_centre taken from centre of on source scan is",68.492," deg",,
"Zenith Angle of on source scan is",60.312," deg",,
"mean RA_J2000 taken from center of scan is",68.493," deg",,
"Dec J2000 of scan",29.572," deg",,
"Hour Angle of scan",277289.636," deg",,
,,,,
"RA_offset_deg","Ta_LCP_K","Ta_RCP_K","I","dRAoff/dI"
-0.511138,0,0,1,0.000333
-0.510805,0.08,-0.023,2,0.000330
-0.510475,0.004,0.02,3,0.000334
-0.510141,-0.009,0.067,4,0.000338
-0.509803,-0.007,-0.024,5,0.000334
-0.509469,-0.039,-0.053,6,0.000329
-0.509140,-0.028,-0.026,7,0.000338
-0.508802,0.046,0.048,8,0.000334
-0.508468,-0.014,-0.026,9,0.000334
-0.508134,0.011,-0.033,10,0.000334
-0.507800,-0.024,-0.029,11,0.000334
-0.507466,-0.103,-0.096,12,0.000334
-0.507132,-0.115,-0.067,13,0.000334
-0.506798,-0.088,0.096,14,0.000333
-0.506465,-0.124,0.027,15,0.000334
-0.506131,-0.121,0.003,16,0.000334
-0.505797,-0.046,0.013,17,0.000334
-0.505463,-0.057,-0.001,18,0.000334
-0.505129,0.034,0.123,19,0.000334
-0.504795,0.026,-0.008,20,0.000338
-0.504457,-0.019,-0.027,21,0.000334
-0.504123,0.013,-0.038,22,0.000329
-0.503794,-0.016,-0.05,23,0.000334
-0.503460,0.001,0.047,24,0.000338
-0.503122,-0.099,-0.077,25,0.000334
-0.502788,-0.081,-0.056,26,0.000330
-0.502458,-0.059,-0.017,27,0.000334
-0.502124,-0.062,-0.026,28,0.000334
-0.501790,-0.032,0.038,29,0.000338
-0.501452,-0.079,-0.022,30,0.000329
-0.501123,-0.125,-0.061,31,0.000334
-0.500789,-0.125,-0.085,32,0.000334
-0.500455,-0.11,-0.064,33,-0.000352
-0.500807,-0.02,-0.022,34,0.000334
-0.500473,-0.053,-0.047,35,0.000333
-0.500140,-0.116,-0.109,36,0.000334
-0.499806,-0.017,-0.124,37,0.000334
-0.499472,-0.171,-0.112,38,0.000334
-0.499138,-0.152,-0.098,39,0.000329
-0.498809,-0.03,0.101,40,0.000339
-0.498470,-0.051,0.004,41,0.000333
-0.498137,-0.068,0.017,42,0.000334
-0.497803,-0.052,0.003,43,0.000330
-0.497473,-0.067,-0.009,44,0.000338
-0.497135,-0.001,0.065,45,0.000334
-0.496801,-0.083,0.039,46,0.000334
-0.496467,-0.069,-0.028,47,0.000329
-0.496138,-0.067,-0.013,48,0.000338
-0.495800,-0.02,-0.049,49,0.001021
-0.494779,0.012,0.03,50,0.000333
-0.494446,-0.036,-0.025,51,0.000330
-0.494116,0.023,-0.063,52,0.000338
-0.493778,-0.001,-0.049,53,0.000334
-0.493444,-0.056,0.054,54,0.000329
-0.493115,-0.013,0.067,55,0.000334
-0.492781,-0.03,-0.013,56,0.000334
-0.492447,-0.076,-0.059,57,0.000338
-0.492109,-0.099,-0.073,58,0.001020
-0.491089,-0.093,-0.008,59,0.000330
-0.490759,-0.044,0.013,60,0.000334
-0.490425,-0.053,-0.001,61,0.000338
-0.490087,-0.066,-0.048,62,0.000334
-0.489753,-0.073,-0.021,63,0.000329
-0.489424,-0.034,-0.009,64,0.000334
-0.489090,-0.029,-0.027,65,0.000338
-0.488752,0.05,0.065,66,0.000334
-0.488418,-0.015,0.026,67,0.000330
-0.488088,-0.002,-0.004,68,0.000334
-0.487754,-0.066,0.006,69,0.000338
-0.487416,-0.061,-0.052,70,0.000334
-0.487082,-0.038,0.118,71,0.000329
-0.486753,-0.106,0.049,72,0.000334
-0.486419,-0.079,0.02,73,0.000338
-0.486081,-0.09,0.018,74,0.000334
-0.485747,-0.09,0.006,75,0.000330
-0.485417,-0.062,0.096,76,0.000334
-0.485083,-0.054,0.04,77,0.000338
-0.484745,-0.076,0.003,78,0.000334
-0.484411,-0.041,-0.009,79,0.000329
-0.484082,-0.054,-0.02,80,0.000334
-0.483748,-0.005,0.072,81,0.000338
-0.483410,-0.035,0.005,82,0.000334
-0.483076,-0.043,-0.041,83,0.000330
-0.482746,-0.03,-0.044,84,0.000333
-0.482413,-0.09,-0.07,85,0.000339
-0.482074,-0.037,0.007,86,0.000334
-0.481740,-0.063,-0.016,87,0.000329
-0.481411,-0.055,-0.099,88,0.000334
-0.481077,-0.058,-0.059,89,0.000338
-0.480739,-0.094,-0.076,90,0.000334
-0.480405,-0.16,-0.171,91,0.000334
-0.480071,-0.004,-0.064,92,0.000334
-0.479737,-0.017,-0.036,93,0.000334
-0.479403,0.016,-0.065,94,0.000338
-0.479065,0,-0.022,95,0.000329
-0.478736,-0.018,-0.059,96,0.000334
-0.478402,0.107,0.045,97,0.000338
-0.478064,-0.054,-0.024,98,0.000334
-0.477730,-0.069,-0.043,99,0.000330
-0.477400,-0.05,-0.059,100,0.000334
-0.477066,-0.031,-0.059,101,0.000333
-0.476733,-0.009,0.002,102,0.000339
-0.476394,-0.02,-0.04,103,0.000329
-0.476065,-0.024,-0.05,104,0.000334
-0.475731,-0.013,-0.023,105,0.000334
-0.475397,-0.105,-0.067,106,0.000338
-0.475059,-0.035,0.074,107,0.000330
-0.474729,-0.082,-0.05,108,0.000333
-0.474396,-0.054,-0.127,109,0.000334
-0.474062,-0.058,-0.109,110,0.000339
-0.473723,-0.084,-0.14,111,-0.000357
-0.474080,0.078,-0.045,112,0.000329
-0.473751,0.016,-0.075,113,0.001025
-0.472726,-0.076,-0.074,114,-0.000353
-0.473079,-0.046,-0.004,115,0.001021
-0.472058,-0.046,0.006,116,-0.000357
-0.472415,-0.069,-0.039,117,0.000338
-0.472077,0.018,0.072,118,0.000334
-0.471743,-0.022,-0.033,119,0.000334
-0.471409,-0.077,-0.095,120,0.000329
-0.471080,-0.066,-0.062,121,0.000338
-0.470742,-0.068,-0.04,122,0.000334
-0.470408,-0.052,-0.016,123,0.000334
-0.470074,-0.113,-0.04,124,0.000330
-0.469744,-0.079,-0.033,125,0.000338
-0.469406,-0.111,-0.052,126,0.000334
-0.469072,-0.099,-0.004,127,0.000334
-0.468738,0.009,0.074,128,0.000329
-0.468409,-0.01,-0.077,129,0.000334
-0.468075,-0.042,-0.09,130,0.000338
-0.467737,-0.024,-0.105,131,0.000334
-0.467403,-0.035,-0.107,132,0.000329
-0.467074,-0.058,0.004,133,0.000334
-0.466740,-0.099,-0.035,134,0.000339
-0.466401,-0.09,0.002,135,0.000333
-0.466068,-0.094,0.005,136,0.000330
-0.465738,-0.04,-0.068,137,0.000334
-0.465404,0.063,0.04,138,0.000338
-0.465066,0.076,-0.019,139,0.000334
-0.464732,0.054,-0.094,140,0.000329
-0.464403,-0.007,-0.154,141,0.000334
-0.464069,0.01,-0.067,142,0.000338
-0.463731,-0.014,-0.084,143,0.000334
-0.463397,0.005,-0.011,144,0.000330
-0.463067,-0.069,-0.046,145,0.000334
-0.462733,-0.084,-0.074,146,0.000338
-0.462395,-0.043,-0.054,147,0.000334
-0.462061,-0.078,-0.086,148,0.000329
-0.461732,-0.064,0.004,149,0.000334
-0.461398,-0.104,-0.077,150,0.000338
-0.461060,-0.044,-0.085,151,0.000334
-0.460726,-0.023,-0.092,152,0.000330
-0.460396,0.002,0.005,153,0.000333
-0.460063,0.032,0.08,154,0.000339
-0.459724,-0.021,0.049,155,0.000334
-0.459390,0.007,0.02,156,0.000329
-0.459061,0.009,0.075,157,0.000334
-0.458727,-0.01,-0.005,158,0.000338
-0.458389,0.047,0.128,159,0.000334
-0.458055,-0.004,-0.011,160,0.000334
-0.457721,-0.128,0.026,161,0.000334
-0.457387,-0.017,-0.026,162,0.000334
-0.457053,-0.125,-0.01,163,0.000338
-0.456715,-0.038,0.071,164,0.000329
-0.456386,-0.097,0.059,165,0.000334
-0.456052,0.047,-0.064,166,0.000334
-0.455718,0.042,-0.08,167,0.000338
-0.455380,0.015,-0.108,168,0.000330
-0.455050,0.035,-0.123,169,0.000334
-0.454716,0.1,0.034,170,0.000333
-0.454383,0.042,-0.042,171,0.000334
-0.454049,-0.03,-0.045,172,0.000334
-0.453715,-0.006,-0.034,173,0.000334
-0.453381,-0.025,0.058,174,0.000334
-0.453047,0.027,0.145,175,0.000334
-0.452713,-0.046,0.065,176,0.000334
-0.452379,-0.022,0.041,177,0.000329
-0.452050,0.014,0.053,178,0.000338
-0.451712,0.004,-0.046,179,0.000334
-0.451378,0.093,0.079,180,0.000334
-0.451044,0.031,0.037,181,0.000330
-0.450714,-0.034,-0.028,182,0.000338
-0.450376,-0.024,0.013,183,0.000334
-0.450042,-0.046,0.055,184,0.000333
-0.449709,-0.032,0.089,185,0.000330
-0.449379,-0.044,-0.002,186,0.000338
-0.449041,-0.056,-0.041,187,0.000334
-0.448707,-0.051,0.002,188,0.000334
-0.448373,-0.046,-0.013,189,0.000329
-0.448044,-0.002,0.055,190,0.000339
-0.447705,-0.02,0.023,191,0.000334
-0.447371,-0.054,0.071,192,0.000333
-0.447038,-0.041,0.057,193,0.000330
-0.446708,-0.047,0.054,194,0.000334
-0.446374,-0.05,-0.024,195,0.000338
-0.446036,-0.056,0.127,196,0.000334
-0.445702,-0.047,0.062,197,0.000329
-0.445373,-0.077,0.037,198,0.000334
-0.445039,0.006,0.03,199,0.000338
-0.444701,-0.1,0.097,200,0.000334
-0.444367,-0.058,0.138,201,0.000330
-0.444037,-0.04,0.008,202,0.000334
-0.443703,-0.001,-0.011,203,-0.000348
-0.444051,-0.015,-0.009,204,0.000333
-0.443718,-0.017,-0.029,205,0.000330
-0.443388,0.018,0.171,206,0.000334
-0.443054,-0.055,0.054,207,0.000338
-0.442716,-0.045,0.065,208,0.000334
-0.442382,-0.037,0.049,209,0.000329
-0.442053,-0.031,-0.002,210,0.000334
-0.441719,-0.013,0.038,211,0.000338
-0.441381,-0.06,-0.082,212,0.000334
-0.441047,-0.046,-0.085,213,0.000330
-0.440717,-0.072,-0.07,214,0.000334
-0.440383,-0.053,-0.058,215,0.000338
-0.440045,0.089,-0.043,216,0.000334
-0.439711,0.017,-0.052,217,0.000329
-0.439382,-0.105,-0.089,218,0.000334
-0.439048,0.003,-0.098,219,0.001025
-0.438023,-0.055,-0.066,220,0.000333
-0.437690,-0.089,0.014,221,0.000330
-0.437360,-0.025,0.054,222,0.000334
-0.437026,-0.093,0.062,223,0.000338
-0.436688,-0.083,0.026,224,0.000334
-0.436354,-0.033,0.04,225,0.000329
-0.436025,0.007,-0.078,226,0.000339
-0.435686,0.04,0.082,227,0.000333
-0.435353,0.01,-0.039,228,0.000334
-0.435019,0.024,-0.059,229,0.001020
-0.433999,0.016,-0.027,230,0.000334
-0.433665,0.03,-0.034,231,0.000334
-0.433331,0.012,-0.025,232,0.000334
-0.432997,-0.021,0.012,233,0.000334
-0.432663,-0.044,-0.053,234,0.000334
-0.432329,-0.049,0.008,235,0.000338
-0.431991,-0.083,-0.026,236,0.000334
-0.431657,0.006,0.054,237,0.000329
-0.431328,-0.021,0.008,238,0.000334
-0.430994,0.004,-0.031,239,0.000339
-0.430655,0.024,-0.012,240,0.000333
-0.430322,-0.001,-0.006,241,0.000330
-0.429992,0.16,0.079,242,0.000334
-0.429658,0.148,0.169,243,0.000338
-0.429320,0.077,0.057,244,0.000334
-0.428986,0.08,0.037,245,0.000329
-0.428657,0.046,0.087,246,0.000334
-0.428323,-0.023,0.041,247,0.000338
-0.427985,-0.016,0.142,248,0.000334
-0.427651,-0.016,-0.021,249,0.000330
-0.427321,-0.076,-0.038,250,0.000333
-0.426988,-0.064,-0.031,251,0.000339
-0.426649,-0.048,-0.008,252,0.000334
-0.426315,-0.018,0.016,253,0.000329
-0.425986,-0.035,-0.015,254,0.000334
-0.425652,-0.037,0.012,255,0.000334
-0.425318,-0.054,-0.007,256,0.000338
-0.424980,-0.057,-0.033,257,0.000329
-0.424651,-0.019,0.094,258,0.000334
-0.424317,-0.038,0.006,259,0.000334
-0.423983,-0.052,-0.019,260,0.000338
-0.423645,0.053,0.013,261,0.000330
-0.423315,0.026,0.021,262,0.000334
-0.422981,0.111,0.153,263,0.000334
-0.422647,0.037,0.015,264,0.000338
-0.422309,-0.047,0.11,265,0.000329
-0.421980,-0.014,0.094,266,0.000330
-0.421650,-0.036,0.045,267,0.000338
-0.421312,-0.029,0.061,268,0.000334
-0.420978,-0.004,0.082,269,0.000334
-0.420644,-0.055,-0.025,270,0.000329
-0.420315,-0.029,-0.009,271,0.000339
-0.419976,-0.054,0.029,272,0.000333
-0.419643,0.022,-0.032,273,0.000334
-0.419309,-0.002,0.031,274,0.000330
-0.418979,0.059,-0.026,275,0.000338
-0.418641,0.014,-0.036,276,0.000334
-0.418307,0.019,-0.091,277,0.000334
-0.417973,-0.053,-0.1,278,0.000329
-0.417644,-0.007,-0.028,279,0.000338
-0.417306,-0.007,-0.039,280,0.000334
-0.416972,-0.033,-0.042,281,0.000334
-0.416638,-0.03,-0.052,282,0.000329
-0.416309,0.025,0.005,283,0.000334
-0.415975,0.065,0.086,284,0.000339
-0.415636,0.03,0.04,285,0.000334
-0.415302,0.016,0.03,286,0.000329
-0.414973,-0.008,0.06,287,0.000334
-0.414639,-0.021,0.085,288,0.000338
-0.414301,0.052,0.161,289,0.000334
-0.413967,0.003,0.097,290,0.000330
-0.413637,0,0.079,291,0.000333
-0.413304,-0.012,0.101,292,-0.000348
-0.413652,-0.019,0.146,293,0.000334
-0.413318,0.033,0.095,294,0.000330
-0.412988,-0.008,0.049,295,0.001020
-0.411968,0.01,0.175,296,-0.000348
-0.412316,0.008,0.029,297,0.000334
-0.411982,0.03,0.05,298,0.000329
-0.411653,-0.003,0.137,299,0.000334
-0.411319,0.05,0.201,300,0.000338
-0.410981,0.016,0.039,301,0.000334
-0.410647,0.016,0,302,0.000330
-0.410317,0.029,0.035,303,0.000333
-0.409984,0.073,0,304,0.000339
-0.409645,0.07,0.109,305,0.000334
-0.409311,0.085,0.033,306,0.000329
-0.408982,0.071,0.098,307,0.000334
-0.408648,0.06,0.032,308,0.000338
-0.408310,0.07,0.125,309,0.000334
-0.407976,0.09,0.158,310,0.000329
-0.407647,0.086,0.075,311,0.000334
-0.407313,0.049,0.042,312,0.000339
-0.406974,0.069,0.089,313,0.000333
-0.406641,0.035,0.087,314,0.000334
-0.406307,0.074,0.22,315,0.000334
-0.405973,0.029,0.148,316,0.000334
-0.405639,0.075,0.136,317,0.000334
-0.405305,0.044,-0.016,318,0.000334
-0.404971,-0.006,0.043,319,0.000334
-0.404637,0.086,0.085,320,0.000338
-0.404299,0.024,0.165,321,0.000334
-0.403965,0.01,0.126,322,0.000329
-0.403636,0.007,0.154,323,0.000334
-0.403302,0.062,0.152,324,0.000338
-0.402964,0.008,0.122,325,0.000334
-0.402630,0.043,0.173,326,0.000330
-0.402300,0.03,0.09,327,0.000333
-0.401967,0.008,0.054,328,0.000339
-0.401628,0.007,0.024,329,0.000334
-0.401294,0,0.08,330,0.000329
