DATE    = '2007-10-24T11:40:37' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  20. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPN     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -9.85625,       45.6556,       46.9753
      -9.80818,       45.7157,       47.1128
      -9.76010,       45.1504,       47.7417
      -9.71202,       45.5389,       47.8898
      -9.66394,       46.0718,       47.3638
      -9.61586,       45.9868,       47.5032
      -9.56778,       46.0008,       47.1500
      -9.51970,       46.2760,       48.5525
      -9.47162,       47.1574,       49.2121
      -9.42354,       46.9575,       48.7813
      -9.37547,       47.6378,       49.1772
      -9.32739,       48.1358,       49.9610
      -9.27931,       48.6302,       49.9843
      -9.23123,       48.7036,       50.6358
      -9.18315,       49.6276,       50.8912
      -9.13507,       49.8011,       52.0630
      -9.08699,       50.6191,       53.5355
      -9.03891,       50.8248,       52.6939
      -8.99084,       51.3861,       54.0440
      -8.94276,       52.6368,       54.4771
      -8.89468,       53.2480,       55.3378
      -8.84660,       54.2617,       56.1042
      -8.79852,       53.4531,       56.3344
      -8.75044,       55.7441,       57.7090
      -8.70236,       55.9195,       58.7564
      -8.65428,       57.1060,       58.5386
      -8.60620,       57.9364,       60.3935
      -8.55813,       58.7100,       61.1813
      -8.51005,       60.1306,       62.4872
      -8.46197,       60.8474,       63.5853
      -8.41389,       61.5747,       63.7197
      -8.36581,       62.5918,       64.4443
      -8.31773,       63.5911,       66.2128
      -8.26965,       64.1216,       66.7425
      -8.22157,       65.2599,       67.4213
      -8.17350,       67.1788,       68.8157
      -8.12542,       67.4525,       69.4966
      -8.07734,       68.3305,       71.5379
      -8.02926,       69.4350,       72.2155
      -7.98118,       70.0140,       72.5649
      -7.93310,       71.1773,       74.4236
      -7.88502,       71.9141,       74.3101
      -7.83694,       73.3993,       76.7654
      -7.78886,       73.9526,       77.3609
      -7.74079,       76.1197,       78.1086
      -7.69271,       76.5151,       78.4708
      -7.64463,       78.2078,       80.4174
      -7.59655,       78.1700,       81.7311
      -7.54847,       79.7324,       81.1721
      -7.50039,       80.1773,       82.1384
      -7.45231,       80.8916,       83.8370
      -7.40423,       82.7063,       84.9339
      -7.35616,       82.5830,       84.5933
      -7.30808,       84.7444,       86.1652
      -7.26000,       83.7539,       87.5797
      -7.21192,       85.2914,       88.5032
      -7.16384,       85.8929,       90.0217
      -7.11576,       86.7438,       90.1764
      -7.06768,       87.0569,       90.7552
      -7.01960,       89.2449,       92.0802
      -6.97153,       89.0487,       92.2904
      -6.92345,       90.3870,       93.8210
      -6.87537,       91.0415,       93.4967
      -6.82729,       90.1665,       95.6770
      -6.77921,       92.6153,       96.1800
      -6.73113,       93.2915,       96.8190
      -6.68305,       93.2728,       98.3758
      -6.63497,       94.0979,       97.7181
      -6.58689,       93.9082,       98.1696
      -6.53882,       95.1523,       97.7915
      -6.49074,       95.8058,       100.019
      -6.44266,       97.3520,       99.2635
      -6.39458,       96.6181,       100.826
      -6.34650,       97.5334,       100.848
      -6.29842,       97.6705,       101.545
      -6.25034,       99.4334,       102.537
      -6.20226,       98.4455,       103.210
      -6.15419,       99.1900,       102.966
      -6.10611,       100.031,       103.440
      -6.05803,       99.5940,       104.253
      -6.00995,       100.813,       103.365
      -5.96187,       100.562,       105.029
      -5.91379,       100.078,       104.090
      -5.86571,       100.548,       105.806
      -5.81763,       101.412,       104.871
      -5.76956,       101.088,       105.251
      -5.72148,       101.803,       105.141
      -5.67340,       101.595,       106.264
      -5.62532,       103.268,       107.164
      -5.57724,       103.660,       107.177
      -5.52916,       103.513,       107.850
      -5.48108,       102.675,       107.521
      -5.43300,       102.398,       106.782
      -5.38492,       102.783,       108.148
      -5.33685,       102.657,       107.765
      -5.28877,       102.337,       107.471
      -5.24069,       103.656,       107.285
      -5.19261,       102.926,       108.871
      -5.14453,       105.113,       108.299
      -5.09645,       104.079,       106.479
      -5.04837,       103.850,       108.951
      -5.00029,       102.988,       108.442
      -4.95222,       103.703,       108.894
      -4.90414,       104.069,       109.036
      -4.85606,       104.125,       108.287
      -4.80798,       103.347,       108.718
      -4.75990,       104.568,       109.733
      -4.71182,       102.979,       108.699
      -4.66374,       104.907,       107.867
      -4.61566,       104.500,       109.006
      -4.56758,       104.518,       109.964
      -4.51951,       104.072,       108.331
      -4.47143,       104.395,       109.652
      -4.42335,       104.783,       110.226
      -4.37527,       104.478,       109.903
      -4.32719,       105.031,       109.291
      -4.27911,       104.005,       108.593
      -4.23103,       103.322,       109.391
      -4.18295,       104.351,       109.148
      -4.13488,       104.944,       108.759
      -4.08680,       103.236,       108.181
      -4.03872,       103.831,       108.528
      -3.99064,       104.819,       109.114
      -3.94256,       105.107,       108.675
      -3.89448,       103.780,       108.603
      -3.84640,       105.213,       108.526
      -3.79832,       103.469,       107.393
      -3.75024,       105.124,       109.278
      -3.70217,       104.449,       109.049
      -3.65409,       104.200,       108.591
      -3.60601,       103.994,       110.097
      -3.55793,       104.371,       108.594
      -3.50985,       104.504,       109.232
      -3.46177,       104.559,       107.791
      -3.41369,       103.581,       108.944
      -3.36561,       104.106,       108.195
