DATE    = '2007-10-24T11:41:47' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  20. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPS     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -34.4726,       44.8862,       46.8150
      -34.4245,       45.8465,       47.0113
      -34.3764,       45.1786,       47.3120
      -34.3284,       45.9333,       47.1341
      -34.2803,       45.5978,       47.3762
      -34.2322,       46.1820,       47.2604
      -34.1841,       46.1537,       48.4028
      -34.1361,       46.4080,       48.6400
      -34.0880,       46.5173,       48.2940
      -34.0399,       46.7249,       48.9706
      -33.9918,       47.5290,       48.9503
      -33.9437,       47.6340,       49.2776
      -33.8957,       48.3665,       49.3281
      -33.8476,       48.9577,       50.2197
      -33.7995,       48.9107,       50.9488
      -33.7514,       50.9206,       51.7446
      -33.7033,       50.4780,       51.9047
      -33.6553,       51.5434,       52.9759
      -33.6072,       51.5116,       53.5907
      -33.5591,       51.9068,       55.1860
      -33.5110,       53.1086,       55.1065
      -33.4629,       54.4994,       55.8762
      -33.4149,       54.3722,       56.4958
      -33.3668,       55.0461,       57.4261
      -33.3187,       56.6951,       58.2432
      -33.2706,       56.8406,       58.7518
      -33.2226,       58.5146,       60.4420
      -33.1745,       57.9804,       61.4495
      -33.1264,       59.2035,       62.1798
      -33.0783,       60.5939,       63.0465
      -33.0302,       61.4976,       63.8048
      -32.9822,       62.4377,       65.0177
      -32.9341,       63.0727,       65.7937
      -32.8860,       64.6422,       67.1054
      -32.8379,       65.3279,       67.8777
      -32.7898,       65.8379,       68.5011
      -32.7418,       66.9642,       69.9549
      -32.6937,       68.0648,       71.4784
      -32.6456,       68.7450,       71.6450
      -32.5975,       70.1083,       72.9882
      -32.5494,       70.4927,       74.2498
      -32.5014,       72.2611,       75.0607
      -32.4533,       73.0336,       76.4778
      -32.4052,       74.0565,       76.9377
      -32.3571,       74.6471,       77.6572
      -32.3091,       75.3876,       79.1977
      -32.2610,       77.1017,       79.9564
      -32.2129,       77.5630,       80.8630
      -32.1648,       79.3526,       81.8000
      -32.1167,       79.5020,       83.1659
      -32.0687,       79.9067,       83.9158
      -32.0206,       80.4798,       84.2056
      -31.9725,       82.9284,       84.6018
      -31.9244,       83.4827,       87.1724
      -31.8763,       84.3301,       86.7746
      -31.8283,       85.3624,       88.4901
      -31.7802,       85.7966,       89.1229
      -31.7321,       85.7119,       90.4141
      -31.6840,       87.2691,       90.8847
      -31.6360,       87.9602,       91.8555
      -31.5879,       88.4874,       92.3191
      -31.5398,       90.1225,       92.9969
      -31.4917,       89.8960,       94.0365
      -31.4436,       91.1480,       93.9722
      -31.3956,       90.8751,       95.6890
      -31.3475,       92.5282,       95.4120
      -31.2994,       92.5114,       97.1080
      -31.2513,       92.8634,       98.7007
      -31.2032,       93.5314,       98.4167
      -31.1552,       93.8017,       98.0355
      -31.1071,       94.6402,       99.0765
      -31.0590,       95.6999,       99.5818
      -31.0109,       96.2381,       99.2217
