DATE    = '2007-10-24T11:43:02' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  20. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPE     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -9.85625,       44.6187,       47.5308
      -9.80818,       45.4412,       46.5999
      -9.76010,       46.0149,       47.2226
      -9.71202,       45.0968,       46.2854
      -9.66394,       45.3724,       47.2300
      -9.61586,       46.3228,       47.2239
      -9.56778,       45.9561,       47.9750
      -9.51970,       46.0585,       48.7749
      -9.47162,       47.3252,       48.2852
      -9.42354,       46.6442,       49.1991
      -9.37547,       46.8452,       48.7637
      -9.32739,       47.7705,       49.3811
      -9.27931,       48.7507,       49.3978
      -9.23123,       49.0145,       50.0450
      -9.18315,       49.4702,       50.6929
      -9.13507,       49.8238,       51.1774
      -9.08699,       50.4807,       51.9369
      -9.03891,       51.5779,       53.0050
      -8.99084,       52.0304,       53.2158
      -8.94276,       51.3795,       54.4815
      -8.89468,       53.2982,       55.4496
      -8.84660,       54.2790,       55.6925
      -8.79852,       54.7009,       56.4289
      -8.75044,       55.1244,       57.8088
      -8.70236,       56.4983,       58.3320
      -8.65428,       57.2963,       59.0660
      -8.60620,       57.6937,       59.6999
      -8.55813,       58.9229,       60.8432
      -8.51005,       59.1612,       61.1586
      -8.46197,       60.7421,       62.4529
      -8.41389,       61.7472,       63.1819
      -8.36581,       61.9017,       64.7041
      -8.31773,       63.2710,       65.6837
      -8.26965,       64.7409,       66.3475
      -8.22157,       65.1958,       66.4881
      -8.17350,       65.8862,       67.7946
      -8.12542,       66.7351,       70.1051
      -8.07734,       68.1239,       70.4401
      -8.02926,       68.7240,       71.2121
      -7.98118,       69.9971,       73.0883
      -7.93310,       71.2899,       74.6030
      -7.88502,       72.2657,       74.6417
      -7.83694,       72.9890,       77.0075
      -7.78886,       73.8864,       77.1875
      -7.74079,       74.4315,       77.8427
      -7.69271,       76.5935,       78.1627
      -7.64463,       76.8526,       78.8452
      -7.59655,       78.2829,       80.1410
      -7.54847,       78.8650,       80.8001
      -7.50039,       80.4364,       83.5207
      -7.45231,       80.6931,       82.8694
      -7.40423,       81.1469,       84.6876
      -7.35616,       82.6296,       85.6831
      -7.30808,       83.5896,       85.9723
      -7.26000,       83.9749,       86.5019
      -7.21192,       84.5916,       88.5557
      -7.16384,       86.0895,       89.7105
      -7.11576,       86.6398,       90.4294
      -7.06768,       87.5113,       90.2013
      -7.01960,       88.3023,       91.0220
      -6.97153,       88.6568,       92.0445
      -6.92345,       90.3359,       92.6713
      -6.87537,       91.2373,       93.5575
      -6.82729,       90.5993,       93.8788
      -6.77921,       90.8976,       94.8539
      -6.73113,       92.8571,       95.6859
      -6.68305,       92.9815,       97.1898
      -6.63497,       93.0906,       97.9964
      -6.58689,       93.8424,       97.2019
      -6.53882,       95.3295,       97.8665
      -6.49074,       96.2962,       100.073
      -6.44266,       95.5618,       99.0361
      -6.39458,       95.7087,       99.9271
      -6.34650,       96.5208,       99.3011
      -6.29842,       95.6766,       100.190
      -6.25034,       98.0533,       102.216
      -6.20226,       98.0193,       102.343
      -6.15419,       99.4850,       102.730
      -6.10611,       99.2892,       102.521
      -6.05803,       100.542,       102.399
      -6.00995,       100.030,       103.619
      -5.96187,       99.8293,       103.920
      -5.91379,       100.434,       103.894
      -5.86571,       100.155,       103.996
      -5.81763,       102.420,       103.977
      -5.76956,       101.245,       105.545
      -5.72148,       101.300,       105.285
      -5.67340,       102.713,       105.877
      -5.62532,       101.949,       105.565
      -5.57724,       102.581,       105.185
      -5.52916,       103.835,       107.458
      -5.48108,       101.927,       106.761
      -5.43300,       102.528,       107.511
      -5.38492,       102.626,       106.914
      -5.33685,       103.161,       105.832
      -5.28877,       103.023,       106.427
      -5.24069,       102.645,       106.489
      -5.19261,       103.996,       107.648
      -5.14453,       103.531,       108.106
      -5.09645,       103.405,       108.376
      -5.04837,       103.197,       107.516
      -5.00029,       103.392,       107.240
      -4.95222,       103.376,       107.893
      -4.90414,       103.716,       107.099
      -4.85606,       103.523,       107.887
      -4.80798,       103.219,       109.151
      -4.75990,       103.764,       108.760
      -4.71182,       103.705,       107.180
      -4.66374,       105.259,       108.983
      -4.61566,       103.371,       107.569
      -4.56758,       104.648,       107.097
      -4.51951,       103.474,       108.901
      -4.47143,       104.575,       107.843
      -4.42335,       102.872,       108.773
      -4.37527,       104.521,       108.084
      -4.32719,       104.596,       108.903
      -4.27911,       103.207,       108.877
      -4.23103,       103.725,       108.627
      -4.18295,       103.783,       107.908
      -4.13488,       104.161,       107.420
      -4.08680,       103.398,       108.610
      -4.03872,       103.468,       108.973
      -3.99064,       104.385,       108.318
      -3.94256,       103.701,       108.296
      -3.89448,       104.667,       108.855
      -3.84640,       104.250,       107.898
      -3.79832,       104.311,       108.994
      -3.75024,       104.178,       108.911
      -3.70217,       103.371,       107.429
      -3.65409,       103.844,       108.386
      -3.60601,       104.004,       108.689
      -3.55793,       103.677,       108.114
      -3.50985,       104.707,       107.921
      -3.46177,       103.022,       108.790
      -3.41369,       104.185,       107.523
      -3.36561,       103.538,       108.034
      -3.31754,       104.541,       107.915
      -3.26946,       105.055,       107.400
      -3.22138,       104.241,       109.001
      -3.17330,       103.518,       107.210
      -3.12522,       104.385,       108.683
      -3.07714,       104.257,       107.262
      -3.02906,       103.867,       108.226
      -2.98098,       103.983,       107.766
      -2.93291,       104.921,       107.617
      -2.88483,       104.956,       107.741
      -2.83675,       105.139,       108.726
      -2.78867,       103.661,       108.406
      -2.74059,       103.608,       109.210
      -2.69251,       103.718,       109.032
      -2.64443,       103.259,       108.903
      -2.59635,       104.390,       109.379
      -2.54827,       105.149,       108.233
      -2.50020,       104.988,       107.769
      -2.45212,       103.895,       108.709
      -2.40404,       104.589,       107.611
      -2.35596,       105.142,       108.550
      -2.30788,       103.634,       108.184
      -2.25980,       103.970,       109.803
      -2.21172,       104.079,       107.906
      -2.16364,       103.604,       108.962
      -2.11557,       104.123,       108.068
      -2.06749,       105.110,       108.823
      -2.01941,       104.982,       109.255
      -1.97133,       105.147,       108.518
      -1.92325,       104.841,       108.547
      -1.87517,       103.958,       109.240
      -1.82709,       105.196,       108.328
      -1.77901,       104.245,       108.439
      -1.73094,       104.685,       108.995
      -1.68286,       105.786,       108.965
      -1.63478,       103.766,       109.034
      -1.58670,       104.652,       107.946
      -1.53862,       103.948,       107.580
      -1.49054,       104.355,       108.877
      -1.44246,       105.663,       107.940
      -1.39438,       104.362,       109.497
      -1.34630,       104.519,       109.248
      -1.29823,       105.304,       109.150
      -1.25015,       105.426,       110.060
      -1.20207,       106.373,       109.143
      -1.15399,       105.626,       108.793
      -1.10591,       106.824,       110.111
      -1.05783,       108.557,       110.945
      -1.00975,       106.255,       111.012
     -0.961674,       106.738,       110.239
     -0.913595,       106.800,       109.504
     -0.865517,       107.077,       111.079
     -0.817438,       106.311,       109.396
     -0.769359,       105.923,       109.949
     -0.721280,       104.692,       109.865
     -0.673201,       105.876,       110.088
     -0.625122,       105.207,       109.953
     -0.577044,       105.945,       109.688
     -0.528965,       105.059,       110.215
     -0.480886,       105.782,       111.050
     -0.432807,       105.845,       109.704
     -0.384728,       106.337,       111.757
     -0.336650,       105.599,       109.751
