DATE    = '2007-10-24T11:44:17' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  20. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPW     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -34.4726,       44.6717,       46.1607
      -34.4245,       45.5807,       47.1466
      -34.3764,       45.3682,       46.0368
      -34.3284,       45.8257,       47.0791
      -34.2803,       46.2495,       47.1690
      -34.2322,       46.0826,       47.1116
      -34.1841,       45.5192,       47.0774
      -34.1361,       46.2223,       47.4043
      -34.0880,       46.0224,       47.9393
      -34.0399,       47.2392,       48.6696
      -33.9918,       47.0738,       48.7745
      -33.9437,       47.2587,       49.2866
      -33.8957,       48.1702,       50.2840
      -33.8476,       48.0560,       50.4539
      -33.7995,       49.6253,       51.4651
      -33.7514,       49.0747,       51.6758
      -33.7033,       49.7794,       52.8052
      -33.6553,       50.8238,       52.7137
      -33.6072,       51.7563,       53.5631
      -33.5591,       52.5720,       53.8702
      -33.5110,       52.9655,       55.0585
      -33.4629,       53.9934,       55.6167
      -33.4149,       54.7740,       55.9410
      -33.3668,       54.6345,       56.4152
      -33.3187,       55.2213,       57.5894
      -33.2706,       55.8271,       58.9193
      -33.2226,       57.2063,       60.6437
      -33.1745,       58.4238,       60.5140
      -33.1264,       59.1878,       60.9587
      -33.0783,       60.0042,       63.1074
      -33.0302,       60.8161,       63.2151
      -32.9822,       62.4542,       63.9682
      -32.9341,       63.3556,       66.3225
      -32.8860,       64.2674,       66.4414
      -32.8379,       64.9874,       67.3807
      -32.7898,       65.6652,       67.9941
      -32.7418,       67.2945,       70.0071
      -32.6937,       67.5548,       69.9230
      -32.6456,       69.1449,       72.4725
      -32.5975,       70.3665,       72.8436
      -32.5494,       70.3280,       73.4212
      -32.5014,       71.3671,       74.7845
      -32.4533,       71.7780,       76.3989
      -32.4052,       73.1036,       77.8649
      -32.3571,       74.7633,       77.3833
      -32.3091,       75.1186,       78.2204
      -32.2610,       76.6050,       79.4937
      -32.2129,       77.5182,       80.3290
      -32.1648,       78.6992,       80.9011
      -32.1167,       78.7016,       81.8182
      -32.0687,       80.3209,       83.4942
      -32.0206,       81.3876,       85.0160
      -31.9725,       81.6073,       85.6787
      -31.9244,       82.4534,       85.7162
      -31.8763,       82.6660,       87.1446
      -31.8283,       84.2542,       87.3974
      -31.7802,       86.3712,       88.0880
      -31.7321,       86.0124,       90.1287
      -31.6840,       87.7528,       91.7637
      -31.6360,       86.3346,       91.8618
      -31.5879,       88.1481,       91.7642
      -31.5398,       88.6569,       93.0022
      -31.4917,       89.9145,       93.3537
      -31.4436,       89.6883,       94.1074
