DATE    = '2007-10-24T11:46:32' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  20. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -34.4726,       44.9827,       47.1244
      -34.4245,       45.3959,       47.1803
      -34.3764,       44.5748,       47.1621
      -34.3284,       45.5244,       47.0193
      -34.2803,       45.0499,       47.5493
      -34.2322,       45.4905,       47.5407
      -34.1841,       46.2782,       47.4928
      -34.1361,       45.7328,       48.6079
      -34.0880,       45.9153,       48.4365
      -34.0399,       46.5697,       48.3012
      -33.9918,       46.9556,       48.6665
      -33.9437,       47.3514,       50.1658
      -33.8957,       48.4053,       50.1493
      -33.8476,       48.6310,       50.3448
      -33.7995,       48.7562,       50.6080
      -33.7514,       49.6624,       51.5896
      -33.7033,       50.2231,       52.1905
      -33.6553,       50.6016,       52.9632
      -33.6072,       51.7462,       53.5655
      -33.5591,       52.9308,       54.2753
      -33.5110,       53.0086,       54.5943
      -33.4629,       53.9773,       55.5613
      -33.4149,       54.5190,       56.0453
      -33.3668,       55.0764,       56.9035
      -33.3187,       55.5354,       58.0878
      -33.2706,       57.1034,       58.6076
      -33.2226,       57.8547,       58.3435
      -33.1745,       58.6108,       60.4100
      -33.1264,       58.3081,       61.1499
      -33.0783,       60.6075,       62.4212
      -33.0302,       61.5446,       63.4166
      -32.9822,       61.4786,       64.3533
      -32.9341,       62.8714,       65.2068
      -32.8860,       64.8349,       66.7355
      -32.8379,       65.0158,       68.3312
      -32.7898,       65.8634,       68.8101
      -32.7418,       66.5291,       69.7752
      -32.6937,       67.9852,       70.7386
      -32.6456,       68.1054,       71.4724
      -32.5975,       69.8671,       73.0453
      -32.5494,       70.2031,       74.0863
      -32.5014,       71.7968,       74.1621
      -32.4533,       73.2360,       76.2986
      -32.4052,       73.6373,       77.3213
      -32.3571,       74.8074,       77.5097
      -32.3091,       75.1188,       79.2259
