DATE    = '2007-10-24T12:04:32' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G9.62+0.20'         / Name of object
COORDSYS= 'EQUATORIAL'         / Input coordinate system
LONGITUD=     270.816583333333 / Longitude of object
LATITUDE=    -20.5313611111111 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                  2.5 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 300. / [s] Integration time per scan
SPPOINT =                    0 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                1950. / Input coordinate equinox
RESTFREQ=         12178593000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=            12177.593 / [MHz] Backend centre frequency
TCAL1   =                72.32 / [K] Cal noise diode value for channel 1
TCALSIG1=                   1. / [K] uncertainty in TCAL1
TCAL2   =                74.54 / [K] Cal noise diode value for channel 2
TCALSIG2=                   1. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -9.85625,       44.6493,       46.6098
      -9.80818,       45.1653,       46.8752
      -9.76010,       45.0506,       46.6843
      -9.71202,       45.1661,       46.9553
      -9.66394,       45.1666,       47.0171
      -9.61586,       45.5612,       47.2770
      -9.56778,       45.6561,       47.3318
      -9.51970,       45.9674,       47.7983
      -9.47162,       46.2776,       47.9656
      -9.42354,       46.8628,       48.5793
      -9.37547,       46.9107,       48.6740
      -9.32739,       47.3858,       49.3059
      -9.27931,       47.8762,       49.4464
      -9.23123,       48.3679,       50.2298
      -9.18315,       48.9018,       50.7356
      -9.13507,       49.2042,       51.4060
      -9.08699,       50.0493,       51.8718
      -9.03891,       50.7602,       52.6983
      -8.99084,       51.3835,       53.0769
      -8.94276,       52.0415,       53.7748
      -8.89468,       52.4946,       54.4373
      -8.84660,       53.3539,       55.5431
      -8.79852,       53.8699,       56.2365
      -8.75044,       54.9154,       57.3080
      -8.70236,       55.5776,       57.7717
      -8.65428,       56.5733,       58.7592
      -8.60620,       57.3184,       59.7584
      -8.55813,       58.2465,       60.6142
      -8.51005,       58.7927,       61.1842
      -8.46197,       60.0887,       62.2545
      -8.41389,       60.8903,       63.1574
      -8.36581,       61.9876,       64.3856
      -8.31773,       62.5627,       65.3686
      -8.26965,       63.6531,       66.1938
      -8.22157,       64.6555,       67.1319
      -8.17350,       65.4209,       68.0293
      -8.12542,       66.4858,       69.1973
      -8.07734,       67.4670,       70.1341
      -8.02926,       68.6029,       70.8915
      -7.98118,       69.4473,       72.5080
      -7.93310,       70.3953,       73.1106
      -7.88502,       71.4723,       74.3025
      -7.83694,       72.3318,       75.0256
      -7.78886,       73.1935,       76.2779
      -7.74079,       74.1680,       76.9577
      -7.69271,       75.1399,       78.1789
      -7.64463,       76.1163,       79.0207
      -7.59655,       77.1142,       80.3883
      -7.54847,       77.8555,       81.0866
      -7.50039,       78.9355,       82.0981
      -7.45231,       79.8340,       83.2536
      -7.40423,       80.7623,       84.0959
      -7.35616,       81.7207,       84.8735
      -7.30808,       82.5800,       86.0747
      -7.26000,       83.1213,       86.5456
      -7.21192,       84.2425,       87.8019
      -7.16384,       85.1937,       88.5382
      -7.11576,       85.8936,       89.0872
      -7.06768,       86.4565,       90.3166
      -7.01960,       87.3708,       90.9834
      -6.97153,       88.2403,       91.4972
      -6.92345,       88.8493,       92.5304
      -6.87537,       89.1891,       92.9231
      -6.82729,       90.3343,       94.0566
      -6.77921,       90.7524,       94.4161
      -6.73113,       91.5190,       95.3873
      -6.68305,       92.2849,       96.0640
      -6.63497,       93.1818,       96.7154
      -6.58689,       93.1991,       97.4975
      -6.53882,       94.1963,       98.0198
      -6.49074,       94.6646,       98.6266
      -6.44266,       94.9525,       99.2203
      -6.39458,       95.5750,       99.6520
      -6.34650,       95.7368,       99.9341
      -6.29842,       96.6412,       100.540
      -6.25034,       96.9172,       101.045
      -6.20226,       97.3959,       101.530
      -6.15419,       97.8605,       102.043
      -6.10611,       98.2068,       102.051
      -6.05803,       98.6887,       102.778
      -6.00995,       98.9323,       103.270
      -5.96187,       99.3764,       103.384
      -5.91379,       99.5894,       103.837
      -5.86571,       99.7710,       104.002
      -5.81763,       100.184,       104.318
      -5.76956,       100.262,       104.738
      -5.72148,       101.002,       104.971
      -5.67340,       100.921,       105.123
      -5.62532,       100.976,       105.515
      -5.57724,       101.209,       105.847
      -5.52916,       101.679,       105.804
      -5.48108,       101.856,       105.980
      -5.43300,       101.878,       106.176
      -5.38492,       102.148,       106.284
      -5.33685,       102.131,       106.524
      -5.28877,       102.511,       106.861
      -5.24069,       102.048,       107.002
      -5.19261,       102.793,       106.788
      -5.14453,       102.938,       107.196
      -5.09645,       102.866,       106.894
      -5.04837,       102.964,       107.305
      -5.00029,       102.729,       107.506
      -4.95222,       103.029,       107.610
      -4.90414,       103.216,       107.632
      -4.85606,       103.326,       107.726
