DATE    = '2007-09-15T14:11:07' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=     299.080249053955 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=      21.146276763916 / [%] Humidity
WINDSPD =          2.685546875 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPN     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       84.7170,       34.3412,       37.4016
       84.7609,       34.4036,       37.4728
       84.8048,       34.5236,       37.7826
       84.8487,       34.5385,       37.5959
       84.8926,       34.5741,       37.8999
       84.9365,       34.6877,       38.2087
       84.9804,       34.6912,       38.4278
       85.0243,       35.0581,       38.4893
       85.0682,       34.9885,       38.6518
       85.1121,       35.4677,       38.9071
       85.1560,       35.5966,       39.5080
       85.1999,       36.3038,       39.4418
       85.2438,       36.4774,       39.9014
       85.2877,       37.0151,       40.0322
       85.3316,       36.9407,       40.7820
       85.3755,       37.4464,       41.4583
       85.4194,       37.8786,       41.4535
       85.4633,       38.2674,       42.2937
       85.5072,       38.7792,       42.6865
       85.5512,       39.6269,       43.3257
       85.5951,       39.6279,       43.5348
       85.6390,       40.8675,       44.6486
       85.6829,       40.9397,       45.0835
       85.7268,       41.5902,       45.5969
       85.7707,       42.0831,       46.8548
       85.8146,       42.4454,       47.6128
       85.8585,       43.9172,       48.2684
       85.9024,       44.4937,       48.7421
       85.9463,       44.7713,       49.3285
       85.9902,       45.9835,       49.9897
       86.0341,       46.1500,       50.5275
       86.0780,       46.9819,       51.8185
       86.1219,       47.9120,       52.4492
       86.1658,       48.5016,       53.1471
       86.2097,       48.9832,       53.9742
       86.2536,       50.1608,       54.5393
       86.2975,       50.6922,       55.8162
       86.3414,       51.2035,       57.1439
       86.3853,       51.8886,       57.2378
       86.4292,       53.3037,       58.5140
       86.4731,       53.6396,       58.9917
       86.5170,       54.5440,       59.5760
       86.5609,       55.3819,       60.2543
       86.6048,       56.3665,       61.7836
       86.6487,       56.4369,       62.1354
       86.6926,       57.4762,       63.0598
       86.7365,       57.7215,       63.6783
       86.7804,       57.9078,       64.2782
       86.8243,       59.4512,       65.6134
       86.8682,       60.3865,       66.8071
       86.9121,       61.5314,       66.8576
       86.9560,       61.3689,       68.2584
       86.9999,       62.6118,       68.3051
       87.0438,       63.7530,       68.8227
       87.0877,       63.5710,       69.6954
       87.1317,       64.5172,       70.6509
       87.1756,       64.6028,       71.0714
