DATE    = '2007-09-15T14:13:02' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=     299.265204071045 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=     20.7763667297363 / [%] Humidity
WINDSPD =            5.2734375 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPS     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       62.2388,       34.9318,       36.9620
       62.2827,       35.5759,       37.7675
       62.3266,       35.2800,       37.6090
       62.3705,       35.6218,       37.6017
       62.4144,       35.5238,       37.3153
       62.4583,       35.7108,       37.9978
       62.5022,       36.3324,       37.6797
       62.5461,       36.1253,       37.8903
       62.5900,       36.2157,       38.6778
       62.6339,       37.1590,       38.7873
       62.6778,       37.1127,       38.5661
       62.7217,       37.4641,       39.3161
       62.7656,       37.7135,       39.1762
       62.8095,       37.9166,       40.1785
       62.8534,       38.3342,       40.3378
       62.8973,       38.7650,       40.8738
       62.9412,       39.2491,       41.1332
       62.9851,       39.6232,       42.3702
       63.0291,       40.3488,       42.9700
       63.0730,       40.3400,       43.1904
       63.1169,       41.8430,       43.6482
       63.1608,       42.0214,       44.0900
       63.2047,       42.3641,       44.8720
       63.2486,       43.1018,       46.1433
       63.2925,       43.7759,       46.4894
       63.3364,       44.7989,       47.5414
       63.3803,       45.3280,       47.8790
       63.4242,       45.5894,       48.8732
       63.4681,       46.7768,       48.3602
       63.5120,       47.7492,       50.4001
       63.5559,       47.9327,       50.9175
       63.5998,       48.8245,       51.8246
       63.6437,       49.3817,       52.1942
       63.6876,       50.2822,       52.8721
       63.7315,       51.1476,       53.0372
       63.7754,       51.6455,       54.8150
       63.8193,       52.3852,       55.0810
       63.8632,       52.8824,       56.0557
       63.9071,       54.2483,       56.8899
       63.9510,       54.4909,       58.1940
       63.9949,       55.7385,       58.7046
       64.0388,       56.3123,       58.8304
       64.0827,       57.2861,       60.5363
       64.1266,       58.0546,       60.9219
       64.1705,       59.2813,       61.9647
       64.2144,       59.0159,       62.5536
       64.2583,       60.0882,       63.1523
       64.3022,       61.0378,       64.2829
       64.3461,       61.6569,       65.2005
       64.3900,       62.4731,       65.4123
       64.4339,       62.8691,       66.1881
       64.4778,       64.4703,       67.2722
       64.5217,       64.6447,       68.6212
       64.5657,       65.1079,       68.6675
       64.6096,       66.1936,       68.8605
       64.6535,       66.4554,       69.2406
       64.6974,       67.2181,       70.3487
       64.7413,       67.6516,       72.0904
       64.7852,       68.5402,       72.3053
       64.8291,       69.7113,       73.4675
       64.8730,       69.3279,       73.4096
       64.9169,       69.5196,       73.9494
       64.9608,       70.8157,       74.6402
       65.0047,       71.0965,       75.2499
       65.0486,       71.9906,       75.3259
       65.0925,       73.3800,       76.2806
       65.1364,       73.1642,       76.4257
       65.1803,       73.9973,       77.7174
       65.2242,       73.7580,       78.2836
       65.2681,       74.8838,       78.0758
       65.3120,       74.9675,       79.3650
       65.3559,       75.5885,       79.4752
       65.3998,       75.9594,       80.1172
       65.4437,       76.6721,       80.4573
       65.4876,       76.5024,       80.3031
       65.5315,       76.8458,       80.7523
       65.5754,       76.9899,       80.5927
       65.6193,       77.6749,       81.9111
       65.6632,       78.0993,       82.6192
       65.7071,       78.1142,       82.4714
       65.7510,       77.7738,       82.0129
       65.7949,       79.3268,       83.2965
       65.8388,       78.7524,       83.3481
       65.8827,       78.7700,       83.4880
       65.9266,       79.7594,       83.0188
       65.9705,       79.7661,       83.7675
       66.0144,       80.1002,       84.4986
       66.0583,       79.7584,       85.4340
       66.1022,       80.0178,       83.8805
       66.1461,       80.3394,       84.9856
       66.1900,       80.4296,       85.5648
       66.2340,       80.6665,       84.9273
       66.2779,       80.7336,       85.4301
       66.3218,       80.7879,       84.9658
       66.3657,       81.0106,       85.6850
       66.4096,       80.9230,       86.3274
       66.4535,       81.7226,       85.5433
       66.4974,       81.4145,       85.1815
       66.5413,       81.3726,       86.0102
       66.5852,       81.7905,       86.1456
       66.6291,       81.2798,       85.4685
       66.6730,       81.7523,       86.3434
       66.7169,       81.6570,       85.5260
       66.7608,       82.3938,       86.3883
       66.8047,       82.5526,       86.4204
       66.8486,       81.7853,       86.3148
       66.8925,       81.8628,       86.1848
       66.9364,       82.3760,       85.7352
       66.9803,       81.9263,       86.4941
       67.0242,       81.8560,       86.9237
       67.0681,       82.1717,       86.1038
       67.1120,       82.4907,       86.2625
       67.1559,       82.3521,       86.4857
       67.1998,       82.4699,       87.3169
       67.2437,       82.0970,       86.4619
       67.2876,       82.5746,       86.8708
       67.3315,       83.1226,       86.7527
       67.3754,       82.4382,       86.2956
       67.4193,       82.7690,       85.9012
       67.4632,       81.4617,       86.0181
       67.5071,       83.4109,       86.2916
       67.5510,       82.1166,       87.5311
       67.5949,       81.8418,       86.1295
       67.6388,       82.1441,       87.1286
       67.6827,       82.5962,       87.8874
       67.7266,       82.0348,       86.1657
       67.7705,       83.0240,       86.7072
       67.8145,       82.3311,       86.3700
       67.8584,       81.7465,       86.3245
       67.9023,       82.4146,       87.2968
       67.9462,       81.8372,       86.4702
       67.9901,       82.3011,       86.9340
       68.0340,       82.0421,       85.7653
       68.0779,       82.2756,       86.9150
       68.1218,       82.2023,       86.2802
       68.1657,       81.8291,       86.4076
       68.2096,       81.8335,       86.5856
       68.2535,       82.2479,       86.9276
       68.2974,       82.0132,       86.4511
       68.3413,       81.7490,       86.3175
       68.3852,       82.9848,       85.9524
       68.4291,       81.6571,       85.8633
       68.4730,       81.8929,       86.1037
       68.5169,       82.1923,       86.1324
       68.5608,       81.9447,       85.8593
       68.6047,       82.6247,       85.9929
       68.6486,       82.3066,       86.6431
       68.6925,       81.6584,       87.3068
       68.7364,       81.8214,       86.8255
       68.7803,       82.5196,       87.4385
       68.8242,       81.9593,       86.1510
       68.8681,       82.1077,       85.8704
       68.9120,       82.4116,       86.5418
       68.9559,       82.4858,       86.2916
       68.9998,       82.3370,       85.9669
       69.0437,       83.1486,       86.2682
       69.0876,       82.2471,       86.1513
       69.1315,       83.1982,       86.6475
       69.1754,       82.1226,       86.8417
       69.2193,       82.4812,       86.4061
       69.2632,       82.7895,       86.6035
       69.3071,       82.6286,       87.4342
       69.3510,       82.9790,       86.3262
       69.3950,       81.6266,       86.1866
       69.4389,       83.4597,       86.8584
       69.4828,       83.1238,       85.9324
       69.5267,       82.6686,       85.6869
       69.5706,       81.9472,       87.3961
       69.6145,       82.6486,       86.4073
       69.6584,       82.4659,       86.4252
       69.7023,       83.0224,       86.9237
       69.7462,       82.3757,       87.3014
