DATE    = '2007-09-15T14:14:57' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=     299.265204071045 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=      20.036546661377 / [%] Humidity
WINDSPD =          6.103515625 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPE     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       84.7170,       33.6280,       36.6168
       84.7609,       33.6855,       37.4414
       84.8048,       33.3274,       37.1462
       84.8487,       33.6504,       37.3405
       84.8926,       34.1409,       37.3709
       84.9365,       34.2378,       37.8444
       84.9804,       34.4084,       38.5347
       85.0243,       34.7452,       38.3649
       85.0682,       34.6728,       38.1643
       85.1121,       34.9584,       38.7390
       85.1560,       34.9954,       38.5958
       85.1999,       35.4374,       39.4517
       85.2438,       36.0045,       39.2988
       85.2877,       36.2494,       40.2771
       85.3316,       36.2358,       40.1678
       85.3755,       36.6993,       41.0443
       85.4194,       37.0633,       41.4349
       85.4633,       37.7744,       42.2503
       85.5072,       38.6625,       42.1573
       85.5512,       39.2038,       43.6403
       85.5951,       39.2738,       43.4844
       85.6390,       40.3267,       44.4848
       85.6829,       40.5251,       44.8186
       85.7268,       41.3048,       45.7227
       85.7707,       41.7331,       45.8575
       85.8146,       42.5673,       47.7250
       85.8585,       42.7567,       47.1837
       85.9024,       43.6490,       48.5588
       85.9463,       43.9674,       49.3454
       85.9902,       45.0246,       50.2986
       86.0341,       45.7269,       50.3520
       86.0780,       46.1674,       51.6744
       86.1219,       46.8907,       51.8910
       86.1658,       47.6587,       52.9029
       86.2097,       48.7265,       53.7074
       86.2536,       48.8927,       54.5816
       86.2975,       49.3390,       55.3221
       86.3414,       50.4669,       56.2504
       86.3853,       51.4977,       57.0782
       86.4292,       52.2545,       57.7904
       86.4731,       52.8012,       58.3280
       86.5170,       53.7940,       59.7178
       86.5609,       54.3337,       59.7333
       86.6048,       55.6901,       61.2750
       86.6487,       56.1191,       61.9402
       86.6926,       56.2966,       62.2164
       86.7365,       57.7834,       64.1433
       86.7804,       57.8620,       64.1368
       86.8243,       58.2606,       64.8114
       86.8682,       59.1864,       66.0013
       86.9121,       60.0587,       67.0363
       86.9560,       60.8681,       67.1114
       86.9999,       61.5524,       67.3612
       87.0438,       62.4073,       69.3155
       87.0877,       62.5835,       69.8657
       87.1317,       63.4762,       69.6090
       87.1756,       64.4138,       70.2749
       87.2195,       64.5882,       72.5703
       87.2634,       65.0203,       71.8936
       87.3073,       65.7566,       73.0515
       87.3512,       66.7240,       73.4418
       87.3951,       65.9794,       74.1428
       87.4390,       66.9272,       74.4281
