DATE    = '2007-09-15T14:16:57' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=     299.265204071045 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=     20.1290241699219 / [%] Humidity
WINDSPD =          4.345703125 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPW     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       62.2388,       34.0138,       36.6031
       62.2827,       34.4447,       36.3832
       62.3266,       34.1371,       36.3330
       62.3705,       34.3295,       36.2930
       62.4144,       34.4970,       36.3794
       62.4583,       34.4764,       36.4773
       62.5022,       33.8711,       36.7908
       62.5461,       34.5642,       37.2544
       62.5900,       34.5280,       37.9984
       62.6339,       35.6129,       37.8637
       62.6778,       35.5719,       37.8881
       62.7217,       35.7710,       38.4785
       62.7656,       36.2670,       39.1785
       62.8095,       36.7106,       39.1566
       62.8534,       36.7691,       39.5897
       62.8973,       36.8299,       40.3107
       62.9412,       37.7151,       40.4494
       62.9851,       37.9966,       41.3982
       63.0291,       38.9514,       41.3087
       63.0730,       39.5939,       42.2365
       63.1169,       40.0313,       42.5049
       63.1608,       40.2813,       43.4717
       63.2047,       41.2822,       43.3175
       63.2486,       41.4646,       44.4134
       63.2925,       42.0269,       44.9435
       63.3364,       42.8341,       45.6385
       63.3803,       43.5082,       46.1964
       63.4242,       43.8514,       47.3712
       63.4681,       44.1172,       47.4584
       63.5120,       46.0984,       48.4960
       63.5559,       46.1705,       49.6179
       63.5998,       46.8951,       49.9224
       63.6437,       47.3891,       50.8001
       63.6876,       48.3063,       52.0558
       63.7315,       48.9221,       51.7719
       63.7754,       49.5609,       52.8088
       63.8193,       50.1934,       53.7714
       63.8632,       51.6034,       54.7736
       63.9071,       51.8692,       55.6275
       63.9510,       52.7510,       56.1514
       63.9949,       53.8089,       57.0554
       64.0388,       54.3482,       58.2294
       64.0827,       54.1005,       59.1612
       64.1266,       56.0847,       59.6376
       64.1705,       56.3942,       60.5781
       64.2144,       57.8319,       60.8580
       64.2583,       57.6831,       61.1820
       64.3022,       58.6206,       63.1456
       64.3461,       58.8908,       63.5363
       64.3900,       60.3232,       64.3664
       64.4339,       60.6461,       64.1680
       64.4778,       61.3426,       65.4363
       64.5217,       61.7821,       65.9620
       64.5657,       62.1439,       67.8417
       64.6096,       63.5086,       67.2620
       64.6535,       63.1258,       67.8989
       64.6974,       64.8803,       68.3276
       64.7413,       65.0162,       69.6178
       64.7852,       65.2485,       69.6243
       64.8291,       66.6657,       71.2742
       64.8730,       66.3301,       71.0808
       64.9169,       68.3236,       72.2090
       64.9608,       68.4572,       72.5686
       65.0047,       68.6179,       73.7773
       65.0486,       69.1323,       73.0673
       65.0925,       69.2231,       75.0054
       65.1364,       69.8533,       74.8966
       65.1803,       70.2908,       75.5398
       65.2242,       71.1805,       75.8627
       65.2681,       71.2680,       76.0269
       65.3120,       72.5258,       76.9440
       65.3559,       72.9426,       76.9550
       65.3998,       72.3806,       77.2842
       65.4437,       73.1737,       78.0056
       65.4876,       73.3227,       78.4029
       65.5315,       73.4933,       78.9110
       65.5754,       74.4933,       79.4510
       65.6193,       74.6029,       79.8919
       65.6632,       74.5003,       80.0573
       65.7071,       75.5931,       80.0245
       65.7510,       75.5618,       80.7776
       65.7949,       75.9028,       80.7775
       65.8388,       76.1769,       80.6811
       65.8827,       75.6980,       81.2176
       65.9266,       76.7771,       81.1562
       65.9705,       75.6422,       81.9796
       66.0144,       76.6795,       82.1450
       66.0583,       77.7525,       82.6433
       66.1022,       77.3261,       81.9330
       66.1461,       77.3917,       83.3722
       66.1900,       77.2775,       82.2063
       66.2340,       78.4736,       83.6880
       66.2779,       77.4211,       82.4689
       66.3218,       78.0321,       83.3081
       66.3657,       78.0990,       83.5493
       66.4096,       78.2730,       82.4446
       66.4535,       77.5650,       83.4836
       66.4974,       78.1642,       83.6565
       66.5413,       78.1411,       83.6857
       66.5852,       78.5082,       83.5745
       66.6291,       78.3371,       83.9887
       66.6730,       78.1453,       84.6715
       66.7169,       78.7844,       83.6171
       66.7608,       77.9603,       83.9712
       66.8047,       78.6215,       84.6123
       66.8486,       78.8583,       85.2169
       66.8925,       78.7483,       84.3572
       66.9364,       78.8824,       84.0721
       66.9803,       78.8061,       84.0252
       67.0242,       79.5579,       84.4407
       67.0681,       78.9632,       84.1836
       67.1120,       79.1070,       84.7589
       67.1559,       77.9726,       83.9108
       67.1998,       78.6272,       84.4895
       67.2437,       78.9357,       84.4883
       67.2876,       78.3777,       83.9885
       67.3315,       79.0171,       83.9282
       67.3754,       79.0777,       84.0140
       67.4193,       78.2452,       84.0928
       67.4632,       78.8638,       84.1904
       67.5071,       78.9679,       84.2438
       67.5510,       78.5116,       85.1873
       67.5949,       78.7007,       83.4838
       67.6388,       79.4347,       84.7745
       67.6827,       78.2062,       84.0372
       67.7266,       78.4605,       83.9471
       67.7705,       79.4092,       84.1651
       67.8145,       78.4775,       83.6802
       67.8584,       79.0816,       84.1567
       67.9023,       79.8213,       83.9054
       67.9462,       78.7311,       83.8354
       67.9901,       78.7161,       84.5448
       68.0340,       78.8361,       84.6413
       68.0779,       77.9946,       83.6498
       68.1218,       79.0527,       84.3237
       68.1657,       79.1714,       84.2773
       68.2096,       78.6512,       84.5566
       68.2535,       79.0696,       83.3646
       68.2974,       78.3127,       83.6719
       68.3413,       78.6895,       84.5028
       68.3852,       79.4132,       83.4750
       68.4291,       78.7507,       84.2121
       68.4730,       78.2839,       83.7622
       68.5169,       79.1054,       84.1007
       68.5608,       79.3318,       84.0224
       68.6047,       78.5789,       84.6146
       68.6486,       78.2088,       84.4916
       68.6925,       79.0399,       83.9399
       68.7364,       78.7368,       84.3779
       68.7803,       78.8991,       83.9632
       68.8242,       79.0340,       83.8713
       68.8681,       78.6568,       84.2523
       68.9120,       78.7226,       84.6848
       68.9559,       79.1821,       85.1062
       68.9998,       78.9338,       84.0947
       69.0437,       79.1513,       84.1576
       69.0876,       79.3954,       84.0487
       69.1315,       79.5998,       83.7413
       69.1754,       79.3668,       84.2135
       69.2193,       79.0489,       83.9508
       69.2632,       79.7206,       83.6956
       69.3071,       79.3644,       83.7040
       69.3510,       78.4224,       84.7730
       69.3950,       79.2434,       84.2411
       69.4389,       78.5168,       84.3129
       69.4828,       79.7148,       84.4862
       69.5267,       78.9482,       84.2289
       69.5706,       79.4888,       84.5768
       69.6145,       79.5685,       84.2480
       69.6584,       79.7719,       84.3686
       69.7023,       79.4138,       84.3436
       69.7462,       78.7627,       84.6884
       69.7901,       80.4349,       84.4543
       69.8340,       79.8337,       84.8990
       69.8779,       79.8807,       84.9041
       69.9218,       79.5418,       85.5552
       69.9657,       80.2712,       83.4751
       70.0096,       79.5162,       84.7760
       70.0535,       79.6941,       84.9066
       70.0974,       79.1904,       84.7231
       70.1413,       79.4244,       84.9945
       70.1852,       80.0703,       84.9109
       70.2291,       80.5435,       84.7300
       70.2730,       80.0373,       84.9629
       70.3169,       79.3084,       83.9498
       70.3608,       80.1601,       86.2759
       70.4047,       79.6075,       84.5187
       70.4486,       80.3158,       84.6935
       70.4925,       79.2590,       84.7485
       70.5364,       79.5295,       85.2888
       70.5803,       80.1664,       84.5939
       70.6242,       79.5229,       84.9017
       70.6681,       79.3726,       85.2323
       70.7120,       79.6212,       85.0982
       70.7559,       79.6358,       85.1488
       70.7998,       79.9734,       84.7935
       70.8437,       79.5871,       84.5493
       70.8876,       79.5225,       84.8515
       70.9315,       80.1162,       85.5531
       70.9754,       79.7348,       85.0230
       71.0193,       79.7477,       84.8988
       71.0633,       80.4974,       84.5659
       71.1072,       80.4831,       84.3930
       71.1511,       80.1013,       85.6997
       71.1950,       80.8876,       85.4209
       71.2389,       80.4342,       85.0650
       71.2828,       80.2557,       84.9128
       71.3267,       79.4720,       85.0675
       71.3706,       80.3307,       84.7083
       71.4145,       79.1248,       84.8735
       71.4584,       79.6377,       84.3660
       71.5023,       79.8409,       84.8348
       71.5462,       80.6894,       85.4444
