DATE    = '2007-09-15T14:18:52' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=       299.1727265625 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=     20.4989342041016 / [%] Humidity
WINDSPD =           0.48828125 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       84.7170,       33.6087,       36.4441
       84.7609,       33.1786,       36.4356
       84.8048,       33.4918,       36.3657
       84.8487,       33.4092,       36.5074
       84.8926,       33.6542,       36.9304
       84.9365,       33.9110,       37.1467
       84.9804,       34.3195,       37.0555
       85.0243,       34.2717,       37.1633
       85.0682,       34.2513,       37.6190
       85.1121,       34.5368,       38.1090
       85.1560,       34.6359,       38.8769
       85.1999,       34.9511,       38.5428
       85.2438,       35.3572,       38.6102
       85.2877,       35.7313,       38.9406
       85.3316,       36.0645,       39.9206
       85.3755,       36.8999,       40.6017
       85.4194,       36.9107,       40.9893
       85.4633,       37.7424,       41.0832
       85.5072,       38.3498,       41.4439
       85.5512,       38.6997,       42.2846
       85.5951,       39.3898,       42.9384
       85.6390,       39.6672,       43.6833
       85.6829,       40.5070,       43.6810
       85.7268,       41.3364,       44.5919
       85.7707,       41.5559,       45.1365
       85.8146,       42.0097,       46.0768
       85.8585,       43.0503,       46.6538
       85.9024,       43.0822,       47.5149
       85.9463,       44.2798,       48.3392
       85.9902,       44.7398,       48.3131
       86.0341,       45.4148,       49.3135
       86.0780,       46.0125,       50.5540
       86.1219,       46.5932,       50.7875
       86.1658,       47.6586,       51.6490
       86.2097,       48.1594,       51.9472
       86.2536,       48.7395,       53.6680
       86.2975,       49.4138,       54.0335
       86.3414,       49.9991,       54.8109
       86.3853,       50.8177,       55.5692
       86.4292,       52.1145,       56.4805
       86.4731,       52.9697,       57.2662
       86.5170,       53.3820,       57.9880
       86.5609,       54.1756,       59.2055
       86.6048,       54.3027,       59.9727
       86.6487,       55.8494,       60.5275
       86.6926,       56.6899,       61.6747
       86.7365,       56.9205,       62.3542
       86.7804,       57.4038,       63.1777
       86.8243,       58.9330,       63.6990
       86.8682,       59.8722,       64.0236
       86.9121,       59.4800,       65.3545
       86.9560,       61.3667,       66.3084
       86.9999,       61.2067,       66.3680
       87.0438,       62.2285,       67.5982
       87.0877,       62.5421,       68.1158
       87.1317,       63.1499,       69.1999
       87.1756,       63.7490,       70.0705
       87.2195,       64.5595,       70.5595
       87.2634,       65.2014,       70.0334
       87.3073,       65.4242,       70.9698
       87.3512,       65.2984,       71.9727
       87.3951,       67.0594,       73.0355
       87.4390,       67.5472,       73.7201
       87.4829,       68.1745,       74.5194
       87.5268,       68.3994,       74.0037
       87.5707,       67.9443,       75.1872
       87.6146,       69.2357,       75.0744
       87.6585,       69.8617,       75.6450
       87.7024,       70.1379,       76.2930
       87.7463,       69.8384,       76.7990
       87.7902,       70.6118,       76.6418
       87.8341,       71.1961,       77.7393
