DATE    = '2007-09-15T14:20:32' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=     299.080249053955 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=     20.5914117126465 / [%] Humidity
WINDSPD =          3.466796875 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                  60. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       62.2388,       33.3840,       35.5394
       62.2827,       33.9230,       36.4284
       62.3266,       33.8187,       36.2587
       62.3705,       33.8069,       36.2384
       62.4144,       34.0678,       36.8226
       62.4583,       34.6253,       36.4536
       62.5022,       34.7192,       36.3796
       62.5461,       35.0426,       37.0333
       62.5900,       34.9495,       36.5138
       62.6339,       35.4338,       37.9126
       62.6778,       35.5676,       38.2497
       62.7217,       35.4377,       38.6441
       62.7656,       35.9141,       38.4304
       62.8095,       36.6487,       38.8668
       62.8534,       36.9776,       39.3168
       62.8973,       37.2278,       39.3853
       62.9412,       37.4488,       40.1793
       62.9851,       38.5031,       40.9411
       63.0291,       38.9693,       41.3268
       63.0730,       39.3110,       41.9766
       63.1169,       39.7572,       41.8436
       63.1608,       40.0251,       43.2829
       63.2047,       40.3944,       43.2280
       63.2486,       41.3757,       44.4836
       63.2925,       41.8147,       44.3390
       63.3364,       42.5563,       45.7214
       63.3803,       42.8219,       46.2815
       63.4242,       43.8807,       47.6447
       63.4681,       44.6358,       47.6523
       63.5120,       45.6517,       48.2941
       63.5559,       46.6131,       48.9757
       63.5998,       46.4932,       50.2890
       63.6437,       47.2725,       50.8515
       63.6876,       48.1481,       51.7604
       63.7315,       49.1301,       52.2481
       63.7754,       49.4714,       52.8756
       63.8193,       50.4642,       53.9024
       63.8632,       51.1144,       54.6844
       63.9071,       51.6113,       55.1387
       63.9510,       52.9215,       56.1850
       63.9949,       53.5443,       56.4526
       64.0388,       53.5454,       57.7315
       64.0827,       54.2793,       59.2862
       64.1266,       55.5187,       59.5468
       64.1705,       56.1399,       59.7301
       64.2144,       56.7235,       60.9782
       64.2583,       57.2632,       61.9651
       64.3022,       58.5885,       62.6709
       64.3461,       58.5225,       62.6284
       64.3900,       59.5102,       63.6557
       64.4339,       60.5104,       64.5604
       64.4778,       60.9566,       65.3942
       64.5217,       61.6757,       65.4086
       64.5657,       62.1805,       66.4650
       64.6096,       62.6645,       67.1108
       64.6535,       63.7917,       68.6742
       64.6974,       64.2867,       68.0796
       64.7413,       65.5142,       69.5886
       64.7852,       65.9382,       69.9150
       64.8291,       66.1053,       70.7999
       64.8730,       66.0208,       71.6359
       64.9169,       66.8889,       71.4256
       64.9608,       66.9130,       72.2700
       65.0047,       67.4878,       72.8434
       65.0486,       68.3488,       73.5898
       65.0925,       69.2648,       73.5318
       65.1364,       69.6343,       75.2671
       65.1803,       70.3794,       75.3087
       65.2242,       70.2310,       75.7798
       65.2681,       71.3289,       76.5457
       65.3120,       71.6003,       76.0733
       65.3559,       72.1614,       76.7098
       65.3998,       72.5993,       77.1229
       65.4437,       72.8905,       77.6049
       65.4876,       72.6698,       77.6973
       65.5315,       73.5626,       78.3312
       65.5754,       74.0647,       78.9108
       65.6193,       73.9885,       79.1388
       65.6632,       74.5423,       79.4338
       65.7071,       74.3280,       80.3653
       65.7510,       75.4949,       80.5212
       65.7949,       75.6182,       79.9358
       65.8388,       75.5160,       81.6596
       65.8827,       75.9628,       81.0528
       65.9266,       75.6620,       80.5201
       65.9705,       76.8293,       82.1946
       66.0144,       76.1386,       81.2271
       66.0583,       76.6626,       82.0645
       66.1022,       76.6791,       81.8181
       66.1461,       76.6260,       81.4697
       66.1900,       77.4868,       82.0893
       66.2340,       77.9703,       83.0460
       66.2779,       77.1013,       82.9396
       66.3218,       77.5996,       82.4186
       66.3657,       77.4076,       83.1846
       66.4096,       77.4360,       84.2048
       66.4535,       78.7392,       83.0375
       66.4974,       78.5916,       82.5337
       66.5413,       77.9347,       83.7496
       66.5852,       78.2368,       83.1884
       66.6291,       78.5993,       83.1175
       66.6730,       78.6955,       82.6567
       66.7169,       78.8364,       84.0994
       66.7608,       78.5697,       83.6389
       66.8047,       79.1574,       83.6975
       66.8486,       78.6368,       84.0256
       66.8925,       78.2564,       84.0886
       66.9364,       78.3476,       83.9956
       66.9803,       78.4597,       83.8565
       67.0242,       79.2153,       83.8413
       67.0681,       78.9874,       83.6154
       67.1120,       78.3156,       83.7885
       67.1559,       78.2458,       84.0798
       67.1998,       78.8262,       84.0135
       67.2437,       78.1212,       83.4602
       67.2876,       78.1543,       84.2590
       67.3315,       78.7170,       84.6683
       67.3754,       78.7212,       84.0039
       67.4193,       79.1511,       83.5997
       67.4632,       78.8959,       84.0688
       67.5071,       78.6966,       84.5206
       67.5510,       79.1205,       83.4613
       67.5949,       78.2727,       84.0895
       67.6388,       78.7509,       84.8046
       67.6827,       79.0950,       83.1923
       67.7266,       78.3848,       84.1137
       67.7705,       78.8908,       84.1769
       67.8145,       78.4294,       83.7618
       67.8584,       79.1325,       83.5563
       67.9023,       79.2591,       83.3816
