DATE    = '2007-09-15T14:26:42' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = 'G025.709+0.043'     / Name of object
LONGITUD=     279.512916666667 / Longitude of object
LATITUDE=    -6.40416666666667 / Latitude of object
OBSERVER= 'Mike    '           / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
FOCUS   =            7.9296875 / Sub-reflector focus
TILT    =           0.01953125 / Sub-reflector tilt
TAMBIENT=       299.1727265625 / [K] Ambient temperature
PRESSURE=                864.9 / [mbar] Atmospheric pressure
HUMIDITY=     21.0537992553711 / [%] Humidity
WINDSPD =           5.76171875 / [m/s] Wind Speed
SPVLSR  =                  96. / [km/s] Centre Vlsr
SPBW    =             1000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =              500000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 300. / [s] Integration time per scan
SPPOINT =                    0 / Offset pointing? TRUE=non-0 FALSE=0
EQUINOX =                2000.
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6668.018 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
       84.7170,       33.3481,       36.1763
       84.7609,       33.3649,       36.4358
       84.8048,       33.2226,       36.3563
       84.8487,       33.5460,       36.7786
       84.8926,       33.5371,       36.3964
       84.9365,       33.7907,       36.6073
       84.9804,       33.7885,       36.7195
       85.0243,       34.0071,       37.2364
       85.0682,       34.1519,       37.1209
       85.1121,       34.3389,       37.8292
       85.1560,       34.7212,       37.6235
       85.1999,       35.0215,       38.2496
       85.2438,       35.1936,       38.5512
       85.2877,       35.9102,       39.0137
       85.3316,       36.1314,       39.4412
       85.3755,       36.4539,       39.8818
       85.4194,       36.8932,       40.2248
       85.4633,       37.4404,       40.9864
       85.5072,       37.8763,       41.3503
       85.5512,       38.6731,       42.2755
       85.5951,       39.0277,       42.2989
       85.6390,       39.6854,       43.0633
       85.6829,       40.0393,       43.6046
       85.7268,       40.8285,       44.6661
       85.7707,       41.2783,       44.8508
       85.8146,       42.0296,       45.7623
       85.8585,       42.2449,       46.2102
       85.9024,       43.4190,       47.1228
       85.9463,       43.7714,       47.7315
       85.9902,       44.5519,       48.7915
       86.0341,       44.9673,       49.1036
       86.0780,       45.8171,       50.2044
       86.1219,       46.4595,       50.6436
       86.1658,       47.2285,       51.6014
       86.2097,       48.1595,       52.4026
       86.2536,       48.7238,       53.1939
       86.2975,       49.3805,       53.6900
       86.3414,       50.2834,       54.6788
       86.3853,       50.8661,       54.9936
       86.4292,       51.6814,       56.2033
       86.4731,       52.3049,       57.0210
       86.5170,       53.2941,       57.9781
       86.5609,       53.5972,       58.6769
       86.6048,       54.6231,       59.7511
       86.6487,       55.0243,       60.1423
       86.6926,       56.1711,       60.9655
       86.7365,       56.3991,       61.4127
       86.7804,       57.7208,       62.5950
       86.8243,       58.0792,       63.0190
       86.8682,       58.8596,       64.1269
       86.9121,       59.4502,       64.4465
       86.9560,       59.9370,       65.6980
       86.9999,       60.7689,       65.9801
       87.0438,       61.3750,       66.9032
       87.0877,       62.0411,       67.3849
       87.1317,       62.7797,       68.3048
       87.1756,       63.4570,       68.8983
       87.2195,       63.9597,       69.8014
       87.2634,       64.6869,       70.1184
       87.3073,       65.2226,       71.0483
       87.3512,       65.7848,       71.3232
       87.3951,       66.3027,       71.9528
       87.4390,       66.6254,       72.3088
       87.4829,       67.6740,       73.4780
       87.5268,       67.8904,       73.7771
       87.5707,       68.2954,       74.2350
       87.6146,       68.5070,       74.9246
       87.6585,       69.5806,       75.5457
       87.7024,       69.6166,       75.8252
       87.7463,       70.0187,       76.6200
       87.7902,       70.8462,       76.2981
       87.8341,       71.4880,       77.3420
       87.8780,       71.2129,       77.5111
       87.9219,       71.8033,       78.2700
       87.9658,       72.2551,       78.2719
       88.0097,       72.3961,       78.6748
       88.0536,       72.8861,       78.6101
       88.0975,       73.2134,       79.5967
       88.1414,       73.3917,       79.8355
       88.1853,       73.7819,       80.4120
       88.2292,       73.8150,       80.4661
       88.2731,       74.3243,       80.7776
       88.3170,       74.5929,       80.8999
       88.3609,       74.7134,       81.0365
       88.4048,       74.9926,       80.8045
       88.4487,       75.5219,       81.7610
       88.4926,       75.4264,       81.7411
       88.5365,       75.8761,       82.4054
       88.5804,       75.8912,       82.1296
       88.6243,       75.9716,       82.5756
       88.6682,       75.8602,       82.5227
       88.7122,       76.3514,       82.9029
       88.7561,       76.5690,       82.9030
       88.7999,       76.5187,       82.9333
       88.8439,       76.4073,       83.0367
       88.8878,       76.6787,       83.3614
       88.9317,       76.8546,       82.8672
       88.9756,       76.6489,       83.5457
       89.0195,       76.8013,       83.5510
       89.0634,       77.3489,       83.8334
       89.1073,       77.3385,       83.7056
       89.1512,       77.2435,       83.9634
       89.1951,       77.3765,       84.1757
       89.2390,       77.3880,       84.3774
       89.2829,       77.9498,       84.2898
       89.3268,       78.6852,       84.8808
       89.3707,       79.3143,       85.2407
       89.4146,       80.0019,       86.4946
       89.4585,       80.9241,       86.9733
       89.5024,       81.5687,       87.9011
       89.5463,       81.8562,       87.8489
       89.5902,       82.0227,       88.3401
       89.6341,       82.5733,       89.2765
       89.6780,       82.6630,       88.9530
       89.7219,       82.6573,       88.8295
       89.7658,       83.1992,       88.9732
       89.8097,       82.9683,       88.7405
       89.8536,       82.3997,       88.6623
       89.8975,       82.0202,       88.0822
       89.9414,       81.4526,       87.7399
       89.9853,       80.9619,       87.1531
       90.0292,       79.9549,       86.5367
       90.0731,       79.8883,       85.7865
       90.1170,       79.4216,       85.6431
       90.1609,       78.7261,       84.9370
       90.2048,       78.6839,       85.1321
       90.2487,       78.5924,       84.7725
       90.2926,       78.3830,       84.9903
       90.3365,       78.5828,       84.5309
       90.3804,       78.7445,       84.8237
       90.4244,       78.3673,       84.4203
       90.4683,       78.1112,       84.6028
       90.5122,       78.1396,       84.2728
       90.5561,       77.8918,       84.0709
       90.6000,       78.2089,       84.0617
       90.6439,       77.8314,       84.7293
       90.6878,       77.7085,       84.0706
       90.7317,       77.8779,       84.4802
       90.7756,       77.8328,       83.9563
       90.8195,       78.0056,       84.4547
       90.8634,       77.8319,       83.9283
       90.9073,       77.8658,       84.0797
       90.9512,       77.9425,       84.2692
       90.9951,       78.3095,       84.5370
       91.0390,       78.4206,       84.5738
       91.0829,       78.8686,       84.9425
       91.1268,       78.6168,       84.9485
       91.1707,       79.0028,       85.0994
       91.2146,       79.1648,       84.9104
       91.2585,       79.3180,       85.2336
       91.3024,       79.0799,       85.1929
       91.3463,       78.6154,       84.9958
       91.3902,       78.6425,       84.5180
       91.4341,       77.9442,       84.8017
       91.4780,       77.9829,       84.3310
       91.5219,       78.3686,       84.5511
       91.5658,       78.3187,       84.2278
       91.6097,       78.5846,       84.9760
       91.6536,       78.4314,       84.4593
       91.6975,       78.7173,       84.9545
       91.7414,       78.9574,       85.1571
       91.7853,       79.8837,       86.1746
       91.8292,       80.2790,       86.2160
       91.8731,       80.7287,       86.7479
       91.9170,       80.6644,       86.7069
       91.9610,       80.5982,       86.5154
       92.0049,       80.3509,       85.8837
       92.0488,       79.7713,       86.1205
       92.0927,       79.5068,       85.3055
       92.1366,       79.2962,       85.4125
       92.1805,       78.9974,       84.9839
       92.2244,       79.2124,       85.3538
       92.2683,       79.1203,       85.2283
       92.3122,       79.1769,       85.6098
       92.3561,       78.7897,       84.8939
       92.4000,       78.8075,       85.1282
       92.4439,       79.1575,       84.5786
       92.4878,       78.7260,       85.2200
       92.5317,       79.1364,       85.0630
       92.5756,       78.9520,       84.9952
       92.6195,       79.0177,       84.7444
       92.6634,       79.0433,       85.0533
       92.7073,       78.9340,       84.9103
       92.7512,       79.0615,       85.0987
       92.7951,       78.7766,       84.6887
       92.8390,       78.8835,       85.0876
       92.8829,       79.0530,       85.2109
       92.9268,       79.3230,       85.3524
       92.9707,       79.7671,       85.1656
       93.0146,       79.5274,       85.7849
       93.0585,       79.8847,       85.7308
       93.1024,       80.0890,       86.6213
       93.1463,       80.5740,       86.3724
       93.1902,       80.8813,       87.2413
       93.2341,       80.7446,       86.6305
       93.2780,       80.9132,       86.9294
       93.3219,       80.4637,       85.9761
       93.3658,       80.4863,       86.4005
       93.4097,       80.6209,       86.8254
       93.4536,       81.0465,       86.7639
       93.4975,       81.0468,       86.7149
       93.5415,       81.2753,       86.6415
       93.5854,       81.1794,       87.1812
       93.6292,       81.5411,       87.0135
       93.6732,       81.8177,       87.4654
       93.7171,       81.2257,       87.4887
       93.7610,       81.5193,       87.5450
       93.8049,       81.7446,       87.1791
       93.8488,       81.3199,       87.4657
       93.8927,       81.5713,       87.2713
       93.9366,       81.6629,       86.8217
       93.9805,       82.3353,       88.2069
       94.0244,       82.4520,       88.0949
       94.0683,       82.7980,       88.6897
       94.1122,       83.0808,       89.0464
       94.1561,       83.8368,       89.1305
       94.2000,       83.9906,       89.8911
       94.2439,       84.3636,       90.2355
       94.2878,       84.8745,       90.3097
       94.3317,       84.9939,       90.6939
       94.3756,       85.6791,       90.7014
       94.4195,       86.7517,       92.0484
       94.4634,       87.2784,       92.5907
       94.5073,       87.9741,       92.9307
       94.5512,       89.0786,       94.2753
       94.5951,       90.0387,       95.4901
       94.6390,       91.0260,       96.0786
       94.6829,       92.6359,       97.3791
       94.7268,       93.5827,       98.2482
       94.7707,       94.3037,       98.7848
       94.8146,       94.8837,       99.1168
       94.8585,       94.9146,       99.7094
