DATE    = '2007-10-23T14:28:52' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = '18060-2005'         / Name of object
COORDSYS= 'GALACTIC'           / Input coordinate system
LONGITUD=                 10.3 / Longitude of object
LATITUDE=                -0.15 / Latitude of object
OBSERVER= 'A Ostrovskii'       / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                 10.6 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 120. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6667.518 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPN     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -11.9660,       29.5938,       28.2064
      -11.8782,       29.2824,       28.2790
      -11.7904,       29.6043,       28.3075
      -11.7026,       29.5171,       28.2219
      -11.6148,       29.5853,       28.3980
      -11.5270,       29.7286,       28.6054
      -11.4392,       29.9273,       28.7164
      -11.3514,       30.1203,       28.8910
      -11.2636,       30.2821,       29.1193
      -11.1758,       30.5668,       29.2186
      -11.0879,       30.7977,       29.5603
      -11.0001,       30.9989,       29.7647
      -10.9123,       31.1170,       29.9157
      -10.8245,       31.6532,       30.2843
      -10.7367,       31.8223,       30.5186
      -10.6489,       32.3379,       30.9462
      -10.5611,       32.8727,       31.2739
      -10.4733,       33.1583,       31.6667
      -10.3855,       33.3468,       32.2934
      -10.2977,       33.9282,       32.6186
      -10.2099,       34.3662,       33.0894
      -10.1221,       34.9478,       33.5658
      -10.0343,       35.5415,       33.9238
      -9.94648,       35.6533,       34.6609
      -9.85867,       36.4440,       35.0092
      -9.77086,       36.8666,       35.5014
      -9.68306,       37.3308,       35.7347
      -9.59525,       38.1696,       36.4601
      -9.50745,       38.5698,       37.0350
      -9.41964,       39.0635,       37.6454
      -9.33184,       39.7972,       38.3540
      -9.24403,       40.3976,       38.7823
      -9.15623,       41.1796,       39.4045
      -9.06842,       41.5317,       40.2181
      -8.98062,       42.2556,       40.5674
      -8.89281,       42.6410,       41.2196
      -8.80500,       43.4177,       41.8170
      -8.71720,       44.0014,       42.7333
      -8.62939,       44.7715,       42.9410
      -8.54159,       45.1535,       43.6885
      -8.45378,       45.9270,       44.1282
      -8.36598,       46.5586,       45.0459
      -8.27817,       47.3989,       45.4118
      -8.19037,       47.8950,       46.1347
      -8.10256,       48.2052,       46.6257
      -8.01476,       49.2484,       47.4162
      -7.92695,       49.3915,       47.8214
      -7.83914,       50.2175,       48.6354
      -7.75134,       50.6876,       49.0010
      -7.66353,       51.5071,       49.5545
      -7.57573,       51.9911,       50.3784
      -7.48792,       52.5095,       50.9570
      -7.40012,       53.2198,       51.2944
      -7.31231,       53.8980,       51.9880
      -7.22451,       54.2443,       52.6075
      -7.13670,       54.8474,       53.1487
      -7.04890,       55.3309,       53.4984
      -6.96109,       55.7377,       54.1560
      -6.87328,       56.2749,       54.4047
      -6.78548,       56.8462,       55.3121
      -6.69767,       57.4032,       55.3497
      -6.60987,       57.9136,       56.0582
      -6.52206,       58.0787,       56.5866
      -6.43426,       58.8353,       56.8314
      -6.34645,       59.2091,       57.3996
      -6.25865,       59.5028,       57.5286
      -6.17084,       60.2362,       58.0915
      -6.08304,       60.3075,       58.4807
      -5.99523,       60.9577,       59.0199
      -5.90742,       61.1103,       58.7252
      -5.81962,       61.2184,       59.5270
      -5.73181,       61.6406,       60.0284
      -5.64401,       62.3984,       60.1525
      -5.55620,       62.3912,       60.2253
      -5.46840,       62.8879,       60.8656
      -5.38059,       63.0644,       61.3036
      -5.29279,       62.8625,       61.6914
      -5.20498,       63.3285,       61.9686
      -5.11718,       63.8214,       62.0354
      -5.02937,       64.2756,       62.0378
      -4.94156,       64.2856,       62.3996
      -4.85376,       64.6822,       62.6028
      -4.76595,       64.4325,       62.9297
      -4.67815,       64.6047,       62.9087
      -4.59034,       65.0090,       63.3487
      -4.50254,       65.2002,       63.3149
      -4.41473,       65.2547,       63.4816
      -4.32693,       65.5212,       63.7683
      -4.23912,       65.5393,       63.6711
      -4.15132,       65.7662,       63.9992
      -4.06351,       65.9013,       64.2384
      -3.97570,       65.9919,       64.4597
      -3.88790,       66.1154,       64.4906
      -3.80009,       66.3120,       64.2023
      -3.71229,       66.2660,       64.4449
      -3.62448,       66.3423,       64.5053
      -3.53668,       66.3896,       64.9467
      -3.44887,       66.9328,       64.8488
      -3.36107,       66.7470,       64.9885
      -3.27326,       66.7196,       64.8286
      -3.18546,       66.8583,       64.7493
      -3.09765,       66.6421,       64.9627
      -3.00984,       66.6619,       64.9816
      -2.92204,       66.8895,       65.3734
      -2.83423,       67.2126,       65.5733
      -2.74643,       66.8236,       65.4103
      -2.65862,       67.0483,       65.4446
      -2.57082,       67.1985,       65.4151
      -2.48301,       67.2455,       65.3558
      -2.39521,       66.6940,       65.5649
      -2.30740,       67.2193,       65.2259
      -2.21960,       67.1766,       65.5287
      -2.13179,       66.9665,       65.5115
      -2.04398,       66.9336,       65.3433
      -1.95618,       67.1531,       65.2680
      -1.86837,       67.1348,       65.6803
      -1.78057,       66.9406,       65.3472
      -1.69276,       67.1597,       65.3120
      -1.60496,       66.9652,       65.3810
      -1.51715,       66.8808,       65.1921
      -1.42935,       66.9884,       65.4955
      -1.34154,       66.9866,       65.5891
      -1.25374,       66.9918,       65.3182
      -1.16593,       66.9011,       65.5022
      -1.07812,       67.0148,       65.3315
     -0.990319,       66.8940,       65.0938
     -0.902514,       67.0391,       65.3736
     -0.814709,       67.1430,       65.3542
     -0.726903,       66.6490,       65.4152
     -0.639098,       66.7595,       65.1516
     -0.551292,       66.9710,       65.0530
     -0.463487,       66.7448,       65.3308
     -0.375681,       66.8889,       65.2952
     -0.287876,       67.0502,       65.1693
     -0.200070,       66.7084,       64.9878
     -0.112265,       66.8769,       65.0459
    -0.0244595,       66.5721,       65.2143
     0.0633460,       66.8234,       65.0725
      0.151151,       66.6711,       65.4689
      0.238957,       67.1316,       65.6287
      0.326762,       66.8086,       65.1344
      0.414568,       66.9514,       65.4956
      0.502373,       67.0077,       65.4512
      0.590179,       66.9915,       65.5105
      0.677984,       66.6423,       65.0838
      0.765790,       67.0483,       65.5395
      0.853595,       66.4355,       65.2120
      0.941400,       66.7849,       65.5077
       1.02921,       66.9757,       65.4189
       1.11701,       67.0392,       65.1848
       1.20482,       66.6754,       65.6358
       1.29262,       66.7861,       65.4090
       1.38043,       66.8283,       65.6958
       1.46823,       66.8849,       65.7362
       1.55604,       66.9769,       65.4461
       1.64384,       66.8919,       65.4273
       1.73165,       66.9157,       65.2478
       1.81945,       66.8095,       65.4694
       1.90726,       66.7521,       65.3167
       1.99507,       67.4658,       65.5957
       2.08287,       67.0184,       65.8249
       2.17068,       67.0697,       66.2081
       2.25848,       66.8165,       65.5283
       2.34629,       67.2378,       65.8057
       2.43409,       66.9642,       65.5094
       2.52190,       67.1245,       65.5804
       2.60970,       66.8665,       65.8565
       2.69751,       66.9126,       65.7803
       2.78531,       66.7676,       65.6955
       2.87312,       67.2175,       65.7590
       2.96093,       66.8316,       65.7490
       3.04873,       67.0001,       65.8746
       3.13654,       66.9493,       65.9934
       3.22434,       67.3880,       65.9450
       3.31215,       67.1361,       65.9903
       3.39995,       67.1149,       65.6504
       3.48776,       66.8605,       65.5883
       3.57556,       67.4820,       65.8279
       3.66337,       67.1948,       65.8337
       3.75117,       67.1317,       65.9248
       3.83898,       67.2498,       66.0181
       3.92679,       67.3017,       66.0284
       4.01459,       67.1912,       66.0189
       4.10240,       67.3138,       66.2262
       4.19020,       67.6688,       66.1445
       4.27801,       68.0172,       66.6816
       4.36581,       68.1465,       66.5223
       4.45362,       67.9385,       66.6186
       4.54142,       67.8265,       66.6943
       4.62923,       67.7870,       66.7907
       4.71703,       67.9155,       66.2925
       4.80484,       67.5304,       66.5221
       4.89265,       67.6671,       66.3581
       4.98045,       67.3867,       66.1203
       5.06826,       67.4407,       66.3001
       5.15606,       67.0167,       66.3387
       5.24387,       67.3165,       66.3581
       5.33167,       67.3563,       66.5080
       5.41948,       67.7201,       66.1608
       5.50728,       67.5524,       66.6117
       5.59509,       67.5188,       66.1878
       5.68289,       67.3621,       66.1000
       5.77070,       67.7063,       66.4944
       5.85851,       67.9551,       66.4653
       5.94631,       68.0580,       66.4292
       6.03412,       68.0646,       66.8925
       6.12192,       68.1039,       66.9252
       6.20973,       67.9699,       66.8361
       6.29753,       67.9368,       66.5702
       6.38534,       68.1717,       66.6212
       6.47314,       67.7804,       66.6234
       6.56095,       67.4099,       66.2551
       6.64875,       67.1885,       66.3130
       6.73656,       67.4143,       66.3431
       6.82437,       67.2899,       66.0351
       6.91217,       67.7841,       66.6872
       6.99998,       67.9487,       66.8047
       7.08778,       68.3001,       67.1154
       7.17559,       68.8113,       67.0649
       7.26339,       68.4484,       67.7332
       7.35120,       68.8132,       67.3994
       7.43900,       68.4639,       66.9821
       7.52681,       68.1365,       66.7420
       7.61461,       67.6162,       66.7547
       7.70242,       67.4006,       66.3068
       7.79023,       67.7886,       66.8440
       7.87803,       67.9866,       66.6153
       7.96584,       68.0538,       66.5147
       8.05364,       67.7493,       66.6715
       8.14145,       68.0147,       66.6675
       8.22925,       67.5450,       66.4320
       8.31706,       67.6418,       66.4894
       8.40486,       67.5013,       66.2813
       8.49267,       67.6329,       66.7254
       8.58047,       67.3586,       66.2880
       8.66828,       67.6833,       66.4027
       8.75609,       67.3901,       66.1484
       8.84389,       67.3594,       66.5617
       8.93170,       67.4737,       66.1731
       9.01950,       67.6549,       66.4069
       9.10731,       67.2703,       66.3025
       9.19511,       67.1810,       66.3436
       9.28292,       68.0388,       66.4360
       9.37072,       68.1456,       67.0347
       9.45853,       67.7809,       67.1016
       9.54633,       68.3801,       67.3433
       9.63414,       69.4149,       68.1421
       9.72195,       71.3322,       69.3995
       9.80975,       73.2062,       71.1946
       9.89756,       73.7391,       72.0340
       9.98536,       73.4475,       71.6383
       10.0732,       72.6231,       71.0453
       10.1610,       71.4100,       69.9255
       10.2488,       70.0817,       69.1029
       10.3366,       70.2979,       68.5610
       10.4244,       69.6313,       68.6417
       10.5122,       69.8595,       68.5543
       10.6000,       70.0773,       68.7268
       10.6878,       70.0974,       68.8824
       10.7756,       69.8064,       68.6343
       10.8634,       69.6184,       68.4274
       10.9512,       69.1243,       68.0265
       11.0390,       69.1518,       67.6041
       11.1268,       69.8180,       68.8347
       11.2146,       70.6415,       69.0664
       11.3024,       72.6860,       71.2002
       11.3902,       74.0288,       72.5957
       11.4781,       74.3330,       72.5516
       11.5659,       72.6860,       71.2017
       11.6537,       71.0390,       69.8869
       11.7415,       69.9047,       68.7069
       11.8293,       69.0635,       67.9282
       11.9171,       67.9769,       67.3566
       12.0049,       67.9155,       66.7888
       12.0927,       68.3527,       67.7283
       12.1805,       69.1952,       67.7883
       12.2683,       68.8473,       67.7790
       12.3561,       68.5066,       67.3178
       12.4439,       67.7929,       67.0172
       12.5317,       67.8313,       67.1114
       12.6195,       67.6137,       66.5146
       12.7073,       67.8048,       66.7916
       12.7951,       67.7614,       66.6057
       12.8829,       67.1258,       66.7801
       12.9707,       67.4733,       66.3733
       13.0586,       67.6490,       66.5781
       13.1464,       67.5958,       66.7561
       13.2342,       67.4434,       66.7411
       13.3220,       67.6201,       66.6200
       13.4098,       67.6541,       66.9684
       13.4976,       67.6382,       66.6354
       13.5854,       67.6843,       66.9980
       13.6732,       67.4228,       66.8851
       13.7610,       67.6492,       66.9674
       13.8488,       67.8380,       67.2728
       13.9366,       67.6062,       66.9295
       14.0244,       67.7176,       67.0381
       14.1122,       67.4598,       67.1052
       14.2000,       67.7034,       67.1471
       14.2878,       68.2156,       66.8319
       14.3756,       68.4855,       67.1864
       14.4634,       68.5753,       67.6448
       14.5512,       68.4511,       67.6501
       14.6391,       68.5791,       67.9195
       14.7269,       68.6094,       67.8661
       14.8147,       68.5577,       67.8303
       14.9025,       68.6907,       67.3726
       14.9903,       68.7348,       67.6763
       15.0781,       68.1567,       67.5736
       15.1659,       68.4234,       67.4773
       15.2537,       68.4519,       67.7447
       15.3415,       69.0565,       68.1417
       15.4293,       69.2038,       68.1743
       15.5171,       69.3498,       68.4689
       15.6049,       68.9493,       68.2558
       15.6927,       68.9951,       68.4632
       15.7805,       68.9316,       67.8360
       15.8683,       68.5888,       68.0553
       15.9561,       68.5626,       67.6221
       16.0439,       67.9406,       67.4447
       16.1317,       68.0987,       67.2567
       16.2195,       67.5736,       67.2996
       16.3074,       67.9464,       67.3528
       16.3952,       67.9310,       66.8091
       16.4830,       67.4436,       67.0802
       16.5708,       67.3548,       67.0375
       16.6586,       67.6416,       67.1408
       16.7464,       67.9761,       67.1543
       16.8342,       67.4895,       67.1558
       16.9220,       67.5565,       66.9611
       17.0098,       67.8909,       67.0378
       17.0976,       67.6666,       66.8187
       17.1854,       67.7252,       66.9018
       17.2732,       67.6467,       67.3957
       17.3610,       67.5961,       66.9198
       17.4488,       67.4586,       66.9990
       17.5366,       67.0769,       67.0281
       17.6244,       67.6685,       66.8068
       17.7122,       67.2851,       66.6891
       17.8000,       67.6574,       66.9584
       17.8879,       67.5490,       66.6526
       17.9757,       67.6189,       66.9028
       18.0635,       67.2403,       66.7752
       18.1513,       67.1350,       66.9530
       18.2391,       67.3602,       67.3246
       18.3269,       67.7632,       66.9295
       18.4147,       67.0923,       66.7434
       18.5025,       67.3543,       66.7349
       18.5903,       67.3390,       66.9883
       18.6781,       67.2228,       66.9447
       18.7659,       67.3293,       66.9427
       18.8537,       67.6272,       67.3228
       18.9415,       67.3705,       67.0127
       19.0293,       67.4633,       67.0915
       19.1171,       67.1130,       67.1007
       19.2049,       67.6913,       66.8653
       19.2927,       67.4821,       67.0392
       19.3805,       67.5263,       67.0024
       19.4684,       67.4211,       67.2732
       19.5562,       67.2645,       66.8904
       19.6440,       67.6053,       67.0653
       19.7318,       67.4213,       66.9956
       19.8196,       67.4779,       67.1515
       19.9074,       67.5480,       67.1009
       19.9952,       67.0315,       66.6414
       20.0830,       67.4697,       67.0391
       20.1708,       67.5487,       66.7216
       20.2586,       67.6776,       67.0879
       20.3464,       67.6775,       67.1418
       20.4342,       67.1619,       66.9202
       20.5220,       67.6527,       67.0358
       20.6098,       67.4093,       67.0904
       20.6976,       67.2653,       66.9587
       20.7854,       67.2607,       66.9495
       20.8732,       67.3281,       66.7630
       20.9610,       67.2933,       67.0400
       21.0488,       67.1701,       67.1870
       21.1367,       67.5561,       67.0691
       21.2245,       67.2262,       67.1912
       21.3123,       67.4507,       67.0951
       21.4001,       67.1209,       66.6677
       21.4879,       67.3385,       66.9348
       21.5757,       67.5375,       66.9423
       21.6635,       67.6399,       67.0049
       21.7513,       67.4660,       67.0424
       21.8391,       67.3202,       67.0595
       21.9269,       67.6188,       67.1774
       22.0147,       67.2674,       67.5265
       22.1025,       67.4864,       67.0036
       22.1903,       67.0265,       67.1791
       22.2781,       67.2448,       67.2092
       22.3659,       67.0861,       67.3190
       22.4537,       67.1275,       67.0224
       22.5415,       67.0828,       67.1906
       22.6293,       67.1303,       66.9852
       22.7172,       67.1525,       67.2744
       22.8050,       66.9602,       67.0227
       22.8928,       67.1291,       67.1479
       22.9806,       67.1105,       66.9008
       23.0684,       67.3452,       67.2222
       23.1562,       67.1966,       66.9694
       23.2440,       67.0306,       67.3779
       23.3318,       67.1245,       67.1482
       23.4196,       67.4111,       67.0756
       23.5074,       67.2591,       67.2337
       23.5952,       67.0282,       67.2847
       23.6830,       67.0597,       67.2083
       23.7708,       67.3112,       66.9994
       23.8586,       67.3331,       66.8873
       23.9464,       67.2121,       67.2494
       24.0342,       67.4272,       67.1422
       24.1220,       67.3225,       67.4500
       24.2098,       67.5033,       67.2099
       24.2976,       67.1955,       67.3174
       24.3855,       67.4099,       67.1301
       24.4733,       67.1885,       67.3422
       24.5611,       67.0881,       67.3597
       24.6489,       67.3639,       67.0379
       24.7367,       67.5166,       67.3272
       24.8245,       67.1548,       67.3501
       24.9123,       67.6472,       67.2930
       25.0001,       67.1841,       67.7008
       25.0879,       67.3783,       67.2821
       25.1757,       67.0439,       67.3608
       25.2635,       67.1271,       67.2987
       25.3513,       66.9470,       67.1969
       25.4391,       67.3186,       67.5748
       25.5269,       67.0625,       67.1861
       25.6147,       67.2192,       67.1251
       25.7025,       67.1868,       67.4801
       25.7903,       67.1370,       67.3833
       25.8781,       67.2108,       67.3243
       25.9660,       67.0149,       67.1710
       26.0538,       67.2175,       67.3276
       26.1416,       67.3534,       67.2250
       26.2294,       67.3756,       67.3510
       26.3172,       67.2404,       67.1675
       26.4050,       67.0812,       67.5682
       26.4928,       67.1709,       67.5160
       26.5806,       67.1510,       67.2343
       26.6684,       67.3912,       67.4896
       26.7562,       67.3197,       67.4450
       26.8440,       67.3565,       67.4313
       26.9318,       67.4705,       67.4334
       27.0196,       67.4592,       67.4310
       27.1074,       67.0246,       67.7887
       27.1952,       67.4261,       67.3674
