DATE    = '2007-10-23T14:31:47' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = '18060-2005'         / Name of object
COORDSYS= 'GALACTIC'           / Input coordinate system
LONGITUD=                 10.3 / Longitude of object
LATITUDE=                -0.15 / Latitude of object
OBSERVER= 'A Ostrovskii'       / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                 10.6 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 120. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6667.518 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPS     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -56.9224,       28.8925,       27.7769
      -56.8346,       29.3632,       28.0289
      -56.7468,       29.1824,       28.0275
      -56.6590,       29.4549,       28.0908
      -56.5712,       29.3507,       28.0826
      -56.4834,       29.5035,       28.5499
      -56.3956,       29.6099,       28.5387
      -56.3078,       29.6855,       28.7005
      -56.2199,       30.1720,       28.5343
      -56.1321,       30.1920,       29.0444
      -56.0443,       30.3768,       29.0401
      -55.9565,       30.6859,       29.4672
      -55.8687,       30.9377,       29.6722
      -55.7809,       31.3147,       30.0144
      -55.6931,       31.4954,       30.4436
      -55.6053,       32.0653,       30.4805
      -55.5175,       32.5518,       31.1250
      -55.4297,       32.8669,       31.5337
      -55.3419,       33.0975,       31.7462
      -55.2541,       33.7508,       32.3976
      -55.1663,       34.0282,       32.7619
      -55.0785,       34.6065,       33.1683
      -54.9907,       34.8260,       33.5740
      -54.9029,       35.5751,       34.0873
      -54.8151,       35.8917,       34.5554
      -54.7273,       36.6692,       34.9408
      -54.6395,       37.0863,       35.6466
      -54.5516,       37.5779,       36.3408
      -54.4638,       38.2842,       36.8203
      -54.3760,       38.6118,       37.3623
      -54.2882,       39.3479,       37.8529
      -54.2004,       39.7933,       38.6028
      -54.1126,       40.2945,       38.9457
      -54.0248,       41.2920,       39.6705
      -53.9370,       41.5421,       40.3037
      -53.8492,       42.5546,       40.7830
      -53.7614,       42.9631,       41.3590
      -53.6736,       43.5569,       42.1053
      -53.5858,       44.1996,       42.7699
      -53.4980,       44.6355,       43.2369
      -53.4102,       45.3239,       43.9507
      -53.3224,       45.8844,       44.4601
      -53.2346,       46.5628,       44.8284
      -53.1468,       47.3646,       45.7774
      -53.0590,       47.5979,       46.2659
      -52.9711,       48.3611,       47.3478
      -52.8833,       48.9762,       47.3197
      -52.7955,       49.7565,       48.2859
      -52.7077,       50.2780,       48.5624
      -52.6199,       50.7794,       49.3034
      -52.5321,       51.3597,       49.8487
      -52.4443,       52.0758,       50.4253
      -52.3565,       52.4513,       51.0687
      -52.2687,       53.0520,       51.3794
      -52.1809,       53.6007,       52.0928
      -52.0931,       53.8725,       52.6264
      -52.0053,       54.3894,       53.1023
      -51.9175,       54.8955,       53.6719
      -51.8297,       55.5166,       54.0375
      -51.7419,       55.9989,       54.2538
      -51.6541,       56.7019,       54.7745
      -51.5663,       57.0656,       55.5999
      -51.4785,       57.3047,       55.8516
      -51.3906,       57.7445,       56.4596
      -51.3028,       58.3066,       56.9380
      -51.2150,       58.6621,       57.2768
      -51.1272,       59.1202,       57.5485
      -51.0394,       59.5769,       57.5462
      -50.9516,       59.9305,       58.2138
      -50.8638,       59.9856,       58.5561
      -50.7760,       60.8369,       59.2867
      -50.6882,       61.1783,       59.5897
      -50.6004,       61.2867,       59.6766
      -50.5126,       61.4432,       60.2377
      -50.4248,       61.8425,       60.3943
      -50.3370,       62.2832,       60.9040
      -50.2492,       62.3097,       60.6914
      -50.1614,       62.6672,       61.3500
      -50.0736,       62.8666,       61.4704
      -49.9858,       62.9510,       61.6305
      -49.8980,       63.3857,       61.8993
      -49.8102,       63.6959,       62.3994
      -49.7223,       63.9077,       62.5391
      -49.6345,       64.1757,       62.5283
      -49.5467,       64.2298,       62.4625
      -49.4589,       64.3955,       62.9315
      -49.3711,       64.3189,       63.0887
      -49.2833,       64.6797,       63.2617
      -49.1955,       65.0998,       63.3108
      -49.1077,       64.9532,       63.5508
      -49.0199,       65.0950,       63.5896
      -48.9321,       65.1380,       63.8824
      -48.8443,       65.1753,       63.7602
      -48.7565,       65.3079,       63.7188
      -48.6687,       65.4681,       63.9359
      -48.5809,       65.3975,       63.9185
      -48.4931,       65.6057,       64.0766
      -48.4053,       65.4530,       64.4531
      -48.3175,       65.6177,       64.3205
      -48.2297,       65.5603,       64.7320
      -48.1418,       66.0722,       64.6955
      -48.0540,       65.9096,       64.3279
      -47.9662,       65.8243,       64.4501
      -47.8784,       66.0347,       64.7865
      -47.7906,       65.9414,       64.6849
      -47.7028,       65.7613,       64.7780
      -47.6150,       65.8831,       64.5263
      -47.5272,       65.7272,       64.6860
      -47.4394,       65.8362,       64.6968
      -47.3516,       65.9907,       65.0225
      -47.2638,       65.7654,       64.8987
      -47.1760,       66.0127,       64.5972
      -47.0882,       66.0530,       64.6051
      -47.0004,       65.9959,       65.1225
      -46.9126,       66.0815,       64.7834
      -46.8248,       65.9263,       64.7290
      -46.7370,       65.6674,       64.8450
      -46.6492,       66.0886,       64.9820
      -46.5613,       65.8955,       64.9107
      -46.4735,       65.7713,       65.0814
      -46.3857,       65.6860,       65.1198
      -46.2979,       65.7556,       64.7126
      -46.2101,       65.7110,       65.0380
      -46.1223,       65.6230,       64.7437
      -46.0345,       65.9574,       64.7611
      -45.9467,       65.7672,       64.8457
      -45.8589,       65.8324,       64.7322
      -45.7711,       65.6045,       64.7689
      -45.6833,       65.6068,       65.0293
      -45.5955,       66.1076,       64.8057
      -45.5077,       65.5588,       64.7580
      -45.4199,       65.8719,       65.0204
      -45.3321,       65.4385,       64.7098
      -45.2443,       65.6524,       65.0207
      -45.1565,       65.4607,       64.7432
      -45.0687,       65.6679,       64.8457
      -44.9809,       65.5752,       64.7052
      -44.8930,       65.6636,       64.8304
      -44.8052,       65.6614,       64.6419
      -44.7174,       65.5106,       64.9875
      -44.6296,       65.1689,       64.7242
      -44.5418,       65.3431,       64.9174
      -44.4540,       65.3779,       65.1833
      -44.3662,       65.5754,       65.0559
      -44.2784,       65.5625,       64.8823
      -44.1906,       65.4020,       64.9354
      -44.1028,       65.9845,       65.0306
      -44.0150,       65.5573,       64.9566
      -43.9272,       65.4031,       64.7860
