DATE    = '2007-10-23T14:34:42' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = '18060-2005'         / Name of object
COORDSYS= 'GALACTIC'           / Input coordinate system
LONGITUD=                 10.3 / Longitude of object
LATITUDE=                -0.15 / Latitude of object
OBSERVER= 'A Ostrovskii'       / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                 10.6 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 120. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6667.518 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPE     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -11.9660,       28.6204,       28.2484
      -11.8782,       28.5828,       28.5200
      -11.7904,       28.7092,       28.1826
      -11.7026,       28.7646,       28.5993
      -11.6148,       28.9261,       28.4980
      -11.5270,       29.0662,       28.5831
      -11.4392,       29.1204,       28.8127
      -11.3514,       29.1010,       28.9454
      -11.2636,       29.3211,       29.2125
      -11.1758,       29.6291,       29.4213
      -11.0879,       29.7975,       29.5476
      -11.0001,       30.0652,       29.7970
      -10.9123,       30.4946,       29.9305
      -10.8245,       30.8334,       30.4433
      -10.7367,       31.1400,       30.8621
      -10.6489,       31.2908,       31.0880
      -10.5611,       31.7548,       31.3861
      -10.4733,       32.1656,       31.7518
      -10.3855,       32.3855,       32.1439
      -10.2977,       32.8804,       32.6148
      -10.2099,       33.4327,       33.1698
      -10.1221,       33.9887,       33.4043
      -10.0343,       34.4608,       34.2039
      -9.94648,       34.9984,       34.4022
      -9.85867,       35.3329,       35.0016
      -9.77086,       35.8541,       35.7306
      -9.68306,       36.3425,       35.9996
      -9.59525,       36.8396,       36.8149
      -9.50745,       37.4404,       37.2047
      -9.41964,       38.0709,       37.8724
      -9.33184,       38.5318,       38.4235
      -9.24403,       39.2475,       39.2223
      -9.15623,       40.0045,       39.5724
      -9.06842,       40.3458,       40.2461
      -8.98062,       40.8106,       40.9085
      -8.89281,       41.5330,       41.2620
      -8.80500,       41.9639,       42.1172
      -8.71720,       42.8172,       42.7763
      -8.62939,       43.3466,       43.3532
      -8.54159,       43.9736,       43.6775
      -8.45378,       44.4672,       44.4564
      -8.36598,       45.2124,       45.3258
      -8.27817,       45.8664,       45.7009
      -8.19037,       46.4564,       46.3038
      -8.10256,       47.0515,       46.9807
      -8.01476,       47.6012,       47.8451
      -7.92695,       48.1612,       47.8701
      -7.83914,       49.1103,       48.7449
      -7.75134,       49.3951,       49.5540
      -7.66353,       49.9169,       49.9554
      -7.57573,       50.5741,       50.6971
      -7.48792,       51.0683,       51.2114
      -7.40012,       51.5951,       51.1933
      -7.31231,       51.9672,       52.2455
      -7.22451,       52.8497,       52.7547
      -7.13670,       53.1133,       53.1631
      -7.04890,       53.6162,       53.8995
      -6.96109,       54.2122,       54.3285
      -6.87328,       54.6517,       54.7833
      -6.78548,       55.3596,       55.2816
      -6.69767,       55.8679,       55.7482
      -6.60987,       56.3631,       56.4564
      -6.52206,       56.2989,       56.7305
      -6.43426,       56.7993,       56.9773
      -6.34645,       57.2240,       57.4609
      -6.25865,       57.7708,       57.9563
      -6.17084,       58.4725,       58.8801
      -6.08304,       58.5070,       58.8878
      -5.99523,       58.9986,       59.0184
      -5.90742,       59.5495,       59.1926
      -5.81962,       59.8845,       59.7846
      -5.73181,       60.1916,       59.9883
      -5.64401,       60.4860,       60.3812
      -5.55620,       60.9802,       60.8401
      -5.46840,       60.8251,       60.9348
      -5.38059,       61.3549,       61.7797
      -5.29279,       61.3862,       61.8672
      -5.20498,       61.6224,       61.9797
      -5.11718,       62.0743,       62.3542
      -5.02937,       62.1047,       62.4258
      -4.94156,       62.4400,       62.7252
      -4.85376,       62.8534,       63.0594
      -4.76595,       62.7287,       63.0835
      -4.67815,       63.2006,       63.2563
      -4.59034,       63.4874,       63.3915
      -4.50254,       63.6227,       63.6610
      -4.41473,       63.5439,       63.9041
      -4.32693,       63.7404,       63.8885
      -4.23912,       63.8081,       64.1841
      -4.15132,       63.8657,       63.8996
      -4.06351,       64.1236,       64.3850
      -3.97570,       64.4173,       64.6304
      -3.88790,       64.3096,       64.7336
      -3.80009,       64.5072,       64.7501
      -3.71229,       64.5382,       64.8273
      -3.62448,       64.3086,       65.0026
      -3.53668,       64.6634,       64.8848
      -3.44887,       64.8299,       65.1193
      -3.36107,       64.8886,       65.1505
      -3.27326,       64.9270,       65.4165
      -3.18546,       64.8680,       65.0335
      -3.09765,       64.8579,       65.6000
      -3.00984,       65.0322,       65.3452
      -2.92204,       65.0811,       65.2713
      -2.83423,       65.1279,       65.2448
      -2.74643,       64.9895,       65.6057
      -2.65862,       64.9947,       65.6504
      -2.57082,       65.2046,       65.6151
      -2.48301,       65.3329,       65.6061
      -2.39521,       64.9817,       65.7807
      -2.30740,       65.1954,       65.5956
      -2.21960,       65.1876,       65.3927
      -2.13179,       65.1685,       65.5855
      -2.04398,       65.2283,       65.6362
      -1.95618,       65.2235,       65.4774
      -1.86837,       65.1452,       65.6001
      -1.78057,       65.1079,       65.6276
      -1.69276,       64.8180,       65.9496
      -1.60496,       64.9228,       65.6703
      -1.51715,       64.9848,       65.8681
      -1.42935,       65.0992,       65.5953
      -1.34154,       65.0519,       65.5124
      -1.25374,       65.1667,       65.8698
      -1.16593,       65.3104,       65.6404
      -1.07812,       65.1224,       65.8621
     -0.990319,       65.3083,       65.6966
     -0.902514,       65.2078,       65.6303
     -0.814709,       65.0436,       65.6702
     -0.726903,       65.1390,       65.4810
     -0.639098,       65.2180,       65.6205
     -0.551292,       65.1924,       65.3546
     -0.463487,       64.9793,       65.5789
     -0.375681,       65.0606,       65.5087
     -0.287876,       64.8586,       65.5745
     -0.200070,       65.0742,       65.7360
     -0.112265,       64.9861,       65.7934
    -0.0244595,       64.8253,       65.2961
     0.0633460,       64.6257,       65.6054
      0.151151,       65.1121,       65.8316
      0.238957,       64.7507,       65.4657
      0.326762,       64.7712,       65.4049
      0.414568,       65.0783,       65.6779
      0.502373,       65.0804,       65.5215
      0.590179,       64.8834,       65.5553
      0.677984,       64.8191,       65.4311
      0.765790,       64.7331,       65.7737
      0.853595,       64.7144,       65.6432
      0.941400,       64.8570,       65.8370
       1.02921,       64.9427,       65.6118
       1.11701,       65.1855,       65.9813
       1.20482,       64.6057,       65.6741
       1.29262,       65.0875,       65.8619
       1.38043,       64.9267,       65.7825
       1.46823,       65.1625,       65.7428
       1.55604,       64.8738,       65.7029
       1.64384,       65.1575,       65.6872
       1.73165,       65.0772,       65.7243
       1.81945,       65.0719,       65.8561
       1.90726,       64.9767,       65.7213
       1.99507,       65.1793,       65.7880
       2.08287,       65.2256,       65.8176
       2.17068,       65.2041,       65.8594
       2.25848,       65.0757,       65.9999
       2.34629,       65.2512,       66.0470
       2.43409,       65.1081,       65.9858
       2.52190,       64.9781,       65.7241
       2.60970,       64.9947,       66.1207
       2.69751,       64.9025,       65.8960
       2.78531,       64.9457,       65.8046
       2.87312,       65.0874,       65.7724
       2.96093,       65.1956,       66.1565
       3.04873,       65.0253,       65.9575
       3.13654,       65.1732,       66.0216
       3.22434,       65.5810,       66.3247
       3.31215,       65.5802,       66.1910
       3.39995,       65.3755,       66.1245
       3.48776,       65.2711,       65.8459
       3.57556,       65.0412,       65.8459
       3.66337,       65.2053,       66.3970
       3.75117,       65.3323,       66.1872
       3.83898,       65.5189,       66.3092
       3.92679,       65.6538,       66.4067
       4.01459,       64.9045,       66.1273
       4.10240,       65.2534,       66.5887
       4.19020,       65.6294,       66.3954
       4.27801,       65.8300,       66.3764
       4.36581,       65.7409,       66.9397
       4.45362,       65.9925,       66.7458
       4.54142,       65.8346,       66.7167
       4.62923,       65.4424,       66.9737
       4.71703,       65.7868,       66.5294
       4.80484,       65.5771,       66.8993
       4.89265,       65.5295,       66.2616
       4.98045,       65.8907,       66.6620
       5.06826,       65.4773,       66.6966
       5.15606,       65.4352,       66.8417
       5.24387,       65.4602,       66.3797
       5.33167,       65.4113,       66.3819
       5.41948,       65.5919,       66.5376
       5.50728,       65.7539,       66.5268
       5.59509,       65.8165,       66.7121
       5.68289,       65.4897,       66.5469
       5.77070,       65.7988,       66.7730
       5.85851,       65.7588,       66.4667
       5.94631,       65.5646,       67.0870
       6.03412,       66.2650,       66.9965
       6.12192,       66.0168,       66.9066
       6.20973,       66.1296,       67.3663
       6.29753,       65.9092,       66.9810
