DATE    = '2007-10-23T14:37:42' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = '18060-2005'         / Name of object
COORDSYS= 'GALACTIC'           / Input coordinate system
LONGITUD=                 10.3 / Longitude of object
LATITUDE=                -0.15 / Latitude of object
OBSERVER= 'A Ostrovskii'       / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                 10.6 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 120. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6667.518 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'HPW     '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -56.9224,       29.3732,       27.7945
      -56.8346,       29.1043,       27.9383
      -56.7468,       29.1724,       28.0240
      -56.6590,       29.3794,       28.0345
      -56.5712,       29.2630,       28.0104
      -56.4834,       29.5225,       28.2386
      -56.3956,       29.5162,       28.3900
      -56.3078,       29.8258,       28.6117
      -56.2199,       29.9115,       28.8463
      -56.1321,       30.4193,       28.8684
      -56.0443,       30.4212,       29.1459
      -55.9565,       30.6970,       29.5084
      -55.8687,       31.0380,       29.7943
      -55.7809,       31.1890,       30.0494
      -55.6931,       31.5839,       30.4677
      -55.6053,       31.9849,       30.6112
      -55.5175,       32.2595,       31.2944
      -55.4297,       32.8213,       31.5941
      -55.3419,       33.0518,       31.8435
      -55.2541,       33.6930,       32.2913
      -55.1663,       34.0541,       32.7649
      -55.0785,       34.4179,       33.1308
      -54.9907,       34.9578,       33.5781
      -54.9029,       35.6171,       34.2306
      -54.8151,       35.8549,       34.5616
      -54.7273,       36.5476,       35.1711
      -54.6395,       37.1412,       35.6323
      -54.5516,       37.4812,       36.1996
      -54.4638,       38.1060,       36.9473
      -54.3760,       38.8546,       37.5058
      -54.2882,       39.2207,       37.8557
      -54.2004,       39.7772,       38.3460
      -54.1126,       40.4823,       38.8504
      -54.0248,       41.0326,       39.6413
      -53.9370,       41.4864,       40.2547
      -53.8492,       42.2608,       40.9509
      -53.7614,       42.7690,       41.5274
      -53.6736,       43.5508,       42.0926
      -53.5858,       44.2591,       42.4675
