DATE    = '2007-10-23T14:40:37' / file creation date (YYYY-MM-DDThh:mm:ss UT)
OBJECT  = '18060-2005'         / Name of object
COORDSYS= 'GALACTIC'           / Input coordinate system
LONGITUD=                 10.3 / Longitude of object
LATITUDE=                -0.15 / Latitude of object
OBSERVER= 'A Ostrovskii'       / Principal Investigator
OBSLOCAL= 'mike    '           /  On-site observer
TELESCOP= 'HartRAO 26m Antenna' / Telescope name
SPVLSR  =                 10.6 / [km/s] Centre Vlsr
SPBW    =             2000000. / [Hz] Spectrometer bandwidth
SPCHAN  =                 1024 / Number of spectrometer channels
SPFS    =             1000000. / [Hz] Frequency-switching offset
SPPSLON =                   0. / [Deg] Position-switching offset in Longitude
SPPSLAT =                   0. / [Deg] Position-switching offset in Latitude
SPTIME  =                 120. / [s] Integration time per scan
SPPOINT =                    1 / Offset pointing? TRUE=non-0 FALSE=0
RESTFREQ=          6668518000. / [Hz] Line Rest Frequency

BINTABLE: Spectra

CENTFREQ=             6667.518 / [MHz] Backend centre frequency
TCAL1   =                 14.2 / [K] Cal noise diode value for channel 1
TCALSIG1=                   0. / [K] uncertainty in TCAL1
TCAL2   =                  21. / [K] Cal noise diode value for channel 2
TCALSIG2=                   0. / [K] uncertainty in TCAL2
TUNIT1  = 'km/s    '
TUNIT2  = 'Kelvins '
TUNIT3  = 'Kelvins '
POSITION= 'ON      '           / Position identifier
          Vlsr,     Polstate1,     Polstate4
      -11.9660,       28.4664,       28.2293
      -11.8782,       28.5856,       28.5107
      -11.7904,       28.8244,       28.4760
      -11.7026,       28.6049,       28.6782
      -11.6148,       28.8673,       28.5902
      -11.5270,       28.8888,       28.7347
      -11.4392,       29.1042,       28.7479
      -11.3514,       29.2024,       29.0215
      -11.2636,       29.2892,       29.1984
      -11.1758,       29.8899,       29.5701
      -11.0879,       29.8625,       29.7069
      -11.0001,       30.0332,       30.0445
      -10.9123,       30.3708,       30.0683
      -10.8245,       30.6873,       30.4430
      -10.7367,       30.9405,       30.9468
      -10.6489,       31.5702,       31.2581
      -10.5611,       31.7017,       31.6790
      -10.4733,       32.0494,       31.9907
      -10.3855,       32.3690,       32.3000
      -10.2977,       33.0273,       32.8524
      -10.2099,       33.4277,       33.2641
      -10.1221,       33.9636,       33.9209
      -10.0343,       34.3573,       34.1360
      -9.94648,       34.8559,       34.8721
      -9.85867,       35.3067,       35.4779
      -9.77086,       35.8729,       35.8758
      -9.68306,       36.5590,       36.2835
      -9.59525,       37.1486,       37.0259
      -9.50745,       37.6319,       37.2898
      -9.41964,       37.9636,       38.1519
      -9.33184,       38.5940,       38.5301
      -9.24403,       39.3389,       39.0659
      -9.15623,       39.8251,       39.6809
      -9.06842,       40.3378,       40.3310
      -8.98062,       41.1603,       40.8374
      -8.89281,       41.7579,       41.5863
      -8.80500,       42.0167,       42.1600
      -8.71720,       42.8795,       42.8731
      -8.62939,       43.2900,       43.5088
      -8.54159,       43.8423,       44.1605
      -8.45378,       44.8606,       44.6410
      -8.36598,       45.3906,       45.3382
      -8.27817,       45.8398,       45.9772
      -8.19037,       46.4537,       46.4954
      -8.10256,       47.0737,       47.0744
      -8.01476,       47.7317,       47.9463
      -7.92695,       48.2335,       48.2283
      -7.83914,       48.8459,       48.8728
      -7.75134,       49.4414,       49.2651
      -7.66353,       50.0273,       50.3057
      -7.57573,       50.6087,       50.7362
      -7.48792,       51.2484,       51.5790
      -7.40012,       51.4273,       51.8880
      -7.31231,       52.2511,       52.7007
      -7.22451,       52.7995,       53.0381
      -7.13670,       53.2143,       53.6019
      -7.04890,       53.7441,       53.8758
      -6.96109,       54.2789,       54.4617
      -6.87328,       54.7119,       54.8775
      -6.78548,       55.3834,       55.7334
      -6.69767,       55.8411,       55.7753
      -6.60987,       56.1892,       56.1887
      -6.52206,       56.7578,       56.8159
      -6.43426,       57.0213,       57.2722
      -6.34645,       57.5549,       57.7504
      -6.25865,       57.9155,       58.1864
      -6.17084,       58.3562,       58.7821
      -6.08304,       58.6656,       59.0769
      -5.99523,       58.9362,       59.4052
      -5.90742,       59.5230,       59.8155
      -5.81962,       59.7842,       60.2743
      -5.73181,       60.0709,       60.4258
      -5.64401,       60.5393,       60.8025
      -5.55620,       60.5910,       61.2919
      -5.46840,       61.1799,       61.3957
      -5.38059,       61.2018,       61.7470
      -5.29279,       61.3227,       61.8069
      -5.20498,       61.6705,       62.4776
      -5.11718,       62.0866,       62.7222
      -5.02937,       62.3435,       62.7614
      -4.94156,       62.2953,       63.1443
      -4.85376,       62.6755,       63.1029
      -4.76595,       62.9364,       63.1275
      -4.67815,       62.8625,       63.7142
      -4.59034,       63.2566,       63.6127
      -4.50254,       63.4755,       63.9241
      -4.41473,       63.7559,       64.0067
      -4.32693,       64.0123,       64.3002
      -4.23912,       64.0368,       64.5424
      -4.15132,       64.0825,       64.6136
      -4.06351,       64.0426,       64.8709
      -3.97570,       64.3560,       64.5546
      -3.88790,       64.3536,       65.0007
      -3.80009,       64.4302,       65.1939
      -3.71229,       64.6783,       65.1512
      -3.62448,       64.5141,       65.4599
      -3.53668,       64.6182,       65.5426
      -3.44887,       64.9331,       65.5505
      -3.36107,       64.6111,       65.4194
      -3.27326,       64.7175,       65.5324
      -3.18546,       64.8869,       65.5396
      -3.09765,       65.1749,       65.4575
      -3.00984,       64.9753,       65.4625
      -2.92204,       65.0528,       65.7308
      -2.83423,       65.0528,       65.9977
      -2.74643,       65.4980,       66.0209
      -2.65862,       65.2922,       65.9741
      -2.57082,       65.3438,       65.7963
      -2.48301,       65.3410,       65.7043
      -2.39521,       65.0685,       65.9285
      -2.30740,       65.2787,       65.8083
      -2.21960,       65.4829,       65.9391
      -2.13179,       65.1950,       66.2899
      -2.04398,       65.2102,       65.8820
      -1.95618,       65.2686,       65.7890
      -1.86837,       65.1739,       65.8666
      -1.78057,       64.8873,       65.7223
      -1.69276,       64.9409,       65.6144
      -1.60496,       65.0994,       65.9865
      -1.51715,       65.1594,       65.8466
      -1.42935,       65.0168,       65.7355
      -1.34154,       65.1521,       65.9814
