Year    Day     JD              rel eff PSS
1990      1     2447893         11.00 nominal start
2000    165     2451709         10.90
2000    176     2451720         11.09
2000    186     2451730         11.09
2000    200     2451744         11.17
2000    215     2451759         11.04
2000    243     2451787         11.20
2000    256     2451800         11.26
2000    287     2451831         11.45
2000    336     2451880         11.43
2000    358     2451902         11.29
2001     14     2451924         11.22
2001     49     2451959         11.17
2001     63     2451973         11.09
2001     89     2451999         11.08
2001    111     2452021         10.97
2001    149     2452059         11.24
2001    169     2452079         11.46
2001    203     2452113         11.72
2001    216     2452126         11.69
2001    220     2452130         11.74
2001    227     2452137         11.54
2001    231     2452141         11.64
2001    237     2452147         11.70
2001    259     2452169         11.63
2001    267     2452177         11.55
2001    275     2452185         11.58
2001    279     2452189         11.42
2001    283     2452193         11.16
2001    304     2452214         11.10
2001    313     2452223         11.20
2002     12     2452287          1.0  end of available data
